"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Berberidaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Chrysolepis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Frangula"	"Fraxinus"	"Garryaceae"	"Indeterminable"	"Isoëtes"	"Juncaceae"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tsuga"	"Urticaceae"	"Viburnum"
236	239	"Battle Ground Lake"	45.8	-122.49167	0	"AWI"	0	-122	39	-38	10	0	50	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	9	34	1	0	0	0	2	9	0	5	0	0	0	0	1	0	4	0	0	28	0	0	0	0	51	5	0	0	3	4	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	4	"AWI"	4	-111	52	-25	7	0	0	2	0	0	0	0	0	2	2	1	0	1	0	1	0	0	0	15	24	0	0	0	1	1	9	0	0	0	0	0	0	4	0	0	0	17	43	0	0	0	0	74	3	0	0	6	1	0	0	0	3	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	12	"AWI"	12	-92	88	-3	12	2	0	2	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	16	39	0	0	0	2	0	9	0	2	0	0	0	0	0	0	1	10	1	32	0	0	0	0	73	2	0	0	7	4	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	16	"AWI"	16	-86	116	8	25	3	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	15	32	5	0	0	0	1	10	0	3	0	0	0	0	4	0	1	8	0	7	0	0	0	0	155	2	0	1	4	9	1	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	20	"AWI"	20	-82	145	19	13	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	93	0	0	0	0	0	12	0	5	0	0	0	0	0	0	3	19	0	9	0	0	0	0	139	5	0	0	0	1	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	25	"AWI"	25	-76	181	31	18	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	13	79	2	0	0	0	1	17	0	3	0	0	0	0	4	0	3	14	0	8	0	0	0	0	168	2	0	0	1	1	0	0	0	2	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	30	"AWI"	30	-69	216	44	19	5	0	0	1	1	3	0	0	2	0	0	0	0	0	0	0	0	0	23	80	0	0	0	0	1	3	0	6	0	0	0	0	2	0	2	14	0	3	0	0	0	0	179	3	0	0	0	1	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	35	"AWI"	35	-64	252	57	18	4	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	14	82	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	123	1	0	0	0	2	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	40	"AWI"	40	-60	293	69	14	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	18	50	0	0	0	0	0	10	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	217	2	0	0	0	3	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	45	"AWI"	45	-56	335	82	15	5	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	19	42	2	0	0	0	6	7	0	0	0	0	0	0	2	0	2	0	0	3	0	0	0	0	181	4	0	0	0	4	0	0	0	0	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	50	"AWI"	50	-52	375	96	10	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	149	1	0	0	0	0	4	0	4	0	0	1	0	1	0	1	0	0	4	0	0	0	0	88	3	0	0	0	3	0	0	0	0	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	70	"AWI"	70	-1	470	166	17	0	41	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	12	126	0	0	0	0	0	14	0	6	6	0	0	0	0	0	1	0	0	4	0	0	0	0	100	4	0	0	1	4	0	0	0	0	1	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	90	"AWI"	90	26	588	236	15	7	54	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	95	3	0	0	0	1	12	0	8	6	0	0	0	2	0	1	13	0	8	0	0	0	0	153	4	0	1	0	3	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	110	"AWI"	110	76	704	301	19	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	40	100	0	0	0	0	1	6	0	4	0	0	0	0	0	0	0	21	0	3	0	0	0	0	124	2	0	0	0	1	0	0	0	3	0	0	1	0
236	239	"Battle Ground Lake"	45.8	-122.49167	130	"AWI"	130	144	779	370	10	0	60	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18	24	1	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	131	2	0	0	1	2	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	155	"AWI"	155	196	899	457	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	30	97	4	0	0	0	1	15	1	3	0	0	0	0	0	0	1	0	0	5	0	0	0	0	79	7	0	1	0	2	1	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	170	"AWI"	170	295	959	504	24	0	78	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	161	3	0	0	0	2	10	0	3	2	0	2	0	1	0	2	12	0	1	0	0	0	0	156	6	0	0	0	1	1	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	190	"AWI"	190	386	1057	577	55	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	16	135	2	0	0	0	0	16	0	3	3	0	0	0	0	0	2	9	0	8	0	0	0	0	74	6	0	0	0	8	0	0	0	3	0	0	1	0
236	239	"Battle Ground Lake"	45.8	-122.49167	210	"AWI"	210	580	1282	794	29	5	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	19	62	2	0	0	0	0	20	0	5	9	0	0	0	0	0	1	0	0	2	0	0	0	0	180	1	0	0	0	4	0	0	0	2	0	43	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	230	"AWI"	230	991	2231	1614	37	3	87	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	4	3	0	1	0	1	29	1	2	0	0	0	0	2	0	3	11	0	3	0	0	0	0	179	3	0	1	0	6	0	0	0	2	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	255	"AWI"	255	1376	3851	2606	30	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	18	45	1	0	0	0	1	17	0	8	3	0	0	0	1	0	4	23	0	4	0	0	0	0	145	2	0	0	0	10	1	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	270	"AWI"	270	1999	4238	3167	38	6	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	34	56	3	0	0	0	0	14	0	5	12	0	0	0	0	0	0	0	0	9	0	0	5	0	145	3	0	0	0	2	1	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	290	"AWI"	290	2411	4817	3942	40	7	0	0	35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	32	21	1	0	0	0	0	15	0	5	0	0	0	0	0	0	1	0	0	3	0	0	0	0	104	6	0	0	0	1	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	310	"AWI"	310	2700	5856	4708	32	0	58	0	6	0	2	8	0	2	2	0	0	0	0	0	0	2	1	27	24	3	0	0	0	0	36	0	6	4	0	0	0	0	0	1	9	0	18	0	0	0	0	65	10	0	1	0	6	0	0	0	0	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	330	"AWI"	330	4014	5947	5229	23	0	0	0	2	2	6	0	0	1	1	0	20	0	0	0	0	1	0	16	20	2	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	83	13	0	0	0	0	0	0	0	0	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	350	"AWI"	350	5309	6053	5740	16	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	1	3	27	30	1	0	0	0	0	16	0	2	1	0	0	0	1	0	2	7	0	8	0	0	0	0	84	5	0	0	0	4	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	370	"AWI"	370	5993	6321	6145	10	10	53	1	4	0	4	4	0	0	0	0	0	0	1	0	0	3	0	92	12	2	0	0	0	1	2	0	5	0	0	0	0	1	0	2	0	0	21	0	0	0	0	69	22	0	0	0	6	0	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	390	"AWI"	390	6070	6803	6396	17	5	0	1	2	0	0	0	0	0	1	1	1	0	0	0	0	2	0	49	16	0	0	0	0	1	9	0	5	3	0	0	0	0	0	1	14	0	22	0	0	0	0	72	16	0	0	0	3	0	0	0	3	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	410	"AWI"	410	6117	7329	6639	15	7	0	1	4	0	1	205	0	0	0	1	0	0	1	0	0	0	0	49	0	8	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	5	0	0	0	0	99	13	0	0	0	5	0	0	0	0	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	430	"AWI"	430	6301	7462	6862	41	0	26	2	6	0	2	6	0	0	0	0	0	0	1	0	0	0	2	35	8	4	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	83	21	0	0	2	3	0	0	0	2	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	450	"AWI"	450	6422	7622	7112	8	0	26	0	18	1	4	9	0	2	0	0	0	0	0	0	0	1	0	17	5	7	0	0	0	0	1	0	6	0	1	0	1	0	0	1	0	0	23	0	0	0	0	30	24	0	0	0	2	1	0	0	2	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	470	"AWI"	470	6689	7834	7339	0	0	0	1	2	1	1	7	0	2	0	0	0	0	7	0	0	1	0	6	2	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	11	10	0	0	0	4	2	0	0	1	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	490	"AWI"	490	7269	8014	7606	6	0	0	0	130	1	1	2	0	0	0	0	0	0	1	0	0	1	0	23	9	3	0	0	0	0	0	0	6	3	85	0	0	4	0	1	0	0	14	0	0	0	0	49	4	0	0	0	1	0	0	0	3	0	0	0	0
236	239	"Battle Ground Lake"	45.8	-122.49167	510	"AWI"	510	7520	8445	7896	23	7	0	1	7	0	3	2	0	3	13	2	0	0	1	0	0	0	0	29	12	4	0	0	0	0	0	0	0	22	0	0	0	0	0	1	0	0	33	0	0	0	0	46	26	0	0	0	6	0	0	0	5	0	0	0	0
