"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
947	977	"Grasvatn"	63.702696	8.68858	30	"AWI"	30	-71	566	130	7.71388499298738	0	0	0	0	24.2636746143057	0	0	0	3.78681626928471	0	0	2.10378681626928	0.280504908835905	0	0	0	3.36605890603086	0	0	0	0.981767180925666	33.9410939691445	0.140252454417952	0.140252454417952	21.4586255259467	0	0.280504908835905	0.280504908835905	0	0	0.140252454417952	0	0.140252454417952	0	0	0.561009817671809	0.280504908835905	0.140252454417952
947	977	"Grasvatn"	63.702696	8.68858	40	"AWI"	40	147	1238	575	7.09677419354839	0	0	0	0	27.9032258064516	0	0.161290322580645	0	1.45161290322581	0	0	0	0.161290322580645	0	0	0	9.51612903225806	0	0	0	0.483870967741935	34.8387096774194	0.161290322580645	0	16.6129032258065	0	0	0	0	0.161290322580645	0.161290322580645	0	0	0	0	0.645161290322581	0.645161290322581	0
947	977	"Grasvatn"	63.702696	8.68858	50	"AWI"	50	448	1725	1062	7.47663551401869	0	0	0.155763239875389	0	31.1526479750779	0.155763239875389	0	0	1.24610591900312	0	0	0	0	0	0	0	1.86915887850467	0.311526479750779	0.311526479750779	0	0.467289719626168	35.202492211838	0.155763239875389	0.311526479750779	4.20560747663551	0	0	0.155763239875389	14.1744548286604	0.155763239875389	0.311526479750779	0	0.155763239875389	0	0.155763239875389	1.09034267912773	0.778816199376947	0
947	977	"Grasvatn"	63.702696	8.68858	60	"AWI"	60	884	2114	1532	5.91016548463357	0	0	0	0	21.3947990543735	0.236406619385343	0	0	0.709219858156028	0	0	27.5413711583924	0	0	0.118203309692671	0	0	0	0	0	0.591016548463357	28.9598108747045	0	0	13.1205673758865	0	0.118203309692671	0.472813238770686	0	0.118203309692671	0	0	0	0	0	0.472813238770686	0.236406619385343	0
947	977	"Grasvatn"	63.702696	8.68858	70	"AWI"	70	1393	2414	1993	7.01754385964912	0	0	0	0	38.7426900584795	0	0	0	1.60818713450292	0	0	6.72514619883041	0	0	0	0	0.292397660818713	0	0	0.146198830409357	0.146198830409357	23.8304093567251	0	0	16.9590643274854	0	0.292397660818713	0.584795321637427	0	0.584795321637427	0.730994152046784	0	0	0	0	1.31578947368421	0.87719298245614	0.146198830409357
947	977	"Grasvatn"	63.702696	8.68858	80	"AWI"	80	2006	2684	2391	5.38461538461539	0	0	0.307692307692308	0	30.3076923076923	0.461538461538462	0	0.615384615384615	1.07692307692308	0	0	0	0.307692307692308	0	0	0	3.69230769230769	0	0	0	0.615384615384615	34.1538461538462	0	0	20.7692307692308	0	0	0.153846153846154	0	0.461538461538462	0	0.153846153846154	0	0	0	1.53846153846154	0	0
947	977	"Grasvatn"	63.702696	8.68858	90	"AWI"	90	2223	3075	2642	8.48484848484849	0	0	0.303030303030303	0	33.4848484848485	0	0	2.12121212121212	1.81818181818182	0	0	0	0	0	0	0	0.757575757575758	0	0	0.151515151515152	0.454545454545455	35.1515151515151	0.151515151515152	0	14.5454545454545	0	0.303030303030303	1.06060606060606	0	0	0	0	0	0	0	0.757575757575758	0.454545454545455	0
947	977	"Grasvatn"	63.702696	8.68858	100	"AWI"	100	2416	3411	2881	9.8705501618123	0	0.485436893203883	0.323624595469256	0	27.9935275080906	0	0	0.323624595469256	1.94174757281553	0	0	0	1.45631067961165	0	0.161812297734628	0	1.13268608414239	0	0	0	0	41.2621359223301	0	0	11.6504854368932	0	0.647249190938511	0.161812297734628	0	0	0	0	0	0	0	1.61812297734628	0.809061488673139	0.161812297734628
947	977	"Grasvatn"	63.702696	8.68858	110	"AWI"	110	2598	3720	3131	6.08552631578947	0	0	0	0	34.375	0	0	0	2.30263157894737	0	0	0	0	0	0	0	1.97368421052632	0	0	0	0	37.828947368421	0	0	14.6381578947368	0	0.328947368421053	0.657894736842105	0	0	0.822368421052632	0	0	0	0	0.657894736842105	0.328947368421053	0
947	977	"Grasvatn"	63.702696	8.68858	120	"AWI"	120	2819	3989	3387	6.0655737704918	0	0	0	0	32.2950819672131	0	0	0	2.78688524590164	0	0	0	0.327868852459016	0	0	0	1.9672131147541	0	0	0	0.327868852459016	45.0819672131148	0	0	8.19672131147541	0	0.491803278688525	0	0	0.163934426229508	0.491803278688525	0	0	0	0	1.14754098360656	0.655737704918033	0
