"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Lyonia"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Smilacaceae"	"Thalictrum"	"Tilia"	"Toxicodendron"	"Ulmus"	"Urticaceae"	"Viburnum"
525	539	"Cupola Pond"	36.799032	-91.090148	0	"AWI"	0	-141	25	-65	0	0	1	0	0	3	0	0	0	20	0	0	0	18	0	2	18	0	0	0	0	0	9	0	0	0	3	0	0	0	50	0	0	0	0	89.5	0	0	27	0	5	0	0	199	0	0	0	9	0	0	0	1	1	0	0	3	0	0
525	539	"Cupola Pond"	36.799032	-91.090148	20	"AWI"	20	418	822	663	0	0	0	1	0	1	0	0	0	8	0	1	0	29	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	46	0	2	0	0	45	0	0	15	0	0	0	0	186	0	0	0	0	0	0	0	1	0	0	0	3	0	0
525	539	"Cupola Pond"	36.799032	-91.090148	30	"AWI"	30	663	1269	1025	0	0	2	2	0	4	0	1	0	20	0	0	0	24	0	0	6	0	0	0	0	9	5	3	0	0	4	0	2	0	50	0	1	0	0	65.5	0	0	26	0	1	0	0	206	0	0	0	0	0	0	0	1	0	0	0	1	0	0
525	539	"Cupola Pond"	36.799032	-91.090148	35	"AWI"	35	786	1492	1206	0	0	0	1	0	2	0	1	0	0	0	0	0	28	0	0	6	0	0	0	0	5	6	0	0	0	7	1	0	0	57	0	19	0	0	66	0	0	19	0	0	0	0	209	0	0	0	1	0	0	0	0	0	0	0	3	0	0
525	539	"Cupola Pond"	36.799032	-91.090148	40	"AWI"	40	929	1737	1407	0	0	1	0	0	2	0	2	0	15	0	0	1	40	0	0	1	0	0	0	0	0	3	0	0	0	4	0	0	0	36	0	1	0	0	56	0	0	22	0	1	0	0	201	0	0	0	1	0	0	0	0	0	0	0	1	0	0
525	539	"Cupola Pond"	36.799032	-91.090148	45	"AWI"	45	1360	2549	1982	0	0	1	1	0	1	0	1	0	19	0	0	0	35	0	0	0	0	0	0	2	5	6	0	0	0	2	0	0	0	35	0	1	0	0	68.5	0	0	23	0	0	0	0	219	0	0	1	2	0	0	0	0	0	0	0	1	0	0
525	539	"Cupola Pond"	36.799032	-91.090148	50	"AWI"	50	1541	3512	2565	0	0	0	0	0	1	0	0	0	16	0	0	1	63	0	0	11	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	2	0	0	26	0	0	69	0	0	0	0	229	0	0	0	8	0	0	0	1	2	0	0	7	0	0
525	539	"Cupola Pond"	36.799032	-91.090148	55	"AWI"	55	1668	4502	3152	0	0	1	1	0	5	0	0	0	12	0	0	0	147	0	0	15	0	0	0	0	0	6	0	11	0	3	0	0	0	5	0	1	1	0	30.5	0	0	70	0	2	0	0	300	0	0	0	9	0	0	0	0	1	0	0	5	0	2
525	539	"Cupola Pond"	36.799032	-91.090148	61	"AWI"	61	1797	5702	3855	0	0	0	0	0	0	0	2	0	20	0	0	0	89	0	1	16	0	0	0	0	0	6	0	0	0	2	0	0	0	4	0	1	0	0	38.5	0	0	65	0	1	0	0	255	0	0	0	3	0	0	0	0	6	0	0	9	0	0
525	539	"Cupola Pond"	36.799032	-91.090148	65	"AWI"	65	1883	6502	4319	0	0	0	0	0	3	0	1	0	21	0	0	0	23	0	0	8	0	0	0	0	0	7	0	0	0	4	0	0	0	5	0	0	0	0	8	0	0	82	0	1	0	0	276	0	0	0	1	0	0	0	0	3	0	0	4	0	0
