"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Ulmus"
1113	1147	"Indian Lake"	50.91667	-90.45	615	"AWI"	615	6361	7052	6787	24	0	74	1	0	14	0	70	1	0	0	0	3	4	1	0	0	1	0	0	1	0	3	1	2	229	173	3	1	6	0	0	1	5	0	0	1	0
1113	1147	"Indian Lake"	50.91667	-90.45	685	"AWI"	685	6895	7450	7211	22	0	34	3	0	10	0	50	0	0	0	0	3	9	5	0	0	0	0	0	2	0	13	2	0	115	420	3	1	3	0	0	1	0	0	0	0	3
1113	1147	"Indian Lake"	50.91667	-90.45	695	"AWI"	695	6946	7503	7268	20	0	81	7	0	19	16	130	0	0	0	0	2	13	10	0	0	0	0	0	3	0	9	3	7	138	360.5	9	14	10	0	0	0	5	2	0	0	8
1113	1147	"Indian Lake"	50.91667	-90.45	705	"AWI"	705	7061	7531	7322	23	0	51	3	0	14	16	93	0	0	0	1	5	19	7	0	0	0	0	0	3	0	18	8	1	93	411	7	5	6	0	0	0	1	4	0	0	4
1113	1147	"Indian Lake"	50.91667	-90.45	715	"AWI"	715	7135	7575	7380	10	0	35	3	1	16	0	107	0	0	0	0	1	4	2	0	0	0	0	0	1	0	9	3	1	90	245	4	3	5	0	0	0	1	0	0	0	1
1113	1147	"Indian Lake"	50.91667	-90.45	725	"AWI"	725	7252	7621	7442	13	0	35	3	0	7	8	83	0	0	0	0	5	9	3	0	0	0	0	0	1	0	8	6	3	77	314	6	8	4	0	0	0	0	0	0	0	2
1113	1147	"Indian Lake"	50.91667	-90.45	735	"AWI"	735	7329	7686	7508	13	0	61	7	0	24	23	187	0	0	0	0	6	14	13	0	0	0	0	0	5	0	13	3	4	86	364	11	5	9	0	0	1	1	1	0	0	2
1113	1147	"Indian Lake"	50.91667	-90.45	750	"AWI"	750	7421	7844	7625	9	0	37	3	0	21	0	109	0	0	0	0	4	7	11	0	0	0	0	0	3	0	9	3	2	85	304	5	4	4	0	0	0	2	0	0	0	2
1113	1147	"Indian Lake"	50.91667	-90.45	770	"AWI"	770	7542	8088	7791	21	0	60	11	0	26	0	159	0	0	0	0	3	19	14	0	0	0	0	0	3	0	13	5	2	92	515	20	7	8	0	0	0	3	1	2	0	2
1113	1147	"Indian Lake"	50.91667	-90.45	790	"AWI"	790	7694	8260	7976	8	0	58	14	0	18	0	122	0	0	0	0	2	17	11	0	0	0	0	0	4	0	9	3	3	68	385	13	4	5	0	0	0	3	1	0	0	2
1113	1147	"Indian Lake"	50.91667	-90.45	810	"AWI"	810	7948	8359	8129	29	0	50	8	0	12	20	134	0	0	0	1	7	21	14	0	0	0	0	0	1	0	19	3	1	113	319	7	10	5	0	0	0	7	1	1	0	0
