"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Liquidambar"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
1611	1663	"Loon Pond"	45.03333	-68.2	965.5	"AWI"	965.5	-134.5	25.5	-44.5	1	0	13	0	1	0	0	118	0	0	0	0	0	0	5	16	1	0	3	0	19	0	0	0	5	0	1	0	0	0	2	33	0	0	0	8	0	0	18	0	0	0	1	0	0	0	0	12	2	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	974.5	"AWI"	974.5	-82.5	132.5	19.5	0	0	16	0	1	0	0	177	1	0	0	2	1	1	10	6	0	0	4	0	19	0	0	0	2	0	1	1	1	0	4	37	0	1	0	0	0	0	1	0	0	0	10	3	0	0	0	10	0	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	984.5	"AWI"	984.5	-19.5	205.5	95.5	0	0	0	1	0	0	0	138	1	1	0	3	0	0	1	1	0	0	0	0	26	0	0	0	0	0	0	0	0	0	2	45	0	0	0	0	0	0	10	0	0	0	6	0	0	0	1	30	0	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	994.5	"AWI"	994.5	97	278	168	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	2	0	0	0	0	31	0	2	0	0	0	1	1	0	0	4	32	0	0	0	0	1	0	18	0	0	0	0	2	0	0	0	33	2	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	1000	"AWI"	1000	184	683	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	38	0	1	0	0	0	0	0	0	0	2	19	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	35	3	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	1004.5	"AWI"	1004.5	218	1124	623.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	29	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	13	0	0	0	0	3	0	0	0	28	0	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	1010	"AWI"	1010	597	1267	901	0	0	0	0	0	0	0	81	1	1	0	0	0	0	0	3	0	0	0	0	22	0	0	1	0	0	0	0	0	0	1	13	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	124	2	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	1020	"AWI"	1020	1196	1898	1506	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	46	0	0	1	0	0	0	0	0	0	2	10	0	0	0	0	0	0	20	0	0	0	0	2	0	0	0	44	2	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	1030	"AWI"	1030	1545	3165	2193	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	44	0	0	0	0	0	3	0	0	0	2	12	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	104	3	0	0
1611	1663	"Loon Pond"	45.03333	-68.2	1040	"AWI"	1040	2129	3968	2995	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	47	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	100	0	0	0
