"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tsuga"	"Ulmus"
1554	1595	"Lake GB2"	56.1	-75.28333	0	"AWI"	0	-144	28	-64	0	0	18.2242990654206	0.186915887850467	0	0.467289719626168	1.4018691588785	10.8411214953271	0	0	0	0	0	0.654205607476636	0.841121495327103	1.02803738317757	0	0	0	0.467289719626168	0	0.0934579439252337	0.560747663551402	0	0.0934579439252337	56.6355140186916	7.47663551401869	0	0	0.747663551401869	0	0.0934579439252337	0.0934579439252337	0	0	0	0	0.0934579439252337	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	2	"AWI"	2	-89	231	32	0	0	24.3202416918429	0.302114803625378	0	0.453172205438067	0.302114803625378	12.0845921450151	0	0	0	0	0.302114803625378	0.302114803625378	0.604229607250755	0.906344410876133	0	0	0	0.453172205438067	0	0.604229607250755	0.302114803625378	0	0.151057401812689	50.9063444108761	6.94864048338369	0	0	0.453172205438067	0	0	0.302114803625378	0	0	0	0	0.151057401812689	0	0	0.151057401812689
1554	1595	"Lake GB2"	56.1	-75.28333	4	"AWI"	4	-66	496	123	0	0	17.2767203513909	0.146412884333821	0	0.439238653001464	0.292825768667643	9.80966325036603	0	0	0	0	0	0.585651537335286	0.439238653001464	0.585651537335286	0	0	0	0.439238653001464	0	0.732064421669107	0.146412884333821	0	0.146412884333821	64.2752562225476	3.95314787701318	0	0	0.585651537335286	0	0	0	0	0	0	0	0.146412884333821	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	6	"AWI"	6	-51	767	215	0.285306704707561	0	16.262482168331	0.285306704707561	0	0.427960057061341	0.570613409415121	12.2681883024251	0	0	0	0	0	0.14265335235378	0.427960057061341	0.570613409415121	0	0	0.14265335235378	0.14265335235378	0	0.855920114122682	0.713266761768902	0	0.14265335235378	59.9144079885877	5.99144079885877	0	0	0.570613409415121	0	0	0	0	0	0	0	0	0	0	0.285306704707561
1554	1595	"Lake GB2"	56.1	-75.28333	8	"AWI"	8	-37	1041	307	0.195694716242661	0	18.0039138943249	0	0	0.391389432485323	0	10.5675146771037	0.195694716242661	0	0	0	0.195694716242661	1.17416829745597	0.195694716242661	0.391389432485323	0	0	0	0.195694716242661	0	0.587084148727984	0.195694716242661	0	0	63.2093933463796	3.71819960861057	0	0	0.587084148727984	0	0	0	0	0	0	0	0.195694716242661	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	10	"AWI"	10	-25	1317	397	0	0	18.552036199095	0	0	0.603318250377074	0.754147812971342	12.0663650075415	0	0	0	0	0.150829562594268	0.301659125188537	0.754147812971342	0.754147812971342	0	0	0	1.05580693815988	0	1.20663650075415	0.150829562594268	0.150829562594268	0.150829562594268	59.8793363499246	2.8657616892911	0	0	0.452488687782805	0	0	0	0	0	0	0	0.150829562594268	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	12	"AWI"	12	65	1396	508	0	0.150602409638554	20.933734939759	0.301204819277108	0	0.451807228915663	0	9.63855421686747	0	0	0	0	0	0.301204819277108	1.6566265060241	0.602409638554217	0	0	0.150602409638554	0.301204819277108	0	0.602409638554217	0.602409638554217	0	0	58.5843373493976	4.66867469879518	0	0	0.753012048192771	0	0	0	0	0	0	0	0	0	0.150602409638554	0.150602409638554
1554	1595	"Lake GB2"	56.1	-75.28333	14	"AWI"	14	115	1498	628	0	0	19.8707592891761	0	0	0.484652665589661	0	10.1777059773829	0	0	0	0	0	0.323101777059774	0.969305331179321	0.807754442649435	0	0	0	0.161550888529887	0	0.807754442649435	0.323101777059774	0.161550888529887	0.161550888529887	59.6122778675283	4.52342487883683	0	0	0.646203554119548	0	0	0.646203554119548	0	0	0	0	0.323101777059774	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	16	"AWI"	16	150	1649	744	0.176056338028169	0	29.2253521126761	0.352112676056338	0	0.704225352112676	0.704225352112676	14.7887323943662	0	0	0	0	0.176056338028169	0.352112676056338	0.880281690140845	1.23239436619718	0	0.176056338028169	0.176056338028169	0.352112676056338	0	0.704225352112676	0	0	0	45.4225352112676	3.34507042253521	0	0	1.05633802816901	0	0	0	0	0	0	0	0.176056338028169	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	18	"AWI"	18	178	1794	852	0.170068027210884	0	24.8299319727891	0.170068027210884	0	0.850340136054422	0.680272108843537	11.9047619047619	0	0	0	0	0	0.170068027210884	0.170068027210884	0.680272108843537	0	0	0.170068027210884	0.170068027210884	0	0.510204081632653	0.340136054421769	0	0.170068027210884	57.312925170068	0	0	0	1.53061224489796	0	0	0.170068027210884	0	0	0	0	0	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	20	"AWI"	20	204	1970	963	0	0	17.0180722891566	0	0	0.602409638554217	0	7.53012048192771	0	0	0	0	0	0.602409638554217	0.753012048192771	1.05421686746988	0	0	0	0.602409638554217	0	1.20481927710843	0.451807228915663	0	0.150602409638554	64.9096385542169	4.06626506024096	0	0	0.301204819277108	0	0.150602409638554	0.150602409638554	0	0	0	0	0.301204819277108	0	0	0.150602409638554
1554	1595	"Lake GB2"	56.1	-75.28333	22	"AWI"	22	348	2026	1077	0.15625	0	17.65625	0	0	0.46875	0.46875	9.53125	0	0	0	0	0	0.3125	0.3125	0.625	0	0	0	0.15625	0	1.09375	0.46875	0	0	63.59375	4.0625	0	0	0.625	0	0.15625	0.15625	0	0	0	0	0	0	0.15625	0
1554	1595	"Lake GB2"	56.1	-75.28333	24	"AWI"	24	437	2095	1196	0.362976406533575	0	16.8784029038113	0	0	0.907441016333938	0.362976406533575	7.62250453720508	0	0	0	0.181488203266788	0	0	0.362976406533575	0.725952813067151	0	0	0	0	0	0.544464609800363	0.362976406533575	0	0	71.6878402903811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	26	"AWI"	26	508	2186	1318	0	0	17.3806609547124	0.122399020807834	0	0.367197062423501	0	8.32313341493268	0	0	0	0.122399020807834	0	0.611995104039168	0.244798041615667	0.611995104039168	0	0	0	0	0	1.468788249694	0.489596083231334	0	0	63.6474908200734	5.26315789473684	0	0	0.244798041615667	0	0	0.611995104039168	0	0.244798041615667	0	0	0	0	0	0.244798041615667
1554	1595	"Lake GB2"	56.1	-75.28333	28	"AWI"	28	563	2297	1435	0	0	20.9813874788494	0	0	0.846023688663283	0.338409475465313	11.336717428088	0	0	0	0	0	0.676818950930626	0	0.676818950930626	0	0	0	0	0	0.676818950930626	0.169204737732657	0	0.169204737732657	58.8832487309645	4.39932318104907	0	0.169204737732657	0.50761421319797	0	0	0.169204737732657	0	0	0	0	0	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	30	"AWI"	30	602	2454	1547	0	0	23.5915492957746	0.352112676056338	0	0.528169014084507	0.352112676056338	9.6830985915493	0	0	0	0	0	0.352112676056338	0.880281690140845	0.704225352112676	0	0	0.352112676056338	0.880281690140845	0.176056338028169	0.528169014084507	0.704225352112676	0	0.176056338028169	54.4014084507042	5.1056338028169	0	0	1.23239436619718	0	0	0	0	0	0	0	0	0	0	0
1554	1595	"Lake GB2"	56.1	-75.28333	36	"AWI"	36	955	2622	1870	0.179856115107914	0	14.568345323741	0	0	0.0899280575539568	0.26978417266187	8.18345323741007	0	0	0	0	0	0.0899280575539568	0.26978417266187	0.719424460431655	0	0	0.0899280575539568	0	0	0.539568345323741	0.26978417266187	0.0899280575539568	0	70.863309352518	3.14748201438849	0	0	0.449640287769784	0	0	0	0	0	0	0	0.0899280575539568	0	0	0.0899280575539568
