"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Juglans"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Tilia"	"Ulmus"
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	15	"AWI"	15	22	642	237	5.55555555555556	15.625	2.08333333333333	0.347222222222222	1.04166666666667	0	0	3.81944444444444	0	0	1.04166666666667	36.8055555555556	22.5694444444444	8.68055555555556	0	0.347222222222222	0	0	2.08333333333333
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	140	"AWI"	140	2241	3541	2916	7.62331838565022	4.03587443946188	0	0	30.4932735426009	0	0	0	0.448430493273543	0	0.448430493273543	12.1076233183857	42.152466367713	1.34529147982063	0	0	0.896860986547085	0.448430493273543	0
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	145	"AWI"	145	2347	3645	3023	16.5217391304348	0	0	0	4.78260869565217	0	0	0	0	0	0	39.5652173913043	37.8260869565217	0	0	0	0	0.434782608695652	0.869565217391304
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	220	"AWI"	220	4123	4987	4617	11.6104868913858	0	0.374531835205993	0.374531835205993	2.24719101123596	0	0	0	0	0	12.3595505617978	37.8277153558052	26.2172284644195	0.374531835205993	0	5.99250936329588	0	0.374531835205993	2.24719101123596
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	240	"AWI"	240	4748	5271	5030	21.5827338129496	0	0	0	4.31654676258993	0	0	0	0	0.359712230215827	0.359712230215827	35.2517985611511	34.8920863309352	0.359712230215827	0	2.87769784172662	0	0	0
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	250	"AWI"	250	4958	5407	5199	35.7859531772575	0	0	0	0	0	0	2.67558528428094	0	0	1.67224080267559	36.1204013377926	18.3946488294314	0	0	4.34782608695652	0	0	1.00334448160535
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	260	"AWI"	260	5069	5561	5344	39.0243902439024	0	0.348432055749129	0	0.348432055749129	0	0	0	0	0	1.39372822299652	30.3135888501742	18.1184668989547	1.39372822299652	0	8.71080139372822	0	0	0.348432055749129
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	270	"AWI"	270	5177	5707	5477	5.26315789473684	0	0	0	0	78.9473684210526	0	0	0	0	10.5263157894737	0	5.26315789473684	0	0	0	0	0	0
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	280	"AWI"	280	5292	5895	5598	0	93.5483870967742	0	0	0	0	0	0	0	0	0	0	6.45161290322581	0	0	0	0	0	0
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	335	"AWI"	335	5847	6720	6254	0	54.7826086956522	0	0	0	29.5652173913043	0	1.73913043478261	0	0	0	0	0.869565217391304	4.34782608695652	0	6.08695652173913	0	0	2.60869565217391
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	370	"AWI"	370	6224	7217	6680	28.169014084507	0	0	1.40845070422535	1.05633802816901	0	0	1.76056338028169	0.352112676056338	0.352112676056338	11.6197183098592	21.830985915493	16.1971830985916	0.704225352112676	0.352112676056338	11.9718309859155	0	0	4.22535211267606
1508	1546	"Gulf of Kosmodem'yanskaya-2 Exposure 5705"	44.15136	145.94102	380	"AWI"	380	6320	7355	6803	27.3381294964029	0	0	0.719424460431655	0	0	0.719424460431655	6.11510791366906	0	1.43884892086331	4.31654676258993	25.8992805755396	24.1007194244604	1.43884892086331	1.79856115107914	5.39568345323741	0	0	0.719424460431655
