"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Violaceae"
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	0	"AWI"	0	-104	60	-21	8	2	22	2	112	0	0	0	0	0	1	0	0	0	0	18	0	0	0	1	0	24	54	8	0	1	0	0	0	63	267	0	51	0	0	11	1	0	3	0	11	0	2	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	4	"AWI"	4	-27	661	176	7	1	8	1	100	0	0	0	0	0	0	0	1	0	0	16	0	2	0	0	0	14	55	3	0	0	0	0	0	52	225	0	26	0	0	9	3	0	1	0	5	0	3	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	8	"AWI"	8	74	1017	409	12	1	11	5	103	0	0	0	0	0	0	0	2	0	0	16	0	0	1	0	0	10	39	10	0	2	0	0	0	78	298	0	58	4	0	3	2	2	0	0	5	0	10	0	1	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	12	"AWI"	12	206	1316	644	6	2	12	1	89	0	0	0	0	0	1	0	0	0	0	7	0	2	0	1	0	1	13	3	0	1	0	1	0	54	270	0	29	0	0	1	2	1	0	0	2	0	2	0	1	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	16	"AWI"	16	346	1606	886	5	1	14	0	77	0	1	0	0	0	3	0	0	0	0	23	0	0	0	0	0	5	40	2	0	0	0	0	0	74	256	0	35	0	0	0	1	2	0	0	13	0	3	1	0	2	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	20	"AWI"	20	490	1876	1136	18	1	19	2	87	0	0	0	0	0	1	0	0	1	0	12	0	0	0	0	0	12	75	13	0	0	0	0	0	97	264	0	43	0	0	12	2	4	2	0	4	0	8	0	0	1	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	24	"AWI"	24	691	2067	1374	16	3	11	0	100	31	0	0	0	0	1	0	0	0	0	20	0	0	0	0	0	7	70	9	0	0	0	0	0	87	281	0	41	0	0	5	5	3	2	0	5	0	2	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	28	"AWI"	28	912	2277	1621	11	0	17	2	88	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	3	20	7	0	0	0	0	0	61	284	0	50	0	0	7	1	0	0	0	5	0	3	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	32	"AWI"	32	1145	2464	1858	17	2	27	0	88	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	12	37	15	0	1	1	0	0	63	250	0	42	0	0	10	5	3	1	0	5	0	9	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	36	"AWI"	36	1421	2641	2089	6	4	16	2	78	0	0	0	0	0	3	0	1	0	0	15	0	0	2	0	0	8	70	6	0	0	0	0	0	77	274	0	39	0	0	0	2	2	4	0	6	0	4	0	0	0	0
