"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Scrophulariaceae"	"Thalictrum"
997	1030	"Hedrick Pond"	43.75	-110.6	0	"AWI"	0	-144	19	-57	3	0	0	2	0	62	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	3	250	9	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	10	"AWI"	10	-81	382	61	4	0	1	10	0	89	0	1	0	0	0	6	0	0	0	0	3	0	0	0	0	0	9	156	16	0	0	0	3	1	0	0	0	0	1	0	1	1	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	30	"AWI"	30	81	814	352	4	0	0	6	0	58	0	0	0	0	1	5	0	2	0	0	2	2	0	0	0	0	7	206	10	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	40	"AWI"	40	169	989	499	4	1	1	7	0	70	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	255	29	0	0	0	1	0	0	0	0	0	3	0	0	4	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	50	"AWI"	50	277	1151	641	4	0	1	15	0	123	0	0	0	0	0	14	0	0	0	0	5	1	0	0	0	1	9	230	32	0	0	0	2	1	0	0	0	0	2	0	0	3	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	60	"AWI"	60	388	1304	789	4	2	1	16	1	122	0	1	0	0	0	9	0	0	0	0	5	1	0	0	0	0	7	241	15	0	0	0	3	0	0	0	0	1	1	0	0	8	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	70	"AWI"	70	505	1446	936	4	0	1	10	0	69	0	1	0	0	0	6	0	0	0	0	2	2	0	0	0	0	12	264.6	7	0	0	0	3	1	0	0	0	0	1	0	0	2	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	80	"AWI"	80	620	1576	1083	3	0	0	7	0	58	0	0	0	0	0	9	0	0	0	0	2	1	0	0	0	0	6	230	18	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	90	"AWI"	90	738	1720	1230	3	0	0	10	1	84	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	13	226	19	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
997	1030	"Hedrick Pond"	43.75	-110.6	100	"AWI"	100	885	1840	1380	1	0	1	18	0	82	0	0	0	0	0	13	0	0	0	0	7	2	0	0	0	0	1	229	47	0	2	0	0	4	1	0	0	1	4	0	0	3	0	0
