"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
939	968	"Goluboye Lake"	61.11667	152.26667	1	"AWI"	1	55	207	129	235	0	1	9	0	139	0	1	3	0	20	14	1	0	8	0	1	0	1	0	417	0	11	0	0	13	6	0	0	0	2	1	2	0
939	968	"Goluboye Lake"	61.11667	152.26667	3	"AWI"	3	396	623	519	201	1	0	5	0	170	0	2	0	0	3	8	0	1	0	0	0	1	0	1	350	0	3	0	0	23	2	0	0	0	4	0	2	0
939	968	"Goluboye Lake"	61.11667	152.26667	7	"AWI"	7	1045	1516	1300	198	0	0	16	0	181	0	2	0	0	5	9	1	0	2	0	0	0	0	0	538	0	8	0	0	4	0	0	0	0	2	0	0	1
939	968	"Goluboye Lake"	61.11667	152.26667	9	"AWI"	9	1353	1669	1466	175	0	1	3	0	207	0	1	0	0	29	8	0	0	1	0	0	0	0	0	352	0	12	0	0	12	1	0	0	0	4	0	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	14	"AWI"	14	1473	2485	1832	245	0	0	8	0	187	0	2	0	1	15	9	1	0	0	0	0	0	0	0	433	0	20	0	0	9	1	0	0	0	2	0	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	20	"AWI"	20	1692	2859	2313	210	0	0	10	0	153	0	0	0	0	7	8	3	0	1	1	0	0	1	0	376	0	13	0	0	10	2	1	0	0	3	0	1	1
939	968	"Goluboye Lake"	61.11667	152.26667	26	"AWI"	26	2373	3117	2737	220	0	0	8	0	261	1	2	0	0	20	5	0	0	0	0	0	0	0	0	503	0	18	0	0	15	2	0	0	0	6	0	1	1
939	968	"Goluboye Lake"	61.11667	152.26667	30	"AWI"	30	2739	3307	3027	258	0	0	6	0	176	0	4	0	0	21	8	0	0	1	0	0	0	0	0	500	0	15	0	0	14	0	0	0	0	1	0	0	2
939	968	"Goluboye Lake"	61.11667	152.26667	35	"AWI"	35	2982	3786	3331	200	0	1	9	0	191	0	1	0	0	18	2	0	0	1	0	0	0	1	0	447	0	17	0	0	13	0	0	0	0	2	0	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	40	"AWI"	40	3192	4129	3617	153	0	0	7	0	176	0	1	0	2	15	8	1	0	0	0	0	0	0	0	220	0	7	0	0	2	2	0	0	0	5	0	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	50	"AWI"	50	3635	4756	4197	206	0	0	15	0	152	0	7	0	0	20	18	0	0	0	0	1	0	0	0	270	0	17	0	0	10	2	1	0	0	1	0	1	1
939	968	"Goluboye Lake"	61.11667	152.26667	55	"AWI"	55	4116	4948	4420	236	0	0	7	0	204	0	0	0	0	15	0	1	0	0	0	0	0	0	0	630	0	14	0	0	10	3	0	0	0	1	0	0	1
939	968	"Goluboye Lake"	61.11667	152.26667	62	"AWI"	62	5568	5908	5706	235	0	0	3	0	201	0	2	0	1	7	2	1	0	0	0	1	0	0	0	605	0	13	0	0	15	2	0	0	0	1	0	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	68	"AWI"	68	6472	6792	6648	173	0	1	10	0	127	0	2	0	0	4	5	0	0	1	1	0	0	1	0	482	0	7	0	0	17	2	0	0	0	1	0	1	0
939	968	"Goluboye Lake"	61.11667	152.26667	73	"AWI"	73	6651	7187	6949	202	0	0	10	0	218	0	1	0	0	2	5	0	0	1	0	0	0	1	0	600	0	0	0	0	7	2	0	0	0	2	0	0	1
939	968	"Goluboye Lake"	61.11667	152.26667	78	"AWI"	78	6841	7351	7112	330	0	0	8	0	230	0	1	0	0	5	7	2	0	0	0	1	0	1	0	614	0	15	0	0	13	2	0	0	0	1	0	1	0
939	968	"Goluboye Lake"	61.11667	152.26667	83	"AWI"	83	6934	7508	7223	262	0	0	2	0	254	0	0	0	0	8	8	0	0	0	0	0	0	0	0	590	0	12	0	0	22	3	0	0	0	2	0	0	1
939	968	"Goluboye Lake"	61.11667	152.26667	88	"AWI"	88	7033	7629	7320	265	0	0	6	0	215	0	0	0	1	8	3	0	0	0	0	0	0	0	0	580	0	9	0	0	12	1	0	0	0	2	1	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	93	"AWI"	93	7098	7742	7422	262	0	0	4	0	280	0	1	0	0	15	2	0	0	0	0	0	0	1	0	485	0	12	1	0	15	4	0	0	0	4	0	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	100	"AWI"	100	7236	7861	7564	271	0	0	10	0	299	0	2	0	0	10	4	0	0	0	0	0	0	4	2	543	0	8	0	0	8	3	0	0	0	6	1	1	0
939	968	"Goluboye Lake"	61.11667	152.26667	107	"AWI"	107	7372	7961	7705	246	0	0	6	0	177	0	1	0	0	7	7	0	0	0	1	0	0	0	1	557	0	6	0	0	5	1	0	0	0	2	0	0	2
939	968	"Goluboye Lake"	61.11667	152.26667	112	"AWI"	112	7511	8024	7804	267	0	0	8	0	257	0	3	0	0	4	22	0	0	0	0	0	0	0	0	510	0	14	1	0	6	2	0	0	0	2	0	0	1
939	968	"Goluboye Lake"	61.11667	152.26667	117	"AWI"	117	7649	8092	7901	271	0	1	4	0	291	0	2	0	1	0	2	1	0	0	0	0	0	0	0	506	0	8	0	0	12	2	0	0	0	2	0	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	122	"AWI"	122	7789	8152	7997	273	0	0	8	0	244	0	1	0	2	3	7	0	0	0	0	1	0	0	0	532	0	5	0	0	7	2	0	0	0	4	0	0	0
939	968	"Goluboye Lake"	61.11667	152.26667	125	"AWI"	125	7872	8179	8043	286	0	0	4	0	279	0	1	0	0	0	8	1	0	0	0	0	0	0	0	430	0	7	1	0	2	2	0	0	0	1	0	1	0
939	968	"Goluboye Lake"	61.11667	152.26667	130	"AWI"	130	7956	8314	8126	430	0	0	2	0	320	0	2	0	3	8	2	0	0	0	0	0	1	0	0	210	0	12	0	0	15	4	0	0	1	3	0	0	1
939	968	"Goluboye Lake"	61.11667	152.26667	134	"AWI"	134	8006	8381	8177	408	0	0	2	0	404	0	0	0	0	14	4	0	0	0	1	0	7	0	0	325	0	20	0	0	24	2	0	0	0	5	0	1	0
