"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Araceae"	"Arecaceae"	"Artemisia"	"Asteraceae"	"Brassicaceae"	"Bromeliaceae"	"Buddleja"	"Byrsonima"	"Calceolariaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castilla"	"Cecropia"	"Celtis"	"Clethra"	"Cyperaceae"	"Dodonaea"	"Drimys"	"Ephedraceae"	"Ericales"	"Escallonia"	"Eugenia"	"Euphorbiaceae"	"Fabaceae"	"Ficus"	"Gentianaceae"	"Geraniaceae"	"Gunneraceae"	"Hedyosmum"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Juglans"	"Juncaceae"	"Lamiaceae"	"Liliaceae"	"Loranthaceae"	"Malvaceae"	"Melastomataceae"	"Moraceae"	"Myrica"	"Myrsinaceae"	"Myrsine"	"Myrtaceae"	"Oxalidaceae"	"Papaveraceae"	"Piperaceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polygonaceae"	"Polylepis"	"Portulacaceae"	"Proteaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sambucus"	"Sapium"	"Solanaceae"	"Styloceras"	"Thalictrum"	"Trema"	"Ulmaceae"	"Urticaceae"	"Viburnum"	"Weinmannia"
1625	1679	"Laguna Tuctua"	-11.66667	-75	874	"AWI"	874	-152	18	-68	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	8	0	0	5	0	104	0	0	0	0	0	0	3	1	2	1	0	0	0	0	0	0	37	8	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
1625	1679	"Laguna Tuctua"	-11.66667	-75	890	"AWI"	890	32	1111	404	0	8	0	0	1	0	0	0	0	0	0	0	1	0	0	4	1	0	2	0	0	0	5	1	0	0	2	0	0	0	0	0	1	1	0	25	0	0	9	0	235	0	0	0	1	0	0	8	3	5	3	2	0	0	0	0	0	89	8	0	1	0	0	0	0	1	0	0	0	0	1	1	4	0	4	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	906	"AWI"	906	317	1843	931	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	26	0	0	8	0	270	2	0	0	0	0	1	4	4	2	1	8	0	0	1	0	0	75	8	0	1	0	0	0	0	0	0	0	0	1	0	1	3	0	9	0	1
1625	1679	"Laguna Tuctua"	-11.66667	-75	933	"AWI"	933	941	2788	1837	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	4	0	0	0	7	0	1	0	1	0	0	0	0	0	0	0	1	12	0	0	6	0	326	0	0	0	0	0	0	7	5	2	1	11	0	0	0	0	0	113	14	0	5	0	0	0	0	0	0	0	0	1	0	2	7	0	0	0	1
1625	1679	"Laguna Tuctua"	-11.66667	-75	949	"AWI"	949	1454	3238	2372	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	3	3	1	5	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	1	22	0	0	15	0	154	0	0	0	0	0	0	5	2	9	1	2	0	0	0	0	0	101	6	0	6	2	0	0	0	0	0	0	0	0	0	1	7	0	15	0	2
1625	1679	"Laguna Tuctua"	-11.66667	-75	965	"AWI"	965	1968	3678	2904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	3	0	164	0	1	0	0	0	0	5	4	5	1	0	0	0	0	0	0	92	7	0	1	0	0	0	0	0	0	0	0	3	0	4	7	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	981	"AWI"	981	2579	4015	3441	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1	5	1	0	0	5	1	0	0	2	0	0	0	0	0	0	0	0	10	0	0	10	0	163	1	0	0	0	0	0	4	3	2	3	3	0	0	0	0	0	96	5	0	3	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	3
1625	1679	"Laguna Tuctua"	-11.66667	-75	997	"AWI"	997	3403	4315	3951	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	7	2	1	0	1	0	0	0	0	0	0	0	0	19	0	0	12	0	200	1	0	0	1	1	0	5	0	3	1	3	0	0	0	0	0	104	12	0	2	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1013	"AWI"	1013	3928	4721	4323	5	2	0	0	3	0	0	0	0	0	0	0	0	0	0	8	2	1	2	0	0	0	13	1	0	0	2	0	0	0	0	0	0	0	0	26	0	0	6	0	357	1	1	1	0	0	0	4	9	5	1	2	0	0	0	0	0	131	15	0	0	0	0	0	0	0	0	0	0	2	0	2	5	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1034	"AWI"	1034	4231	5295	4714	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	5	0	0	0	7	0	0	0	3	0	0	0	1	0	1	0	0	9	0	0	5	0	172	2	1	0	0	0	0	2	6	2	0	1	0	0	0	2	0	68	9	0	2	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	3
1625	1679	"Laguna Tuctua"	-11.66667	-75	1050	"AWI"	1050	4493	5615	5018	3	2	0	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	2	0	0	0	10	0	0	0	1	0	0	0	1	0	0	0	0	10	0	0	4	0	168	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	69	9	0	0	0	0	1	0	0	1	0	0	0	0	1	5	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1082	"AWI"	1082	5025	6242	5639	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	7	0	0	3	0	255	0	0	0	0	0	1	1	2	0	1	3	0	0	0	2	0	52	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1114	"AWI"	1114	5669	6766	6256	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	9	0	150	0	0	0	1	1	0	3	4	2	1	2	0	0	0	0	0	93	19	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1132	"AWI"	1132	6098	7008	6597	3	9	0	0	1	0	0	0	0	0	0	0	0	1	0	5	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	17	0	0	3	1	127	0	0	0	0	0	0	1	2	3	0	3	0	0	0	0	0	58	19	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1146	"AWI"	1146	6534	7182	6851	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	6	0	0	0	6	0	0	0	2	0	0	0	0	0	1	0	0	28	0	0	27	0	322	1	0	0	0	0	0	2	9	4	0	1	0	0	0	4	0	129	29	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1162	"AWI"	1162	6871	7901	7278	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	9	1	1	13	1	0	0	4	0	0	0	2	0	0	0	0	0	1	0	0	11	0	0	11	0	157	1	0	0	0	0	0	1	8	1	2	3	0	0	0	1	0	72	13	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	9	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1178	"AWI"	1178	7185	8686	7791	10	8	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	1	11	3	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	20	0	244	0	0	0	0	0	0	6	11	2	2	2	0	0	0	0	0	94	14	0	4	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1194	"AWI"	1194	7494	9379	8310	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	1	8	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	13	0	241	0	0	0	0	0	0	3	15	2	2	5	0	0	0	0	0	98	12	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1210	"AWI"	1210	7928	9952	8853	0	11	0	0	2	0	0	0	0	0	1	0	0	0	0	6	0	0	20	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	17	0	213	0	0	0	0	0	0	9	14	5	0	3	0	0	0	1	0	122	12	0	1	0	1	0	0	0	0	0	0	0	2	1	2	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1226	"AWI"	1226	8321	10518	9364	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	1	18	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	21	1	0	16	0	261	0	0	0	0	0	0	3	26	1	1	2	0	0	0	1	0	100	23	0	1	0	0	0	0	0	1	0	0	1	1	3	4	0	0	0	1
1625	1679	"Laguna Tuctua"	-11.66667	-75	1232	"AWI"	1232	8491	10708	9554	0	11	0	0	1	0	0	0	0	0	0	0	0	1	0	7	2	3	12	0	0	0	3	0	0	0	5	0	0	0	0	0	1	0	0	9	0	0	8	0	208	0	0	0	0	0	0	3	9	1	2	1	0	0	0	0	0	76	21	0	3	0	0	0	0	0	0	0	0	0	0	3	2	0	15	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1246	"AWI"	1246	8880	11136	10012	0	14	0	1	2	0	0	0	0	1	0	0	0	1	0	6	1	0	6	1	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	17	1	0	18	0	323	1	0	0	0	0	0	3	2	8	2	0	0	0	0	0	0	96	21	0	0	0	1	0	0	0	0	1	0	0	0	2	7	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1262	"AWI"	1262	9393	11588	10543	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	8	1	1	5	0	0	0	7	1	2	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	305	1	0	0	0	0	0	4	10	2	0	4	0	0	0	0	0	116	25	0	1	0	0	1	0	0	0	0	0	1	1	1	2	0	13	0	1
1625	1679	"Laguna Tuctua"	-11.66667	-75	1278	"AWI"	1278	9926	12018	11054	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	1	6	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	10	0	410	0	0	0	0	0	0	2	2	3	1	5	0	0	0	0	0	103	28	0	1	0	0	0	0	0	0	0	0	0	1	1	6	0	22	0	2
1625	1679	"Laguna Tuctua"	-11.66667	-75	1294	"AWI"	1294	10476	12447	11571	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	5	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	9	0	222	0	0	0	0	0	0	3	7	5	2	1	0	0	0	1	0	64	24	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1310	"AWI"	1310	11076	12776	12091	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	6	0	0	0	8	0	0	0	4	1	0	0	0	0	0	0	0	18	0	0	18	0	283	0	0	0	0	0	0	2	2	2	0	1	0	0	0	0	0	75	20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
1625	1679	"Laguna Tuctua"	-11.66667	-75	1326	"AWI"	1326	11730	13139	12613	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	9	0	0	1	4	1	0	0	2	0	0	0	0	0	0	0	0	24	1	0	11	0	94	1	0	0	0	0	0	2	2	6	1	4	0	0	1	3	0	85	24	0	1	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1346	"AWI"	1346	12862	13488	13223	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	7	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	19	0	0	9	0	129	2	0	0	0	0	0	3	2	3	0	5	0	0	0	1	0	73	26	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1349	"AWI"	1349	12928	13632	13297	12	9	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	27	1	4	0	9	1	0	0	5	0	0	0	0	0	0	0	0	30	1	0	9	0	140	2	0	0	0	0	0	9	24	4	0	4	0	1	0	0	0	97	41	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	4
1625	1679	"Laguna Tuctua"	-11.66667	-75	1350	"AWI"	1350	12942	13696	13320	18	3	0	0	0	0	0	1	0	1	1	0	0	1	0	5	0	1	28	0	1	0	3	0	0	0	4	0	0	0	2	0	0	0	0	25	0	0	32	0	0	0	0	0	0	0	0	5	7	3	0	3	0	0	0	2	0	118	23	0	2	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1352	"AWI"	1352	12971	13831	13364	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	5	0	0	0	9	0	0	0	2	0	0	0	1	0	0	0	0	27	0	0	17	0	229	2	0	0	0	1	0	8	6	2	0	2	1	0	0	0	0	46	9	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	6
1625	1679	"Laguna Tuctua"	-11.66667	-75	1354	"AWI"	1354	12995	13993	13407	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	2	0	7	0	0	0	3	0	0	0	0	0	1	0	0	10	0	0	19	0	101	1	0	0	0	0	0	6	1	0	0	0	0	0	0	1	0	53	14	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	5
1625	1679	"Laguna Tuctua"	-11.66667	-75	1366	"AWI"	1366	13204	14535	13709	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	12	0	138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1625	1679	"Laguna Tuctua"	-11.66667	-75	1388	"AWI"	1388	13566	15361	14281	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	5	1	0	0	0	16	0	0	1	0	0	0	0	0	0	2	0	0	21	0	0	15	0	111	1	0	0	0	0	1	3	7	0	0	0	0	0	0	0	0	50	10	0	1	0	0	0	0	0	1	0	0	1	0	1	3	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1392	"AWI"	1392	13630	15515	14385	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	10	0	92	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	38	11	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6
1625	1679	"Laguna Tuctua"	-11.66667	-75	1394	"AWI"	1394	13657	15598	14430	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	13	0	154	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	6	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1400	"AWI"	1400	13781	15773	14590	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	2	1	1	0	0	19	0	1	2	0	0	0	0	0	0	2	0	0	27	0	1	23	0	394	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	74	34	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1404	"AWI"	1404	13844	15955	14693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	4	0	64	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	19	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1625	1679	"Laguna Tuctua"	-11.66667	-75	1410	"AWI"	1410	13974	16129	14856	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	143	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	26	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1428	"AWI"	1428	14326	16749	15333	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	5	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	17	0	286	1	0	0	0	0	0	9	2	1	0	0	0	0	0	0	0	39	20	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	4
1625	1679	"Laguna Tuctua"	-11.66667	-75	1450	"AWI"	1450	14760	17525	15901	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	0	129	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	56	11	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1458	"AWI"	1458	14924	17777	16110	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	8	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1625	1679	"Laguna Tuctua"	-11.66667	-75	1474	"AWI"	1474	15260	18318	16535	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	15	1	0	12	0	121	0	0	0	0	0	1	2	2	1	2	0	0	0	0	0	0	28	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1625	1679	"Laguna Tuctua"	-11.66667	-75	1490	"AWI"	1490	15632	18810	16984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1625	1679	"Laguna Tuctua"	-11.66667	-75	1500	"AWI"	1500	15826	19100	17239	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	17	0	0	1	0	0	0	0	2	0	1	0	0	9	1	0	11	0	163	0	0	0	0	0	0	3	5	1	0	0	0	0	0	1	6	32	19	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
