"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
657	673	"Deer Lake Bog"	44.03333	-71.83333	0	"AWI"	0	-139	28	-53	29	8	3	0	1	16	186	0	0	0	0	0	2	0	7	1	12	0	0	12	0	0	0	0	6	4	0	1	0	9	1	15	0	0	2	0	0	0	0	7	1	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	25	"AWI"	25	-39	703	208	19	0	5	0	0	0	95	0	0	1	2	0	5	2	2	0	10	0	0	1	0	0	0	1	1	20	0	0	0	7	6	8	0	0	5	0	0	0	0	6	0	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	50	"AWI"	50	104	1062	503	31	0	2	1	0	10	83	0	1	0	2	0	0	0	8	0	11	6	0	8	0	0	0	1	0	11	0	1	1	12	2	9	1	0	2	3	0	0	0	10	3	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	60	"AWI"	60	148	1167	626	24	0	2	0	0	0	100	0	0	0	3	0	3	0	7	1	47	0	0	7	0	0	0	1	2	39	34	0	0	0	0	17	0	0	0	2	0	0	0	35	4	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	75	"AWI"	75	322	1293	799	15	0	14	0	1	0	123	0	2	1	0	0	3	0	5	2	19	4	0	8	8	0	0	0	4	26	0	0	2	3	4	43	0	0	0	2	0	0	0	17	6	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	90	"AWI"	90	455	1393	996	20	0	1	2	0	0	96	0	0	0	3	0	3	0	15	1	49	7	0	13	1	0	0	1	6	22	0	0	1	0	0	16	0	0	0	0	0	0	0	46	7	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	100	"AWI"	100	579	1497	1121	10	0	2	0	1	0	160	0	0	0	2	0	5	0	28	0	59	0	0	8	19	0	0	0	5	4	0	0	0	1	3	15	0	0	0	0	0	1	1	36	2	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	125	"AWI"	125	1211	1708	1410	6	0	3	0	1	0	161	0	2	0	0	0	4	0	66	0	51	8	0	8	2	0	0	0	3	4	0	0	1	0	5	15	0	0	0	0	0	0	0	48	0	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	150	"AWI"	150	1504	2461	1973	11	0	3	0	0	0	140	0	0	0	1	1	7	0	1	0	81	7	0	13	22	0	0	2	12	6	0	0	0	0	4	13	0	0	0	0	0	0	2	37	6	0	0
657	673	"Deer Lake Bog"	44.03333	-71.83333	175	"AWI"	175	2193	3175	2638	10	0	1	0	1	0	125	0	2	0	0	0	7	0	8	0	62	6	0	17	29	0	0	0	7	6	0	0	0	0	0	20	0	0	0	0	0	0	2	24	6	0	0
