"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	20	"AWI"	20	-32	407	109	2	2	8	10	0	0	38	10	0	3	0	0	9	166	0	0	0	0	1	24	2	3	0	0	0	4	7	116	0	0	0	0	0	68	0	1	4	0	0	7	1	0	0	0	3	2	15
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	35	"AWI"	35	34	533	227	0	4	11	7	1	16	40	13	0	1	0	0	3	218	0	0	0	0	0	18	3	0	0	0	0	1	4	94	0	0	0	0	0	76	0	4	0	0	0	1	0	0	0	0	0	0	11
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	60	"AWI"	60	137	778	416	0	2	0	10	4	14	53	11	0	2	0	0	3	189	0	0	0	0	0	17	0	2	0	0	0	0	11	125	0	0	0	0	0	59	0	0	0	0	0	9	0	0	0	0	0	0	4
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	85	"AWI"	85	299	963	616	1	4	6	14	0	24	28	14	0	0	0	0	18	144	0	0	0	0	1	17	1	0	1	0	0	1	3	133	0	0	0	1	0	103	0	0	0	0	0	7	0	0	0	0	0	3	7
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	110	"AWI"	110	476	1154	812	0	1	6	5	0	12	23	9	0	1	0	0	1	260	0	0	0	0	1	6	0	0	0	0	0	1	1	61	0	0	0	1	0	121	0	0	2	1	0	7	0	0	0	0	0	1	1
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	135	"AWI"	135	672	1309	996	1	1	12	13	2	23	59	22	0	0	0	0	3	152	0	0	0	0	2	8	2	0	1	0	0	1	2	87	0	0	0	0	0	134	0	2	0	0	0	1	1	0	0	2	0	0	6
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	160	"AWI"	160	901	1477	1184	0	0	17	5	0	26	31	17	0	1	1	0	4	99	0	0	0	0	1	12	2	0	2	0	0	3	14	69	0	0	0	0	0	161	0	0	0	0	0	3	0	0	0	0	1	0	7
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	185	"AWI"	185	1185	1735	1411	2	1	8	5	0	19	48	20	0	1	0	0	5	19	0	0	0	1	0	5	3	0	0	0	0	6	3	24	0	0	0	0	0	213	0	0	0	0	0	3	1	0	0	2	0	0	11
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	210	"AWI"	210	1340	2402	1727	0	3	7	11	0	26	28	33	0	4	0	0	5	7	0	0	0	0	1	5	2	0	7	0	0	3	2	14	0	1	0	0	0	208	0	0	0	0	0	0	0	0	0	3	3	0	12
1483	1520	"Kirchner Marsh"	44.77054	-93.12302	235	"AWI"	235	1526	2849	2053	0	3	12	8	0	27	26	19	0	1	0	0	7	7	0	0	0	0	3	8	2	0	0	0	0	2	1	14	0	0	0	0	0	226	0	0	0	0	0	1	0	0	0	1	1	0	8
