"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Geraniaceae"	"Iridaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	0	"AWI"	0	269	2227	1240	190	1	0	48	0	1	0	26	0	0	0	0	0	1	0	0	1	0	46	10	0	0	1	2	1	0	0	1
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	20	"AWI"	20	458	2347	1384	166	3	0	68	0	1	0	56	0	0	0	0	1	1	0	0	2	0	68	1	0	0	0	3	3	3	0	0
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	440	"AWI"	440	4033	4687	4431	122	1	0	30	0	1	0	29	0	0	0	0	0	2	0	1	1	0	28	9	0	1	1	2	1	0	0	1
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	525	"AWI"	525	4497	4985	4750	140	1	0	29	0	1	0	9	0	1	0	0	1	1	0	1	1	1	8	3	0	2	1	0	1	1	0	1
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	625	"AWI"	625	4925	5444	5199	110	1	2	30	0	1	0	4	1	0	0	0	0	1	1	1	1	0	1	3	0	0	1	2	1	1	1	1
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	740	"AWI"	740	5689	6179	5916	146	1	0	16	0	1	0	3	0	0	1	0	0	1	1	0	1	0	3	6	0	0	1	0	1	1	0	1
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	780	"AWI"	780	5959	6480	6230	154	1	2	22	0	1	1	10	0	0	0	0	0	1	1	1	1	0	2	3	0	0	1	0	1	0	0	0
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	820	"AWI"	820	6116	6983	6486	150	1	0	25	0	1	0	16	0	0	0	0	0	0	0	1	1	0	7	7	0	0	0	0	0	1	0	1
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	835	"AWI"	835	6170	7157	6583	260	2	0	81	0	1	0	35	0	0	1	1	0	1	0	0	2	0	22	7	0	0	0	0	0	0	1	0
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	845	"AWI"	845	6208	7268	6645	280	1	0	45	0	0	1	33	0	0	1	0	0	1	0	0	1	0	11	4	0	0	0	0	1	0	0	0
1515	1553	"Bol'shaya Kuobakh-Baga River, Terrace Site"	64.98333	143.375	870	"AWI"	870	6306	7524	6812	30	3	0	84	0	1	1	17	0	0	0	0	0	0	0	0	2	0	10	2	0	0	1	0	1	0	0	0
