"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Ulmus"
1136	1171	"James Bay"	50.22	-80.2	1	"AWI"	1	-102	63	-17	1.36054421768707	0.680272108843537	0	0	0	6.80272108843537	0	28.5714285714286	1.36054421768707	0	0	0.680272108843537	0	0.680272108843537	38.7755102040816	18.3673469387755	0	2.04081632653061	0	0	0.680272108843537	0	0
1136	1171	"James Bay"	50.22	-80.2	5	"AWI"	5	-65	188	48	0	2.94117647058824	0.980392156862745	0	0	1.96078431372549	0	0.980392156862745	6.86274509803922	0	0	0	0	0.980392156862745	66.6666666666667	17.6470588235294	0	0	0	0.980392156862745	0	0	0
1136	1171	"James Bay"	50.22	-80.2	10	"AWI"	10	-40	396	126	0	0	0.763358778625954	0	0	9.9236641221374	0	20.6106870229008	2.29007633587786	0	0	1.52671755725191	0	0.763358778625954	41.9847328244275	20.6106870229008	0	0.763358778625954	0	0.763358778625954	0	0	0
1136	1171	"James Bay"	50.22	-80.2	15	"AWI"	15	37	452	221	0	0	0	0	0	7.69230769230769	0	12.8205128205128	0.854700854700855	0	0	0.854700854700855	0	0	56.4102564102564	19.6581196581197	0	0	0	0	0.854700854700855	0.854700854700855	0
1136	1171	"James Bay"	50.22	-80.2	19	"AWI"	19	73	537	296	0.819672131147541	0.819672131147541	0	0.819672131147541	0	5.73770491803279	0	14.7540983606557	3.27868852459016	0	0	1.63934426229508	0.819672131147541	0.819672131147541	47.5409836065574	21.3114754098361	0	0.819672131147541	0	0.819672131147541	0	0	0
1136	1171	"James Bay"	50.22	-80.2	21	"AWI"	21	126	582	343	0	1.8348623853211	0	0.917431192660551	0	0	0	4.58715596330275	0.917431192660551	0	0	2.75229357798165	1.8348623853211	0	64.2201834862385	22.0183486238532	0	0	0	0.917431192660551	0	0	0
1136	1171	"James Bay"	50.22	-80.2	25	"AWI"	25	228	703	466	0.793650793650794	0	0	0	0	3.17460317460317	0	18.2539682539683	0	0	0	2.38095238095238	2.38095238095238	0	58.7301587301587	14.2857142857143	0	0	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	30	"AWI"	30	297	1024	601	0.862068965517241	0.862068965517241	0	0	0	2.58620689655172	1.72413793103448	12.0689655172414	0.862068965517241	0	0	1.72413793103448	1.72413793103448	0	62.0689655172414	15.5172413793103	0	0	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	35	"AWI"	35	466	1264	842	0.892857142857143	0.892857142857143	0	0	0	1.78571428571429	0	7.14285714285714	0	0	0	1.78571428571429	4.46428571428571	0.892857142857143	62.5	16.9642857142857	0	1.78571428571429	0	0.892857142857143	0	0	0
1136	1171	"James Bay"	50.22	-80.2	38	"AWI"	38	517	1516	972	0.970873786407767	0.970873786407767	0	0	0	2.9126213592233	0	0	0	0	0	2.9126213592233	0	0	65.0485436893204	27.1844660194175	0	0	0	0	0	0	0
