"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Geraniaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Violaceae"
31	31	"Alut Lake"	60.13667	152.31278	857	"AWI"	857	28363	29473	28843	11	0	0	18	0	7	0	0	2	10	2	1	0	0	0	0	0	0	0	0	9	0	15	0	14	0	0	0	2	0	0	0	0	5	1	0	13	0
31	31	"Alut Lake"	60.13667	152.31278	882	"AWI"	882	28732	30084	29269	58	0	0	11	0	20	29	0	5	30	0	0	0	0	0	0	0	0	0	1	27	0	25	0	60	0	0	0	1	0	0	0	0	15	3	0	5	0
31	31	"Alut Lake"	60.13667	152.31278	1030	"AWI"	1030	30831	33584	31952	483	1	1	6	0	75	0	0	1	27	3	0	0	0	0	2	0	0	0	0	0	0	473	0	11	0	0	3	1	1	0	0	0	3	0	0	1	0
31	31	"Alut Lake"	60.13667	152.31278	867	"AWI"	867	28539	29680	29024	36	5	0	18	3	12	30	0	6	21	4	0	0	0	0	0	0	0	0	0	39	0	13	0	94	0	0	1	3	0	0	0	0	12	3	2	8	0
31	31	"Alut Lake"	60.13667	152.31278	877	"AWI"	877	28671	29920	29188	69	0	0	21	0	8	36	0	9	2	0	0	0	0	0	0	0	0	0	0	46	0	26	0	75	1	0	0	5	0	0	0	0	11	4	0	4	0
31	31	"Alut Lake"	60.13667	152.31278	817	"AWI"	817	27503	28833	28162	34	0	3	60	0	6	0	0	11	154	5	0	0	0	0	0	0	0	0	0	38	0	16	0	115	0	0	5	11	0	0	0	0	13	4	0	41	0
31	31	"Alut Lake"	60.13667	152.31278	1020	"AWI"	1020	30650	33289	31780	532	0	1	7	0	84	0	0	5	80	14	0	0	0	0	1	0	0	0	0	0	0	429	0	21	0	0	2	3	0	0	0	0	8	0	1	2	0
31	31	"Alut Lake"	60.13667	152.31278	1124	"AWI"	1124	32465	36575	34256	605	0	0	9	0	151	0	0	4	38	25	1	0	0	0	0	1	0	0	0	2	0	32	0	20	0	0	1	2	0	0	0	0	6	0	0	1	0
31	31	"Alut Lake"	60.13667	152.31278	724	"AWI"	724	26054	27395	26784	50	0	1	19	0	294	0	0	9	317	5	0	0	0	1	0	0	0	0	1	7	0	12	0	127	0	0	2	4	0	0	0	0	21	1	0	16	0
31	31	"Alut Lake"	60.13667	152.31278	1090	"AWI"	1090	31905	35547	33455	182	0	1	50	0	65	0	0	4	157	28	0	0	0	0	0	1	0	0	0	1	0	6	0	120	0	0	1	3	0	0	0	0	17	0	2	10	0
31	31	"Alut Lake"	60.13667	152.31278	764	"AWI"	764	26680	27857	27239	45	0	0	20	3	371	0	0	15	238	13	0	0	0	0	0	0	0	0	0	8	0	14	0	133	0	0	3	3	0	0	0	0	30	1	0	7	0
31	31	"Alut Lake"	60.13667	152.31278	837	"AWI"	837	27854	29160	28515	52	0	2	52	6	21	0	0	17	126	5	0	0	0	0	0	0	0	0	0	20	0	12	0	87	0	0	4	9	0	0	0	0	22	5	0	25	0
31	31	"Alut Lake"	60.13667	152.31278	684	"AWI"	684	25410	27006	26386	31	0	6	40	7	37	0	0	14	195	7	2	0	0	2	0	0	0	0	0	38	0	14	0	166	0	0	4	11	0	0	0	0	20	2	0	32	0
31	31	"Alut Lake"	60.13667	152.31278	900	"AWI"	900	28927	30622	29599	135	0	0	25	4	45	0	0	10	46	15	0	0	0	0	0	1	0	0	0	51	0	71	0	69	0	0	1	4	0	0	0	0	26	4	1	8	0
31	31	"Alut Lake"	60.13667	152.31278	960	"AWI"	960	29730	32095	30700	308	0	1	25	9	68	0	0	25	42	16	0	0	0	0	0	1	0	0	0	5	0	150	0	70	0	0	0	3	0	0	0	0	26	0	1	6	0
31	31	"Alut Lake"	60.13667	152.31278	784	"AWI"	784	26961	28284	27581	47	0	3	41	10	30	0	0	13	220	10	2	0	0	0	0	0	0	1	0	8	0	26	0	86	0	0	1	0	0	0	0	0	22	1	0	18	0
31	31	"Alut Lake"	60.13667	152.31278	920	"AWI"	920	29199	31163	29977	231	0	2	33	10	54	0	0	22	99	11	1	0	0	0	0	0	0	0	0	26	0	161	0	160	0	0	2	7	0	0	0	0	19	0	3	10	0
31	31	"Alut Lake"	60.13667	152.31278	980	"AWI"	980	30031	32467	31034	453	0	4	5	0	112	0	0	0	40	23	2	0	0	0	0	0	0	1	0	2	0	110	0	27	0	0	2	3	1	0	0	0	11	1	2	1	0
31	31	"Alut Lake"	60.13667	152.31278	1000	"AWI"	1000	30324	32807	31431	388	0	1	10	0	76	0	0	5	173	29	1	0	0	0	0	1	0	1	0	1	0	326	0	32	0	0	2	3	1	0	0	0	16	0	0	1	0
