"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Viburnum"
513	527	"Crowsnest Lake"	68.33333	-146.48333	5	"AWI"	5	-90	335	48	0	0	1.58730158730159	0	40.4761904761905	0	0	0.396825396825397	27.7777777777778	0	0	0	4.76190476190476	0	0	0	1.19047619047619	0	10.7142857142857	0	0	5.55555555555556	0	0	2.77777777777778	0	0	0	4.76190476190476	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	10	"AWI"	10	-66	724	158	0	0	0.357142857142857	0	40	0	0	0	35	0.714285714285714	0	0.357142857142857	0.357142857142857	0	0	0	0	0	14.2857142857143	0	0	4.28571428571429	0	0	0.714285714285714	0	0	0	3.92857142857143	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	20	"AWI"	20	-36	1513	378	0	0	0	0	32.2097378277154	0	1.12359550561798	0.374531835205993	38.5767790262172	0	0	0	1.12359550561798	0	0	0	0	0	22.4719101123595	0.374531835205993	0	2.62172284644195	0	0	0	0	0	0	1.12359550561798	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	30	"AWI"	30	107	1876	657	0	0	0.760456273764259	0	29.277566539924	0	0	0	41.4448669201521	0	0	0	0	0.760456273764259	0	0	0	0	20.532319391635	0	0	3.80228136882129	0	0	0	0	0	0	3.42205323193916	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	40	"AWI"	40	187	2314	926	0	0.434782608695652	1.30434782608696	0	27.8260869565217	0	0.869565217391304	0	30.4347826086957	0.434782608695652	0	0	1.73913043478261	0	0	0	0	0	30	0.434782608695652	0	5.65217391304348	0	0	0	0	0	0	0.869565217391304	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	50	"AWI"	50	363	2653	1193	0	0	1.74825174825175	0	30.4195804195804	0	0.34965034965035	0	38.8111888111888	0.34965034965035	0	0	0.699300699300699	0	0	0.34965034965035	0	0	22.027972027972	0.34965034965035	0	2.7972027972028	0	0	0.699300699300699	0	0	0	1.3986013986014	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	65	"AWI"	65	525	3260	1623	0	0	0	0	29.9559471365639	0	0	0	39.647577092511	0.440528634361234	0	0.440528634361234	1.3215859030837	0	0	0	0.440528634361234	0	22.0264317180617	0	0	3.08370044052863	0	0	0	0	0	0	2.6431718061674	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	70	"AWI"	70	654	3349	1759	0	0	0.34965034965035	0	36.013986013986	0	0.699300699300699	0	29.020979020979	0	0	0	0.34965034965035	0	0	0	0.34965034965035	0	25.8741258741259	0.34965034965035	0	4.1958041958042	0	0	0	0	0	0	2.44755244755245	0	0.34965034965035	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	80	"AWI"	80	841	3663	2042	0	0	0.847457627118644	0	30.0847457627119	0	0.423728813559322	0	29.2372881355932	0.423728813559322	0	0	2.96610169491525	0.423728813559322	0	0	0	0	25.4237288135593	0	0	5.50847457627119	0	0	0.423728813559322	0	0	0	4.23728813559322	0	0	0
513	527	"Crowsnest Lake"	68.33333	-146.48333	90	"AWI"	90	1047	4041	2320	0	0.732600732600733	0.732600732600733	0	24.5421245421245	0	0.366300366300366	0	33.3333333333333	0	0	0	0.366300366300366	0	0	0.366300366300366	0	0	34.0659340659341	0	0	4.02930402930403	0	0	0	0	0	0	1.46520146520147	0	0	0
