"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Ulmus"
1136	1171	"James Bay"	50.22	-80.2	1	"AWI"	1	-102	63	-17	2	1	0	0	0	10	0	42	2	0	0	1	0	1	57	27	0	3	0	0	1	0	0
1136	1171	"James Bay"	50.22	-80.2	5	"AWI"	5	-65	188	48	0	3	1	0	0	2	0	1	7	0	0	0	0	1	68	18	0	0	0	1	0	0	0
1136	1171	"James Bay"	50.22	-80.2	10	"AWI"	10	-40	396	126	0	0	1	0	0	13	0	27	3	0	0	2	0	1	55	27	0	1	0	1	0	0	0
1136	1171	"James Bay"	50.22	-80.2	15	"AWI"	15	37	452	221	0	0	0	0	0	9	0	15	1	0	0	1	0	0	66	23	0	0	0	0	1	1	0
1136	1171	"James Bay"	50.22	-80.2	19	"AWI"	19	73	537	296	1	1	0	1	0	7	0	18	4	0	0	2	1	1	58	26	0	1	0	1	0	0	0
1136	1171	"James Bay"	50.22	-80.2	21	"AWI"	21	126	582	343	0	2	0	1	0	0	0	5	1	0	0	3	2	0	70	24	0	0	0	1	0	0	0
1136	1171	"James Bay"	50.22	-80.2	25	"AWI"	25	228	703	466	1	0	0	0	0	4	0	23	0	0	0	3	3	0	74	18	0	0	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	30	"AWI"	30	297	1024	601	1	1	0	0	0	3	2	14	1	0	0	2	2	0	72	18	0	0	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	35	"AWI"	35	466	1264	842	1	1	0	0	0	2	0	8	0	0	0	2	5	1	70	19	0	2	0	1	0	0	0
1136	1171	"James Bay"	50.22	-80.2	38	"AWI"	38	517	1516	972	1	1	0	0	0	3	0	0	0	0	0	3	0	0	67	28	0	0	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	40	"AWI"	40	543	1704	1055	1	1	0	0	0	11	0	9	4	2	1	3	4	5	42	29	0	5	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	45	"AWI"	45	826	1824	1307	1	1	0	0	0	1	0	1	0	0	0	0	1	0	80	16	0	0	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	48	"AWI"	48	913	1952	1463	8	1	0	0	0	0	0	0	0	0	0	1	2	0	70	19	0	0	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	50	"AWI"	50	953	2073	1561	6	2	0	1	0	7	6	1	1	0	0	3	1	0	62	14	0	1	1	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	55	"AWI"	55	1328	2179	1768	3	6	0	1	0	3	14	7	0	0	0	14	0	0	64	9	0	1	0	1	0	0	0
1136	1171	"James Bay"	50.22	-80.2	60	"AWI"	60	1514	2430	1985	5	6	0	1	0	6	0	14	0	0	0	3	3	0	61	19	0	1	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	65	"AWI"	65	1664	2586	2137	4	1	0	0	0	2	0	10	0	0	0	0	1	0	72	20	0	1	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	70	"AWI"	70	1750	2868	2279	4	1	1	0	0	8	1	26	0	0	0	2	8	0	58	20	0	2	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	75	"AWI"	75	1922	3005	2435	1	2	0	2	0	2	0	5	0	0	0	1	9	0	66	15	0	1	1	3	0	0	1
1136	1171	"James Bay"	50.22	-80.2	80	"AWI"	80	2023	3216	2588	0	7	0	0	0	8	1	19	0	0	0	3	4	0	53	25	0	1	0	2	0	0	0
1136	1171	"James Bay"	50.22	-80.2	85	"AWI"	85	2218	3323	2746	0	1	0	0	0	5	0	25	0	0	0	2	2	0	59	33	0	2	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	90	"AWI"	90	2323	3500	2901	4	2	0	0	0	2	0	3	0	0	0	0	5	0	75	12	0	1	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	95	"AWI"	95	2504	3688	3075	0	2	0	0	0	6	1	9	0	0	0	6	9	0	61	21	0	0	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	97	"AWI"	97	2549	3803	3141	0	1	0	0	0	0	0	3	0	0	0	6	0	0	49	50	0	2	0	0	0	0	0
1136	1171	"James Bay"	50.22	-80.2	100	"AWI"	100	2605	4035	3235	0	0	0	0	0	1	0	3	0	0	0	2	0	0	39	60	2	1	0	0	0	0	0
