"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acacia"	"Amaranthaceae (<20 µm)"	"Amaranthaceae (>20 µm)"	"Angophora"	"Apiaceae"	"Asphodelaceae"	"Asteliaceae"	"Asteraceae"	"Atherosperma"	"Banksia"	"Bossiaea"	"Brassicaceae"	"Bursaria"	"Callitris"	"Campanulaceae"	"Caryophyllaceae"	"Casuarina"	"Connaraceae"	"Cyperaceae"	"Dodonaea"	"Elaeocarpaceae"	"Ericales"	"Eriostemon"	"Eucalyptus"	"Fabaceae"	"Gentianaceae"	"Grevillea"	"Gyrostemonaceae"	"Hakea"	"Hibbertia"	"Indeterminable"	"Kunzea"	"Lamiaceae"	"Leptospermum"	"Lomatia"	"Loranthaceae"	"Myoporaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Poaceae (<20 µm)"	"Poaceae (>35 µm)"	"Poaceae (>40 µm)"	"Poaceae (20-25 µm)"	"Poaceae (25-30 µm)"	"Poaceae (30-35 µm)"	"Podocarpus"	"Polyscias"	"Pomaderris"	"Ranunculaceae"	"Restionaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Stylidiaceae"	"Thymelaeaceae"	"Tsuga"	"Urticaceae"	"Winteraceae"	"Xyridaceae"
279	285	"Blue Lake"	-36.41667	148.31667	20	"AWI"	20	22	488	200	0	5	2	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	8	2	0	0	0	44	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	3	0	3	0	8	18	12	1	0	3	1	4	0	0	0	0	0	0	37	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	39	"AWI"	39	119	664	363	0	2	4	0	0	0	3	0	0	0	0	0	0	3	0	1	6	0	16	3	0	0	0	38	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	12	0	3	0	8	20	15	0	0	2	1	0	0	0	0	1	0	0	52	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	59	"AWI"	59	242	802	537	0	2	4	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	7	1	0	0	0	35	0	0	0	0	0	0	3	2	0	4	0	0	1	0	0	1	0	7	0	1	0	7	19	10	1	0	1	1	5	0	0	0	0	0	0	58	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	78	"AWI"	78	434	905	698	0	5	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	42	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	17	0	2	0	15	17	15	1	0	2	0	0	0	0	0	1	0	0	3	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	97	"AWI"	97	756	1254	956	0	6	10	1	6	0	1	0	0	0	0	1	0	1	0	0	4	0	4	1	0	0	0	74	0	0	0	0	0	0	12	1	0	6	0	0	0	0	1	2	0	8	1	3	0	15	33	14	1	0	0	1	1	0	0	0	0	0	0	35	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	116	"AWI"	116	983	1796	1388	1	5	6	0	10	0	0	0	0	0	0	1	0	1	0	0	5	0	9	0	0	0	0	69	0	1	0	1	1	0	13	1	0	2	0	0	0	0	0	0	0	45	0	12	0	11	21	26	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
279	285	"Blue Lake"	-36.41667	148.31667	135	"AWI"	135	1489	2248	1828	0	8	8	0	15	0	1	0	0	0	0	2	0	1	0	0	14	0	30	0	0	0	2	80	0	0	0	0	0	0	15	1	0	7	0	0	0	0	0	0	0	29	0	26	1	8	18	35	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0
279	285	"Blue Lake"	-36.41667	148.31667	154	"AWI"	154	2022	2594	2229	1	7	9	0	0	0	2	0	0	0	0	2	1	6	0	0	10	0	9	1	0	0	1	98	0	0	0	0	0	0	19	2	0	5	2	0	0	0	0	0	0	37	0	2	0	24	24	32	2	0	4	3	1	0	0	0	0	0	0	3	1	0	0
279	285	"Blue Lake"	-36.41667	148.31667	173	"AWI"	173	2256	3005	2578	0	12	3	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	4	0	0	0	0	38	0	0	0	0	0	0	5	1	0	5	0	0	0	0	0	0	0	5	6	3	0	25	15	6	0	1	0	1	1	0	0	2	0	1	0	16	0	1	0
279	285	"Blue Lake"	-36.41667	148.31667	192	"AWI"	192	2430	3296	2877	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	38	0	0	0	0	0	0	8	0	0	1	0	0	0	1	0	0	0	16	0	4	0	18	16	12	1	0	0	0	0	0	0	0	0	0	0	44	0	0	0
279	285	"Blue Lake"	-36.41667	148.31667	211	"AWI"	211	2819	3483	3164	0	2	6	0	9	0	3	0	0	0	0	1	0	1	0	1	10	0	11	2	0	0	0	55	0	0	0	0	0	0	15	0	0	3	0	0	0	0	0	0	0	5	1	5	0	13	33	10	1	0	6	1	3	0	0	0	0	0	0	114	0	0	0
