"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
503	516	"Cranberry Lake"	44.1	-78.1	1	"AWI"	1	-115	53	-31	0	5	3	2	0	0	29	0	0	1	0	0	0	0	5	1	0	0	10	3	1	10	0	0	5	3	41	1	0	0	0	15	0	0	0	0	0	0	7	10
503	516	"Cranberry Lake"	44.1	-78.1	10	"AWI"	10	-92	101	6	0	2	3	0	0	0	28	1	0	5	0	0	0	0	1	2	0	0	5	0	0	8	0	0	9	1	46	2	0	0	4	23	0	0	3	0	0	3	8	7
503	516	"Cranberry Lake"	44.1	-78.1	20	"AWI"	20	-71	181	45	1	3	2	2	1	0	32	0	0	1	0	0	0	0	0	1	0	0	6	2	0	11	0	1	5	1	59	0	0	0	0	26	0	1	3	0	0	1	9	2
503	516	"Cranberry Lake"	44.1	-78.1	30	"AWI"	30	-58	273	85	0	4	4	1	0	0	30	0	0	6	0	0	1	0	9	2	0	0	3	4	0	9	0	1	5	1	43	0	0	0	2	20	0	1	3	0	0	2	8	6
503	516	"Cranberry Lake"	44.1	-78.1	40	"AWI"	40	-51	366	123	0	4	2	1	0	0	27	0	0	2	0	0	0	0	1	3	0	0	6	2	0	13	0	0	4	2	56	0	0	0	0	19	0	0	2	0	0	1	12	10
503	516	"Cranberry Lake"	44.1	-78.1	50	"AWI"	50	-42	464	162	0	6	1	0	0	0	28	0	0	1	0	0	0	0	0	1	0	0	4	0	0	6	0	1	2	1	50	0	0	12	0	24	0	1	0	0	0	0	11	14
503	516	"Cranberry Lake"	44.1	-78.1	60	"AWI"	60	-36	563	200	0	4	5	1	0	0	22	0	0	1	0	0	0	0	5	2	0	0	5	4	0	6	0	1	6	2	47	0	2	0	2	21	0	3	3	0	0	2	10	7
503	516	"Cranberry Lake"	44.1	-78.1	70	"AWI"	70	-8	626	241	0	5	5	1	0	0	23	1	0	4	0	0	0	0	6	0	0	0	11	0	0	11	0	0	7	3	48	0	0	0	0	26	0	1	0	0	0	2	11	16
503	516	"Cranberry Lake"	44.1	-78.1	80	"AWI"	80	32	648	286	0	7	0	0	0	0	30	0	0	2	0	0	0	0	13	0	0	0	8	5	0	7	0	5	8	2	42	0	1	0	0	27	0	3	1	0	0	5	7	4
503	516	"Cranberry Lake"	44.1	-78.1	90	"AWI"	90	60	674	335	0	4	0	0	0	0	26	0	0	1	0	0	0	0	4	0	0	0	9	0	0	10	0	3	7	4	51	0	0	0	3	43	0	0	0	0	0	2	19	13
503	516	"Cranberry Lake"	44.1	-78.1	100	"AWI"	100	86	704	385	1	14	1	0	0	0	30	0	0	5	0	0	0	0	3	0	0	0	10	4	0	3	0	2	7	1	53	0	1	0	0	45	0	0	0	0	0	1	10	9
503	516	"Cranberry Lake"	44.1	-78.1	110	"AWI"	110	102	736	432	1	7	4	0	0	0	31	0	0	4	0	0	0	0	7	1	0	0	11	6	0	5	0	2	7	2	40	0	1	0	3	54	0	0	0	0	0	2	12	5
503	516	"Cranberry Lake"	44.1	-78.1	120	"AWI"	120	117	782	478	1	6	3	0	1	0	31	0	0	1	0	0	0	0	12	1	0	0	6	10	0	5	0	2	7	0	48	0	0	0	0	51	0	0	0	0	0	1	10	8
503	516	"Cranberry Lake"	44.1	-78.1	130	"AWI"	130	131	848	521	1	4	2	0	0	0	19	0	0	4	0	0	0	0	15	2	0	0	5	9	0	4	0	2	2	1	52	0	0	0	5	52	0	0	0	0	0	4	18	3
503	516	"Cranberry Lake"	44.1	-78.1	140	"AWI"	140	221	870	562	0	7	1	0	0	0	19	0	0	3	0	0	0	0	18	0	0	0	6	15	0	5	0	1	15	1	43	0	0	0	5	38	0	0	0	0	0	1	18	7
503	516	"Cranberry Lake"	44.1	-78.1	150	"AWI"	150	312	882	602	0	9	0	0	1	0	37	0	0	3	0	0	0	0	17	3	0	0	6	0	0	2	0	2	3	0	37	0	0	0	5	55	0	0	0	0	1	0	13	6
503	516	"Cranberry Lake"	44.1	-78.1	160	"AWI"	160	400	903	644	1	11	3	0	0	0	19	0	0	4	0	0	0	0	22	0	0	0	16	6	0	6	0	2	8	1	34	0	0	0	2	37	0	0	0	0	0	1	24	4
503	516	"Cranberry Lake"	44.1	-78.1	170	"AWI"	170	478	936	687	0	6	2	0	1	0	21	0	0	2	0	0	0	0	18	1	0	0	6	0	0	6	0	4	3	3	43	0	2	0	3	38	0	0	0	0	0	3	25	11
503	516	"Cranberry Lake"	44.1	-78.1	180	"AWI"	180	547	970	730	0	4	4	0	0	0	24	0	0	8	0	0	0	0	6	0	0	0	13	0	0	6	0	5	6	2	31	0	0	0	1	50	0	0	0	0	0	3	21	15
503	516	"Cranberry Lake"	44.1	-78.1	190	"AWI"	190	597	1017	774	0	10	1	0	0	0	29	0	0	5	0	0	0	0	9	0	0	0	20	0	0	14	0	2	13	3	25	0	0	0	0	45	0	0	0	0	0	6	18	12
503	516	"Cranberry Lake"	44.1	-78.1	200	"AWI"	200	670	1071	826	1	14	6	0	1	0	33	0	0	4	0	0	0	0	15	0	0	0	14	6	0	4	0	2	6	5	21	0	1	0	3	36	0	0	0	0	0	3	8	17
