"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Urticaceae"
311	318	"Buckbean Fen"	44.29861	-110.26056	525	"AWI"	525	7159	8621	7959	0.597014925373134	0	0.298507462686567	3.58208955223881	0	10.1492537313433	0	0	0	0	0	0	0	1.19402985074627	0	0	0	0	0	0.895522388059702	0	0	0.298507462686567	80.8955223880597	0	0	0	0	0.298507462686567	0	0	0	0	0.298507462686567	0.597014925373134	0	0.895522388059702	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	550	"AWI"	550	7471	9274	8344	0.604229607250755	0	0.302114803625378	2.7190332326284	0	16.3141993957704	0	0	0	0	0	0	0	0	0	0	0	0	0	0.604229607250755	0.302114803625378	0	0	74.9244712990937	0	0.906344410876133	0	0	0	0.604229607250755	0	0	0	0	0.906344410876133	0.302114803625378	1.20845921450151	0	0.302114803625378	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	580	"AWI"	580	7836	9847	8771	0.302114803625378	0	0	3.32326283987915	0	15.1057401812689	0	1.20845921450151	0	0	0	0	0	1.51057401812689	0	0	0	1.20845921450151	0	0.302114803625378	0	0	0	72.809667673716	0	1.51057401812689	0	0	0	0.302114803625378	0	0	0	0	0.604229607250755	0.604229607250755	1.20845921450151	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	600	"AWI"	600	8074	10132	9071	0.581395348837209	0	0.290697674418605	2.90697674418605	0	12.5	0	0.290697674418605	0	0	0	0	0	1.16279069767442	0	0	0	0	0	1.16279069767442	0	0	0	77.0348837209302	0	2.03488372093023	0	0	0	0	0	0	0	0	0.872093023255814	0.290697674418605	0.872093023255814	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	620	"AWI"	620	8359	10433	9354	0.2710027100271	0	0.2710027100271	7.31707317073171	0	17.0731707317073	0	0	0	0	0	0	0.5420054200542	1.8970189701897	0	0	0	0.5420054200542	0	0.5420054200542	0	0	0.813008130081301	65.8536585365854	0	1.0840108401084	0	0	0	0	0	0	0	0	2.1680216802168	0.5420054200542	1.0840108401084	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	640	"AWI"	640	8584	10737	9646	0	0	0	5.0531914893617	0.265957446808511	15.6914893617021	0	0.265957446808511	0.265957446808511	0	0	0	0.265957446808511	0.531914893617021	0	0	0	0	0	1.06382978723404	0	0	0.531914893617021	70.7446808510638	0	2.65957446808511	0	0	0	0	0.265957446808511	0	0.531914893617021	0	1.06382978723404	0.265957446808511	0.265957446808511	0	0.265957446808511	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	660	"AWI"	660	8925	10961	9938	0.303030303030303	0	0	6.66666666666667	0	19.6969696969697	0	0.303030303030303	0	0	0	0	0	2.12121212121212	0	0	0	0	0	0.909090909090909	0	0	0.606060606060606	62.7272727272727	0	1.81818181818182	0	0	0	0.303030303030303	0	0	0	0	0.606060606060606	1.81818181818182	1.81818181818182	0	0.303030303030303	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	680	"AWI"	680	9260	11239	10222	0.313479623824451	0	0	3.76175548589342	0	12.2257053291536	0	0.626959247648903	0	0	0	0	0	0.940438871473354	0	0	0	0.626959247648903	0	3.13479623824451	0	0	0.940438871473354	73.9811912225705	0	1.88087774294671	0	0	0	0.313479623824451	0	0	0	0	0	0.313479623824451	0.940438871473354	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	700	"AWI"	700	9547	11525	10524	0	0	0	4.18006430868167	0	18.0064308681672	0	0.321543408360129	0	0	0	0	0	0.964630225080386	0	0	0	0	0	0.643086816720257	0	0	0.321543408360129	65.2733118971061	0	3.21543408360129	0	0	0.321543408360129	1.60771704180064	0.321543408360129	0	0	0	0.964630225080386	2.57234726688103	1.28617363344051	0	0	0	0
311	318	"Buckbean Fen"	44.29861	-110.26056	720	"AWI"	720	9810	11814	10805	0.584795321637427	0	0	2.92397660818713	0	22.2222222222222	0	0	0	0	0	0	0	0.292397660818713	0	0	0	1.16959064327485	0	1.16959064327485	0	0	0	66.3742690058479	0	2.92397660818713	0	0	0	0.584795321637427	0	0	0	0	0.87719298245614	0	0.87719298245614	0	0	0	0
