"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liquidambar"	"Magnolia"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
971	1002	"Hams Lake"	43.23667	-80.41333	806	"AWI"	806	-122	39	-35	0	0	0	1	0	0	0	0	19	0	4	0	0	0	0	0	0	9	0	0	0	19	0	0	6	0	4	0	0	0	0	0	0	22	0	0	0	0	18	2	120	0	0	5	6	0	0	0	2	9	26	0
971	1002	"Hams Lake"	43.23667	-80.41333	825	"AWI"	825	-58	309	84	0	0	0	1	0	1	0	0	17	1	0	0	0	0	0	0	0	1	0	0	0	17	9	0	9	0	1	0	1	0	0	0	0	23	0	0	0	1	17	0	119	0	0	9	1	0	0	0	1	8	29	0
971	1002	"Hams Lake"	43.23667	-80.41333	845	"AWI"	845	30	446	229	0	0	0	1	0	0	0	0	23	0	6	0	0	0	0	0	1	7	0	0	0	24	9	0	5	0	5	0	2	0	0	0	0	19	0	0	0	2	13	1	120	0	0	5	2	0	0	0	3	4	25	0
971	1002	"Hams Lake"	43.23667	-80.41333	865	"AWI"	865	166	556	367	0	0	0	5	0	2	0	0	22	0	6	0	0	0	0	0	2	4	0	0	0	30	12	0	2	0	6	0	16	0	0	0	0	26	0	0	0	2	24	1	110	0	0	5	1	0	0	0	2	7	33	0
971	1002	"Hams Lake"	43.23667	-80.41333	875	"AWI"	875	283	621	455	0	34	0	1	1	8	0	0	48	0	16	0	2	0	0	0	2	5	0	0	0	75	44	0	2	5	16	0	6	0	1	0	0	67	2	131	0	22	5	10	378	0	0	4	4	0	0	2	2	26	81	0
971	1002	"Hams Lake"	43.23667	-80.41333	883	"AWI"	883	358	728	536	0	0	0	1	0	2	0	0	40	0	16	0	4	0	0	0	0	8	1	0	0	67	36	0	1	0	6	0	7	0	0	0	0	51	2	131	0	8	12	2	361	0	0	1	2	0	0	1	4	20	74	0
971	1002	"Hams Lake"	43.23667	-80.41333	890	"AWI"	890	393	882	601	0	38	0	0	0	1	0	0	52	0	28	0	2	0	0	0	1	16	0	0	0	81	35	0	0	0	10	0	1	1	0	0	0	48	1	149	0	13	5	1	326	0	0	0	5	0	0	0	5	24	75	0
971	1002	"Hams Lake"	43.23667	-80.41333	898	"AWI"	898	490	990	731	0	46	0	1	0	3	0	1	65	0	29	0	0	0	0	0	1	16	0	0	0	94	48	0	7	8	8	1	7	0	2	0	3	56	1	109	1	16	7	12	308	3	0	0	1	0	0	1	3	27	117	0
971	1002	"Hams Lake"	43.23667	-80.41333	906	"AWI"	906	541	1159	859	0	0	0	0	0	6	0	0	50	0	39	0	2	0	0	0	1	6	0	0	0	92	67	0	0	0	6	0	6	0	0	0	0	37	0	93	0	19	8	4	254	0	0	0	4	1	0	0	10	27	125	0
971	1002	"Hams Lake"	43.23667	-80.41333	914	"AWI"	914	634	1331	980	0	107	0	2	0	3	0	0	84	0	40	0	1	0	0	0	0	12	0	0	0	188	77	0	2	11	7	0	11	0	0	0	1	69	1	65	0	18	11	5	272	4	0	0	1	0	0	0	11	28	131	0
971	1002	"Hams Lake"	43.23667	-80.41333	922	"AWI"	922	836	1395	1100	0	88	0	0	0	1	0	0	41	0	24	0	8	1	0	0	1	4	0	0	0	178	56	0	0	0	4	0	20	0	0	0	0	64	0	53	1	11	2	2	254	0	0	0	0	0	0	0	13	21	89	0
971	1002	"Hams Lake"	43.23667	-80.41333	928	"AWI"	928	939	1457	1194	0	97	0	0	0	4	0	0	52	0	57	0	2	0	0	0	1	11	0	0	0	251	53	0	1	0	2	0	33	0	0	0	0	69	0	35	0	11	2	7	174	0	0	0	1	0	0	1	13	22	100	0
971	1002	"Hams Lake"	43.23667	-80.41333	938	"AWI"	938	1189	1635	1384	0	65	0	0	0	0	0	0	53	1	31	0	2	0	0	0	0	13	0	0	0	191	47	0	0	0	8	0	12	0	0	0	0	37	0	46	0	5	5	3	151	0	0	0	1	0	0	1	6	18	75	0
971	1002	"Hams Lake"	43.23667	-80.41333	946	"AWI"	946	1305	1946	1586	0	74	0	2	0	3	0	0	50	0	25	0	4	0	0	0	1	12	0	0	0	265	47	0	3	10	5	0	16	1	0	0	0	50	1	60	0	12	2	2	210	2	0	0	4	0	0	0	17	18	105	0
971	1002	"Hams Lake"	43.23667	-80.41333	954	"AWI"	954	1373	2423	1761	0	83	0	1	0	2	0	0	46	0	22	0	3	1	0	0	1	17	0	0	0	219	59	0	0	0	5	0	10	0	0	0	0	46	1	59	0	14	0	1	228	0	0	0	0	0	0	0	10	23	117	0
971	1002	"Hams Lake"	43.23667	-80.41333	962	"AWI"	962	1569	2528	1970	0	78	0	0	0	1	0	0	54	1	42	0	0	0	0	0	0	14	0	0	0	216	67	0	2	0	2	0	1	1	0	0	0	59	0	51	0	12	0	6	317	0	0	0	0	0	0	1	13	17	112	0
971	1002	"Hams Lake"	43.23667	-80.41333	970	"AWI"	970	1674	2640	2203	0	100	0	3	0	4	0	0	69	0	35	0	2	2	0	0	1	10	0	0	0	233	74	0	0	0	2	0	14	0	0	0	0	57	2	39	0	20	1	2	241	0	0	0	5	0	0	0	20	15	3	0
971	1002	"Hams Lake"	43.23667	-80.41333	978	"AWI"	978	1833	2809	2401	0	88	0	0	0	0	0	0	37	0	39	0	1	1	0	0	0	11	0	0	1	302	77	0	4	7	10	0	10	2	0	0	0	42	0	54	0	7	2	2	183	1	0	0	1	0	0	0	12	12	92	0
971	1002	"Hams Lake"	43.23667	-80.41333	986	"AWI"	986	2181	2870	2574	0	103	0	0	0	1	0	0	74	0	29	0	1	1	0	0	1	11	0	0	0	278	75	0	0	0	7	0	10	0	0	0	0	37	0	45	0	13	2	2	177	2	0	0	6	0	0	0	18	17	97	0
971	1002	"Hams Lake"	43.23667	-80.41333	996	"AWI"	996	2436	3040	2810	0	93	0	1	0	1	0	0	50	0	20	0	1	1	0	0	1	15	0	0	0	242	55	0	0	0	3	0	4	0	0	0	0	50	2	70	0	8	5	0	160	1	0	0	3	0	0	0	17	19	119	0
971	1002	"Hams Lake"	43.23667	-80.41333	1002	"AWI"	1002	2529	3138	2896	0	79	0	4	0	0	0	0	45	1	40	0	1	0	0	0	2	30	0	1	0	233	60	0	0	0	3	0	1	0	0	1	0	61	1	35	0	8	0	2	200	0	0	0	2	0	2	0	20	23	128	0
971	1002	"Hams Lake"	43.23667	-80.41333	1010	"AWI"	1010	2614	3291	2993	0	96	0	0	0	3	0	0	63	0	22	0	0	0	0	0	0	4	0	0	0	262	83	0	1	6	10	0	4	0	0	0	0	47	1	27	0	21	4	5	184	1	0	0	1	0	0	0	14	10	93	1
971	1002	"Hams Lake"	43.23667	-80.41333	1018	"AWI"	1018	2663	3492	3092	0	76	0	1	0	3	0	0	65	0	36	0	2	1	0	0	1	15	0	0	0	266	77	0	0	0	6	0	4	1	0	0	0	39	3	37	0	12	1	0	160	0	0	0	1	1	0	1	13	15	87	0
