"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Juglans"	"Ostrya.Carpinus"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Saxifragaceae"	"Syringa"	"Tilia"	"Tsuga"	"Ulmus"
33	33	"Amba River Exposure 596"	43.31667	131.81667	200	"AWI"	200	667	2352	1641	0	0	25	1	51	3	0	8	0	3	37	0	0	30	8	2	0	0	42	15	0	0	0	4	2	4	1	6
33	33	"Amba River Exposure 596"	43.31667	131.81667	220	"AWI"	220	911	2396	1767	5	2	26	8	92	0	0	1	0	0	62	2	1	5	10	2	4	15	79	29	5	0	0	0	0	1	0	10
33	33	"Amba River Exposure 596"	43.31667	131.81667	280	"AWI"	280	1301	2660	2182	15	0	21	0	17	4	0	0	0	0	12	0	0	14	9	1	0	0	0	2	1	0	0	0	1	5	1	6
33	33	"Amba River Exposure 596"	43.31667	131.81667	320	"AWI"	320	2104	2758	2476	3	1	14	1	34	0	0	0	3	2	83	0	0	5	18	4	0	0	0	3	5	78	1	0	0	1	0	7
33	33	"Amba River Exposure 596"	43.31667	131.81667	340	"AWI"	340	2401	2869	2634	0	1	15	0	31	1	0	0	0	1	0	0	0	2	14	3	1	0	0	2	1	0	0	0	0	2	0	9
33	33	"Amba River Exposure 596"	43.31667	131.81667	400	"AWI"	400	3932	4527	4261	0	0	8	0	3	0	0	0	0	0	27	0	0	1	8	1	1	0	0	3	0	0	0	0	0	1	0	8
33	33	"Amba River Exposure 596"	43.31667	131.81667	420	"AWI"	420	4515	5344	4998	10	2	20	6	15	10	0	0	0	10	10	0	0	0	10	4	4	6	0	15	0	85	0	0	0	0	0	15
33	33	"Amba River Exposure 596"	43.31667	131.81667	440	"AWI"	440	5080	6204	5724	18	2	40	6	15	15	0	0	0	15	22	0	2	0	10	0	4	30	0	29	0	0	0	0	0	0	0	10
