"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Betula"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"
996	1028	"Hebron Lake"	58.2	-63.03333	250	"AWI"	250	-146	27	-65	63	4	108	1	88	7	3	52	7	3	0	0	19	2
996	1028	"Hebron Lake"	58.2	-63.03333	260	"AWI"	260	219	1372	645	15	1	34	0	14	0	0	22	1	0	0	2	8	1
996	1028	"Hebron Lake"	58.2	-63.03333	270	"AWI"	270	750	2259	1403	91	3	165	0	66	11	1	105	9	5	1	2	20	10
996	1028	"Hebron Lake"	58.2	-63.03333	280	"AWI"	280	1377	3073	2176	75	3	114	0	42	7	4	60	5	6	0	4	18	1
996	1028	"Hebron Lake"	58.2	-63.03333	290	"AWI"	290	2056	3847	2946	95	0	146	0	47	6	3	75	5	7	0	3	21	4
996	1028	"Hebron Lake"	58.2	-63.03333	300	"AWI"	300	2779	4588	3726	142	1	166	0	34	7	1	59	8	5	0	4	17	1
996	1028	"Hebron Lake"	58.2	-63.03333	310	"AWI"	310	3596	5261	4492	160	2	156	0	31	5	0	44	1	7	0	9	21	4
996	1028	"Hebron Lake"	58.2	-63.03333	320	"AWI"	320	4485	5892	5259	169	3	156	0	26	10	1	24	2	3	1	6	32	2
996	1028	"Hebron Lake"	58.2	-63.03333	330	"AWI"	330	5432	6419	6031	194	2	161	0	28	2	1	10	5	8	0	10	12	5
996	1028	"Hebron Lake"	58.2	-63.03333	335	"AWI"	335	6040	6660	6385	146	0	158	0	17	1	3	2	8	5	0	6	6	10
996	1028	"Hebron Lake"	58.2	-63.03333	340	"AWI"	340	6330	7145	6712	55	1	205	1	41	2	1	7	6	25	0	7	5	24
996	1028	"Hebron Lake"	58.2	-63.03333	345	"AWI"	345	6624	7509	7052	21	0	180	2	20	1	4	0	1	15	0	1	13	38
996	1028	"Hebron Lake"	58.2	-63.03333	350	"AWI"	350	6935	7805	7383	45	2	190	0	20	3	9	2	3	26	0	3	14	15
996	1028	"Hebron Lake"	58.2	-63.03333	355	"AWI"	355	7302	8070	7732	28	2	191	0	29	4	0	1	3	5	3	7	14	36
996	1028	"Hebron Lake"	58.2	-63.03333	360	"AWI"	360	7757	8302	8055	13	5	15	0	28	3	3	1	1	6	1	6	4	10
996	1028	"Hebron Lake"	58.2	-63.03333	365	"AWI"	365	7964	8615	8286	0	4	2	0	31	0	0	0	0	3	3	1	0	12
996	1028	"Hebron Lake"	58.2	-63.03333	380	"AWI"	380	8629	9296	8998	0	3	2	2	10	0	1	0	0	6	0	47	5	0
996	1028	"Hebron Lake"	58.2	-63.03333	400	"AWI"	400	9543	10681	10019	0	0	0	1	11	0	3	0	0	8	1	9	0	0
