"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cactaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Heliotropium"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Maclura"	"Malvaceae"	"Morus"	"Myricaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Vitaceae"
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	428	"AWI"	428	541	2165	1248	0	0	0	0	0	0.512820512820513	20	0	0	0	0	0	0	0.512820512820513	0	0	0	0	0	0	41.5384615384615	0	0	0	0	0	0	0	0	0	34.8717948717949	0	0	0	0	0	0	0	0	0.512820512820513	0	0	0	0	0.512820512820513	0	0	0	0	0	0	0	0	0	0	0	0	0.512820512820513	0	0.512820512820513	0	0	0.512820512820513	0	0	0	0	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	448	"AWI"	448	982	2604	1781	0	0	0	0	0	0	19.0709046454768	0	0	0	0	0	0	0	0	0	0	0	0	0	53.3007334963325	0	0	0	0	0	0	0	0	0	24.4498777506112	0	0	0	0.488997555012225	0	0	0	0	0	0	0	0	0	0.488997555012225	0.244498777506112	0	0	0	0	0	0	0	0	0.488997555012225	0	0	0.488997555012225	0	0	0	0	0.488997555012225	0	0.488997555012225	0	0	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	464	"AWI"	464	1472	2935	2199	0	0	0	0	0	0	23.1707317073171	0	1.21951219512195	0	0	0	0	0	0	0	0	0	0	0	34.1463414634146	0	0	0	0	0	0	0	0	0	34.1463414634146	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21951219512195	1.21951219512195	0	0	0	0	0	0	0	0	2.4390243902439	0	0	0	0	0	0	0	0	0	0	0	2.4390243902439	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	478	"AWI"	478	1906	3244	2613	0	0	0	0	1.22699386503067	0	3.68098159509202	0	1.22699386503067	0	0	0	0	0	0	1.22699386503067	0	0	0	0	22.0858895705521	0	0	0	0	0	0	0	0	0	63.8036809815951	0	0	0	0	0	0	0	0	0	0	0	0	0	3.68098159509202	0.613496932515337	1.22699386503067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22699386503067	0	0	0	0	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	496	"AWI"	496	2831	4363	3451	0	0	0	0	0	0	17.2413793103448	0	0	0	1.14942528735632	1.14942528735632	0	0	0	0	0	0	0	0	12.6436781609195	0	0	0	0	0	0	0	0	0	52.8735632183908	0	0	0	0	0	0	0	0	9.19540229885057	0	0	0	0	0	1.14942528735632	0	0	0	0	0	0	0	0	1.14942528735632	0	0	0	0	0	0	0	0	0	0	0	3.44827586206897	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	512	"AWI"	512	3376	5889	4594	0	0	0	0	0	0	9.28270042194093	0	0	0	0	2.53164556962025	0	0	0	0	0	0	0	0	6.75105485232067	0	0	0	0	0	0	0	0	0	45.5696202531646	0	0	0	1.68776371308017	0	0	0	0	22.7848101265823	0	0	0	0	0	1.68776371308017	3.79746835443038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.90717299578059	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	520	"AWI"	520	3514	7093	5164	0	0	0	0	0	0	17.8571428571429	0	0	0	0	1.19047619047619	0	0	0	0	0	0	0	0	5.95238095238095	0	0	0	0	0	0	0	0	0	63.0952380952381	0	0	0	0	0	0	0	0	4.76190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19047619047619	0	0	0	0	0	0	0	0	0	0	0	5.95238095238095	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	528	"AWI"	528	4089	7646	5717	0	0	0	0	0	0	11.2994350282486	0	2.25988700564972	0	0	0.564971751412429	0.564971751412429	0.564971751412429	0	1.12994350282486	0	0	0	0	4.51977401129944	0	0	0	0	0	0	0	0	0	71.1864406779661	0	0	0	0	0	0	0	0	1.12994350282486	0	0	0	0	0	2.82485875706215	0	0	0	0	0	0	0	0	1.69491525423729	0	0	0.564971751412429	0	0	0	0	0	0	0	0	1.69491525423729	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	544	"AWI"	544	4737	8401	6962	0	0	0	0	0	0	5.71428571428571	0	0.952380952380952	0	0	10.952380952381	1.9047619047619	0	0	0.952380952380952	0	0.952380952380952	0	0	4.76190476190476	0	0	0	0	0	0	0	0	0	54.2857142857143	0	0	0	0	0	0	0	0	11.4285714285714	0	0	0	0	0	1.42857142857143	0	0	0	0	0	0	0	0	0	0	0	0.952380952380952	0	0	0	0	0	0	0	0.952380952380952	4.76190476190476	0	0	0
500	513	"Cottonwood Lake (Su)"	44.833484	-99.91166	560	"AWI"	560	7228	8710	8090	0	0	0	0	0	0	13.8996138996139	0	0	0	0	3.47490347490348	0	0.772200772200772	0	0.772200772200772	0	0	0	0	13.8996138996139	0	0	0	0	0	0	0	0	0	47.1042471042471	0	0	0	0	0	0	0	0	6.17760617760618	0	0	0	0	0	2.7027027027027	3.47490347490348	0	0	0	0	0	0	0	1.54440154440154	0	0	0	0	0	0	0	0	0	0.772200772200772	0	5.40540540540541	0	0	0
