"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Myricaceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
833	860	"Gass Lake"	44.05	-87.73333	5	"AWI"	5	-134	35	-50	0	0	0	1	1	0	41	5	2	0	0	1	4	2	0	0	4	30	2	3	0	0	0	3	4	1	0	4	25	3	44	0	0	0	4	0	0	0	0	27	0	0
833	860	"Gass Lake"	44.05	-87.73333	20	"AWI"	20	-50	393	152	3	0	0	5	2	0	24	3	0	1	0	0	0	9	0	0	3	16	19	3	0	0	1	2	3	3	0	2	19	7	38	0	0	0	1	0	0	0	1	16	0	0
833	860	"Gass Lake"	44.05	-87.73333	40	"AWI"	40	168	761	426	0	0	22	3	2	0	14	0	0	0	0	0	3	5	0	0	12	46	8	1	0	0	0	1	1	1	0	0	33	19	53	0	0	0	1	0	0	0	3	12	0	1
833	860	"Gass Lake"	44.05	-87.73333	56	"AWI"	56	364	933	657	0	0	0	0	3	20	51	1	0	0	0	0	1	3	0	1	20	24	9	0	0	0	0	10	0	0	54	2	19	1	53	0	1	5	2	0	0	3	2	17	1	0
833	860	"Gass Lake"	44.05	-87.73333	60	"AWI"	60	430	992	705	2	0	0	2	2	0	42	3	0	0	0	1	1	2	0	0	22	30	4	1	2	0	0	20	1	0	0	0	2	1	55	0	0	0	1	0	1	2	3	19	0	1
833	860	"Gass Lake"	44.05	-87.73333	94	"AWI"	94	683	1610	1063	0	0	0	2	2	0	47	3	0	0	1	2	1	5	0	0	26	18	5	0	1	0	1	12	1	4	58	2	1	0	76	0	0	0	1	0	1	1	10	17	0	1
833	860	"Gass Lake"	44.05	-87.73333	154	"AWI"	154	1084	2401	1691	0	0	0	0	2	0	39	5	0	0	0	2	3	6	0	0	10	28	6	2	0	0	1	10	1	0	0	0	5	2	94	0	0	0	0	0	0	1	4	11	0	0
833	860	"Gass Lake"	44.05	-87.73333	194	"AWI"	194	1424	2867	2115	0	0	0	2	4	0	22	3	0	0	0	0	0	3	0	0	14	20	9	2	1	0	1	7	0	0	0	1	3	3	84	0	0	0	1	0	0	0	3	11	0	0
833	860	"Gass Lake"	44.05	-87.73333	214	"AWI"	214	1617	3060	2329	1	0	0	0	3	0	19	1	0	0	0	3	1	12	0	0	8	18	7	2	0	0	0	7	0	1	0	0	4	1	108	0	0	0	4	0	0	1	3	12	0	0
833	860	"Gass Lake"	44.05	-87.73333	254	"AWI"	254	2081	3378	2755	0	0	0	1	2	0	29	3	0	0	0	2	1	2	0	1	7	32	6	1	2	0	0	12	2	1	0	1	8	0	103	0	0	0	1	0	0	1	1	9	0	0
