"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
700	720	"Domsvatnet"	70.325334	31.024642	5	"AWI"	5	-44	397	117	7	2	0	4	4	170	0	0	0	70	37	1	8	124	1	35	0	0	0	0	4	5	1	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	15	"AWI"	15	217	909	516	1	0	0	2	1	96	0	0	0	37	29	0	3	112	0	12	0	1	0	0	0	9	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	25	"AWI"	25	545	1362	916	6	0	0	0	1	155	1	0	0	56	41	0	7	176	0	23	0	0	0	0	2	1	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	35	"AWI"	35	890	1760	1316	6	0	0	1	4	181	0	0	0	56	28	0	12	212	0	16	0	0	0	0	2	3	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	45	"AWI"	45	1273	2133	1715	9	0	0	4	2	150	0	0	0	45	26	0	14	167	0	11	1	0	0	0	2	6	0	1	1	0
700	720	"Domsvatnet"	70.325334	31.024642	55	"AWI"	55	1689	2484	2114	3	3	0	3	3	189	0	0	0	56	58	0	16	270	0	15	0	0	0	0	5	2	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	65	"AWI"	65	2150	2809	2504	10	0	1	2	2	191	0	0	1	38	38	1	4	241	0	10	0	0	0	0	3	3	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	75	"AWI"	75	2446	3198	2829	7	1	0	1	4	219	0	0	1	50	37	0	7	173	0	11	0	0	0	0	1	5	0	1	0	0
700	720	"Domsvatnet"	70.325334	31.024642	85	"AWI"	85	2748	3563	3155	9	0	0	4	3	266	0	0	0	33	44	0	11	239	0	18	1	0	0	0	0	2	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	95	"AWI"	95	3066	3912	3485	15	0	0	3	3	158	1	0	1	38	36	0	6	251	0	17	0	0	0	0	1	5	0	1	0	0
700	720	"Domsvatnet"	70.325334	31.024642	105	"AWI"	105	3402	4231	3815	4	1	1	1	1	143	0	0	1	30	30	0	2	187	0	16	0	0	0	0	2	4	0	0	0	0
700	720	"Domsvatnet"	70.325334	31.024642	115	"AWI"	115	3745	4542	4143	10	1	0	1	3	195	0	0	1	27	38	0	3	212	0	16	1	0	0	0	0	5	1	1	0	0
700	720	"Domsvatnet"	70.325334	31.024642	125	"AWI"	125	4119	4814	4474	11	1	0	0	0	233	1	0	1	18	31	0	6	209	0	8	0	0	0	0	1	1	0	0	1	0
