"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Boraginaceae"	"Brassicaceae"	"Cactaceae"	"Calyceraceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celtis"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Gentianaceae"	"Isoëtes"	"Juglans"	"Liliaceae"	"Malvaceae"	"Myrtaceae"	"Nothofagus"	"Onagraceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Schinus"	"Solanaceae"	"Thalictrum"	"Verbenaceae"
15	15	"Aguilar"	-23.83333	-65.75	0	"AWI"	0	-143	24	-55	3	0	0	0	27	2	2	1	0	0	0	1	42	1	0	0	0	0	2	0	0	1	0	1	206	36	0	0	0	0	0	0	6	1	0
15	15	"Aguilar"	-23.83333	-65.75	20	"AWI"	20	1	690	240	0	21	0	3	68	1	4	1	4	0	2	0	203	5	0	0	0	0	0	0	0	1	2	0	4	121	2	4	1	6	2	3	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	30	"AWI"	30	90	882	404	0	0	3	0	34	0	2	0	0	0	0	0	226	3	0	0	0	0	0	0	0	0	1	0	7	201	0	0	0	0	0	0	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	50	"AWI"	50	312	1270	724	1	0	0	0	0	0	0	0	0	0	0	0	221	3	0	0	6	0	0	0	0	0	0	0	3	157	1	1	0	0	0	2	0	2	0
15	15	"Aguilar"	-23.83333	-65.75	68	"AWI"	68	548	1559	1019	1	10	5	2	0	0	2	0	0	0	0	0	256	2	0	0	7	2	0	0	0	0	0	0	3	156	1	0	0	0	0	0	0	1	0
15	15	"Aguilar"	-23.83333	-65.75	100	"AWI"	100	1039	2045	1540	3	8	0	1	0	0	0	0	1	1	0	0	90	2	0	0	0	0	0	1	0	0	0	0	1	205	1	4	0	0	0	0	0	1	1
15	15	"Aguilar"	-23.83333	-65.75	114	"AWI"	114	1320	2241	1758	1	4	0	0	17	0	3	0	0	0	0	0	94	4	0	0	0	0	1	0	0	0	0	0	6	256	1	0	0	0	0	1	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	140	"AWI"	140	1894	2668	2138	0	12	0	0	0	0	1	1	0	0	2	0	287	5	7	1	0	0	0	1	1	0	0	0	7	172	0	2	2	0	0	0	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	160	"AWI"	160	2248	3782	2829	0	6	0	1	0	0	0	1	0	0	0	0	126	3	5	0	0	0	0	0	0	0	0	0	3	206	0	0	1	0	0	0	0	2	0
15	15	"Aguilar"	-23.83333	-65.75	180	"AWI"	180	2724	4646	3559	0	0	0	0	0	0	0	0	0	0	0	0	409	1	2	1	0	0	0	0	0	0	1	0	13	222	1	0	0	0	0	0	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	205	"AWI"	205	3480	5563	4494	0	17	0	0	0	0	0	0	0	0	0	0	63	7	5	0	0	0	0	0	0	0	0	0	5	211	0	0	1	0	0	0	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	225	"AWI"	225	4189	6212	5254	0	14	0	1	0	0	0	0	0	0	0	0	40	4	8	2	0	1	0	0	0	0	0	0	11	211	2	0	0	0	0	0	1	0	0
15	15	"Aguilar"	-23.83333	-65.75	265	"AWI"	265	5844	7262	6716	0	0	0	0	23	0	0	0	0	0	2	0	46	1	1	0	0	0	0	1	0	0	0	0	18	200	1	0	0	0	0	0	0	0	1
15	15	"Aguilar"	-23.83333	-65.75	274	"AWI"	274	6391	7437	7041	0	0	0	0	0	0	2	0	0	0	0	0	66	0	4	0	0	0	0	0	0	0	0	0	5	210	0	0	0	0	0	0	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	300	"AWI"	300	7127	8376	7718	0	3	0	0	0	0	0	0	0	0	0	0	45	1	1	0	0	0	0	0	0	0	0	0	15	195	0	0	0	2	0	0	0	1	0
15	15	"Aguilar"	-23.83333	-65.75	310	"AWI"	310	7330	8667	7952	0	0	0	0	0	0	0	0	0	0	0	0	76	1	3	0	0	0	0	1	0	0	0	0	9	196	0	0	0	0	0	0	0	0	1
15	15	"Aguilar"	-23.83333	-65.75	330	"AWI"	330	7729	9234	8439	0	0	0	0	0	0	0	1	0	1	2	0	33	0	2	0	0	11	0	2	0	0	0	0	9	402	1	0	0	0	0	0	0	2	0
15	15	"Aguilar"	-23.83333	-65.75	350	"AWI"	350	8135	9738	8916	1	0	2	1	0	0	0	0	1	0	2	0	22	0	1	0	0	0	0	0	0	0	0	0	10	221	0	0	0	0	0	0	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	374	"AWI"	374	8710	10257	9505	0	0	9	1	0	0	8	0	0	0	1	0	122	0	4	0	0	8	0	2	0	2	0	0	10	239	4	0	1	0	0	0	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	390	"AWI"	390	9089	10602	9895	2	0	0	0	35	0	2	0	1	0	0	0	90	1	2	0	1	10	0	1	0	1	0	0	13	241	0	0	0	0	0	0	0	1	0
15	15	"Aguilar"	-23.83333	-65.75	400	"AWI"	400	9350	10815	10131	1	2	5	0	21	0	1	0	0	0	1	0	98	0	2	1	0	11	0	0	0	1	0	0	20	204	6	0	0	0	0	0	0	0	0
15	15	"Aguilar"	-23.83333	-65.75	418	"AWI"	418	9894	11151	10561	3	0	0	3	25	0	5	0	0	0	1	1	79	2	4	0	0	13	0	0	1	0	0	0	14	203	4	0	0	4	0	1	0	1	0
15	15	"Aguilar"	-23.83333	-65.75	430	"AWI"	430	10265	11406	10839	2	4	11	1	30	0	1	0	0	0	1	0	71	1	5	0	0	8	0	0	0	1	0	0	12	201	3	0	0	0	0	0	0	1	0
15	15	"Aguilar"	-23.83333	-65.75	444	"AWI"	444	10787	11734	11186	0	0	6	0	0	1	3	0	0	0	1	1	106	0	2	2	0	7	1	0	0	0	0	0	7	202	1	0	0	0	0	2	0	0	0
