"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Ceanothus"	"Cephalanthus"	"Cercocarpus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"
827	853	"Frying Pan Lake"	38.61667	-111.66667	0	"AWI"	0	-139	30	-54	23	1	0	21	46	0	0	0	0	0	2	0	139	0	0	0	0	14	24	0	0	35	98	0	10	0	22	9	5	0	0	0	3	0	3	1
827	853	"Frying Pan Lake"	38.61667	-111.66667	5	"AWI"	5	0	647	238	4	0	2	29	53	19	0	1	0	0	6	1	49	0	0	0	0	3	25	0	6	11	0	0	7	0	3	3	4	0	0	0	1	0	3	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	10	"AWI"	10	211	977	550	11	3	1	29	49	10	1	0	0	0	0	0	281	0	0	0	0	0	37	0	1	27	99	0	4	0	13	13	9	0	0	0	3	1	7	1
827	853	"Frying Pan Lake"	38.61667	-111.66667	15	"AWI"	15	474	1243	858	6	0	0	0	66	0	0	0	0	0	2	0	64	0	0	2	0	11	18	0	4	28	98	0	13	0	12	3	1	0	0	0	0	2	6	3
827	853	"Frying Pan Lake"	38.61667	-111.66667	20	"AWI"	20	797	1481	1168	8	2	2	23	43	0	0	3	0	0	2	0	190	0	0	0	0	13	18	0	1	28	131	0	7	0	10	4	4	0	0	0	7	0	4	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	25	"AWI"	25	1291	1703	1458	8	0	0	0	48	0	0	0	3	0	6	0	40	0	0	0	0	15	29	0	12	30	109	0	15	0	12	3	1	1	0	0	0	0	1	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	30	"AWI"	30	1504	2243	1824	2	0	0	0	13	0	1	0	5	0	1	0	56	2	0	0	0	18	13	0	0	31	167	0	25	0	5	8	0	0	0	0	3	0	2	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	35	"AWI"	35	1825	2568	2221	7	0	0	0	28	0	1	0	4	0	3	0	78	0	0	0	0	19	24	1	1	23	137	0	10	0	14	3	4	0	0	0	6	3	1	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	40	"AWI"	40	2367	2812	2591	27	0	0	0	12	0	0	0	0	0	0	0	123	0	0	0	0	15	19	0	0	28	176	0	7	0	1	6	3	0	0	0	9	0	3	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	50	"AWI"	50	2908	4095	3421	2	0	0	0	12	0	1	0	1	0	1	0	34	2	0	0	0	13	14	0	0	42	157	0	16	0	1	2	2	2	0	0	6	0	1	2
827	853	"Frying Pan Lake"	38.61667	-111.66667	60	"AWI"	60	3616	4979	4289	45	0	0	0	17	0	0	0	0	0	0	0	101	0	0	0	0	23	45	0	0	44	237	0	7	0	13	10	4	0	0	0	2	0	2	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	65	"AWI"	65	4016	5366	4721	4	1	0	0	20	0	0	0	0	0	1	1	29	0	0	0	0	11	22	0	0	41	162	0	6	0	11	2	4	0	0	1	1	0	2	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	70	"AWI"	70	4466	5734	5162	2	1	0	0	8	0	0	0	1	0	0	0	28	2	0	0	0	12	9	0	0	42	182	0	13	0	6	0	4	0	0	0	1	0	3	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	75	"AWI"	75	4978	6034	5592	6	0	0	0	22	0	0	0	2	0	0	0	27	3	0	0	2	27	24	0	0	31	0	0	6	0	2	6	2	0	0	0	2	2	2	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	80	"AWI"	80	5681	6291	6004	14	0	0	0	19	0	1	0	0	0	1	0	100	0	0	0	0	9	34	0	0	61	136	0	7	0	3	3	4	0	0	0	0	0	2	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	85	"AWI"	85	6020	7103	6497	5	2	0	0	29	0	0	0	1	0	1	0	25	0	0	0	0	10	10	0	0	28	163	0	4	0	7	2	3	0	0	0	5	0	2	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	90	"AWI"	90	6444	7624	7045	4	0	0	0	58	0	1	0	1	0	0	0	1	0	0	0	0	10	18	0	0	62	117	0	9	0	0	0	3	0	0	1	0	0	0	0
827	853	"Frying Pan Lake"	38.61667	-111.66667	95	"AWI"	95	6970	8009	7567	10	0	0	0	75	0	2	0	0	0	1	0	6	0	0	0	0	5	7	2	0	51	0	0	8	0	0	0	3	0	0	0	10	5	2	2
827	853	"Frying Pan Lake"	38.61667	-111.66667	100	"AWI"	100	7769	8313	8066	9	1	0	0	74	0	0	0	0	0	2	0	28	0	0	0	0	10	17	0	0	65	97	1	7	0	5	1	6	0	0	0	5	0	1	5
827	853	"Frying Pan Lake"	38.61667	-111.66667	105	"AWI"	105	8034	8818	8390	2	0	0	0	45	0	0	0	0	1	0	0	37	0	2	0	0	9	12	0	0	42	0	0	3	0	2	2	1	0	0	0	3	0	3	1
827	853	"Frying Pan Lake"	38.61667	-111.66667	110	"AWI"	110	8323	9177	8740	3	0	0	0	70	0	0	0	0	0	3	0	46	0	1	0	0	13	10	0	0	85	75	0	11	0	0	1	4	0	0	0	1	0	1	0
