"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Dodonaea"	"Ericales"	"Escallonia"	"Gentianaceae"	"Geraniaceae"	"Hedyosmum"	"Hypericaceae"	"Ilex"	"Isoëtes"	"Juglans"	"Montiaceae"	"Myrica"	"Myrsine"	"Myrtaceae"	"Onagraceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Portulacaceae"	"Proteaceae"	"Vallea"	"Weinmannia"
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	170	"AWI"	170	7457	11526	9590	8	1	236	1	1	0	18	151	0	0	0	8	0	4	0	0	2	0	10	2	0	0	0	0	491	30	6	5	0	2	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	185	"AWI"	185	8877	12389	10887	19	0	30	1	0	1	14	12	9	0	0	0	0	1	0	3	0	1	53	0	0	0	0	0	149	6	3	0	0	0	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	210	"AWI"	210	11924	13609	12986	4	0	14	1	0	0	0	2	2	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	509	2	2	0	0	1	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	215	"AWI"	215	12726	13781	13285	8	0	29	0	0	0	1	2	6	0	0	2	0	2	0	1	0	0	3	0	0	0	0	0	1025	4	0	0	0	2	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	225	"AWI"	225	13157	14874	13872	4	0	15	0	0	0	1	5	9	0	0	1	0	2	0	0	1	0	24	0	1	0	0	0	344	2	1	1	3	0	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	235	"AWI"	235	13475	15864	14387	7	0	31	0	0	0	0	20	10	0	0	3	0	4	0	1	0	0	17	3	0	0	0	0	883	6	4	0	0	1	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	245	"AWI"	245	13802	16632	14923	1	0	3	0	0	0	0	4	4	0	0	4	0	0	0	0	1	0	10	0	0	0	0	0	136	2	0	0	0	0	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	255	"AWI"	255	14171	17424	15487	4	0	19	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	147	3	1	2	0	0	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	265	"AWI"	265	14546	18224	16022	4	0	22	0	0	0	2	12	6	0	1	1	0	0	0	0	0	0	11	1	0	0	0	0	237	3	2	0	1	1	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	275	"AWI"	275	14945	18984	16563	9	0	7	0	0	0	1	3	4	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	269	2	2	0	2	0	0
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	285	"AWI"	285	15347	19701	17085	8	0	8	0	0	0	0	4	3	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	295	2	3	0	5	0	1
1702	1758	"Paramo de Miranda"	8.91667	-70.83333	295	"AWI"	295	15769	20411	17642	0	1	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	107	0	2	1	8	0	0
