"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
208	209	"Lac à l'Ange"	47.48167	-70.68472	504	"AWI"	504	11265	12981	12148	0.600600600600601	0	0	0	0	9.90990990990991	0	34.8348348348348	0	0	0	0	0	0.3003003003003	23.4234234234234	0	0	0.3003003003003	0	0	0	0	0.3003003003003	0.3003003003003	1.8018018018018	0	0	0	0.3003003003003	0	5.10510510510511	9.60960960960961	0	0	6.90690690690691	0	0	0	2.1021021021021	0.900900900900901	0	0	0	0	0.3003003003003	0	0	0.900900900900901	0	0	0	0.3003003003003	1.8018018018018	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	505	"AWI"	505	11291	13127	12228	0	0	0	0	0	11.4982578397213	0	39.7212543554007	0	0	0	0.348432055749129	0	0	23.6933797909408	0	0	0.348432055749129	0	0	0	0	0	0	0	0	0	0.348432055749129	0	0	0	13.588850174216	0	0	7.66550522648084	0	0	0	0.348432055749129	1.04529616724739	0	0	0	0	0	0	0	0	0	0.348432055749129	0	0	1.04529616724739	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	507	"AWI"	507	11340	13434	12383	0.342465753424658	0	0	0.342465753424658	0	13.6986301369863	0	17.4657534246575	0	0	0	2.05479452054794	0	0.342465753424658	24.6575342465753	0	0	0.684931506849315	0	0	0	0	0	0	2.73972602739726	0	0	0.342465753424658	0	0	0	5.13698630136986	0	0	8.21917808219178	0	0	0	1.36986301369863	0.342465753424658	0	0	0	20.8904109589041	0	0	0	0.684931506849315	0	0	0	0.342465753424658	0.342465753424658	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	508	"AWI"	508	11356	13583	12457	0	0	0	0	0	14.9171270718232	0	18.232044198895	0	0	0	1.65745856353591	0	0	37.5690607734807	0.552486187845304	0	0	0	0	0	0	0	0	2.20994475138122	0	0	0	0	0	0	8.83977900552486	0	0	12.707182320442	0	0	0	2.20994475138122	0.552486187845304	0	0	0	0	0	0	0	0	0	0	0	0	0.552486187845304	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	511	"AWI"	511	11490	13858	12643	0	0	0	0.285714285714286	0	1.42857142857143	0	27.1428571428571	0	0	0	0.285714285714286	0	0.285714285714286	42.5714285714286	0	0	0.285714285714286	0	0	0	0.285714285714286	0	0	1.71428571428571	0	0	0	0	0	0	7.14285714285714	0	0	13.1428571428571	0	0	0	5.14285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	512	"AWI"	512	11521	13954	12699	0	0	4.3956043956044	0.21978021978022	0.21978021978022	0.43956043956044	0	7.03296703296703	0	0	0	1.0989010989011	0	0	59.3406593406593	0	0	0	0	0	0	0	0.21978021978022	0	1.97802197802198	0	0	0	0	0.21978021978022	0	5.05494505494505	0	0	14.7252747252747	0	0	0	2.1978021978022	0	0	0	0	0	0	0	0	0	0.21978021978022	0	0	0.659340659340659	1.97802197802198	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	515	"AWI"	515	11614	14286	12867	0.163132137030995	0	8.48287112561175	0	0	1.79445350734095	1.46818923327896	7.66721044045677	0.32626427406199	0.163132137030995	0	2.93637846655791	0	0	36.2153344208809	0	0	0	0	0	0	0	0	0	2.28384991843393	0	0	0.489396411092985	0	0	2.61011419249592	6.85154975530179	0.163132137030995	0	18.5970636215334	0	0	0	0	1.95758564437194	0	0	0	4.07830342577488	0	0	0	2.28384991843393	0	0.163132137030995	0	0.489396411092985	0.815660685154975	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	517	"AWI"	517	11671	14575	12973	0	0	7.40740740740741	0	0	1.2962962962963	0	4.44444444444444	0	0	0	2.77777777777778	0	0.185185185185185	40.7407407407407	0	0	0	0	0	0	0	0	0	0.555555555555556	0.185185185185185	0	0.185185185185185	0	0	2.77777777777778	7.96296296296296	0	0	20.7407407407407	0	0	0	0	0.555555555555556	0	0	0	6.85185185185185	0	0	0	2.77777777777778	0	0.37037037037037	0	0.185185185185185	0	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	518	"AWI"	518	11706	14730	13030	0.189035916824197	0	3.40264650283554	0.56710775047259	0	1.89035916824197	1.51228733459357	5.2930056710775	0.378071833648393	0	0.189035916824197	3.02457466918715	0	0.189035916824197	40.8317580340265	0	0	0	0	0	0	0	0	0	1.13421550094518	0	0	0	0.378071833648393	0.189035916824197	0	6.23818525519849	0	0	20.4158790170132	0	0	0	0.189035916824197	3.21361058601134	0	0	0.189035916824197	8.12854442344045	0	0	0	1.13421550094518	0	0.378071833648393	0	0	0.945179584120983	0
208	209	"Lac à l'Ange"	47.48167	-70.68472	519	"AWI"	519	11730	14877	13084	0	0	4.88431876606684	1.02827763496144	0	1.02827763496144	2.31362467866324	6.94087403598972	1.02827763496144	0	0	7.19794344473008	0	0	36.5038560411311	0	0	0	0	0	0	0	0	0	0	0	0	0.25706940874036	0	0	0	6.16966580976864	0	0	20.5655526992288	0	0	0	0.25706940874036	3.34190231362468	0	0	0.25706940874036	5.65552699228792	0	0	0	1.79948586118252	0	0.51413881748072	0	0	0.25706940874036	0
