"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Carya"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Salix"	"Sarcobataceae"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
305	312	"Brophy Ditch"	43.22	-81.73	1	"AWI"	1	-91	131	8	3	0	6	0	0	27	0	3	9	1	0	0	0	0	36	2	1	0	0	1	1	54	1	0	73	0	0	14	0	0	5	3	3	0
305	312	"Brophy Ditch"	43.22	-81.73	10	"AWI"	10	137	790	399	6	0	1	0	0	8	0	0	4	10	15	9	0	0	43	0	0	0	0	0	0	19	0	6	23	0	0	8	3	0	1	29	5	14
305	312	"Brophy Ditch"	43.22	-81.73	20	"AWI"	20	462	1350	855	13	0	2	0	0	7	0	0	0	0	14	4	0	0	21	0	0	0	0	0	0	30	0	1	3	0	0	15	0	0	6	20	9	15
305	312	"Brophy Ditch"	43.22	-81.73	30	"AWI"	30	827	1858	1300	5	0	6	1	0	0	0	2	0	0	16	8	15	0	51	0	0	0	0	2	0	27	0	2	15	0	0	11	0	0	4	19	5	24
305	312	"Brophy Ditch"	43.22	-81.73	40	"AWI"	40	1210	2339	1750	5	0	2	0	0	12	0	3	0	1	33	9	0	0	20	0	0	0	0	1	1	32	0	1	12	0	0	11	0	0	4	25	7	0
305	312	"Brophy Ditch"	43.22	-81.73	45	"AWI"	45	1406	2574	1972	13	1	2	0	0	10	0	1	0	1	10	9	0	0	24	0	0	0	0	2	1	26	0	2	5	0	0	12	0	0	2	18	8	6
305	312	"Brophy Ditch"	43.22	-81.73	50	"AWI"	50	1622	2824	2199	7	0	1	0	0	0	0	4	0	0	0	3	0	0	21	0	0	0	0	0	0	44	0	0	5	0	0	8	0	0	17	11	7	1
305	312	"Brophy Ditch"	43.22	-81.73	55	"AWI"	55	1828	3053	2425	10	0	1	0	1	0	0	2	1	0	3	1	0	0	2	0	0	0	0	3	1	51	0	1	4	0	0	9	0	0	4	14	4	1
305	312	"Brophy Ditch"	43.22	-81.73	60	"AWI"	60	2032	3281	2651	50	1	4	0	0	0	0	1	8	0	10	12	2	0	86	0	0	0	0	3	1	104	0	1	12	0	0	50	0	0	23	43	29	14
305	312	"Brophy Ditch"	43.22	-81.73	65	"AWI"	65	2245	3491	2871	47	1	13	1	2	0	0	5	4	0	8	13	0	0	85	0	0	0	0	2	0	93	0	1	5	0	0	43	1	0	25	51	22	18
305	312	"Brophy Ditch"	43.22	-81.73	70	"AWI"	70	2465	3703	3098	13	3	0	0	0	0	1	5	8	0	3	46	5	0	42	3	0	0	0	2	0	49	0	3	3	1	0	92	0	0	7	49	31	417
305	312	"Brophy Ditch"	43.22	-81.73	75	"AWI"	75	2699	3923	3321	24	0	0	0	2	0	0	5	2	0	12	42	12	0	18	0	0	0	0	0	0	50	0	6	5	0	0	30	1	0	13	104	13	20
305	312	"Brophy Ditch"	43.22	-81.73	80	"AWI"	80	2927	4128	3544	14	0	3	0	1	0	0	4	3	0	27	21	9	0	45	0	0	0	0	1	0	27	0	1	2	0	0	19	0	0	5	189	20	4
305	312	"Brophy Ditch"	43.22	-81.73	85	"AWI"	85	3167	4321	3768	10	1	0	0	3	0	0	6	1	1	15	53	5	0	19	0	0	0	0	4	0	23	0	1	7	0	0	37	0	0	4	119	35	1
305	312	"Brophy Ditch"	43.22	-81.73	90	"AWI"	90	3406	4529	3995	22	1	0	0	0	0	0	3	3	3	0	55	13	0	17	0	0	0	0	5	1	23	0	8	8	0	0	43	1	0	6	84	29	2
305	312	"Brophy Ditch"	43.22	-81.73	95	"AWI"	95	3654	4723	4222	17	3	2	0	0	0	0	2	4	0	7	54	12	1	32	0	0	0	1	5	0	28	0	2	4	0	1	49	1	0	2	89	29	0
305	312	"Brophy Ditch"	43.22	-81.73	100	"AWI"	100	3901	4913	4444	26	1	0	0	4	0	0	4	3	1	6	20	10	0	51	0	0	0	0	1	0	71	0	5	7	0	0	39	0	0	3	108	16	0
305	312	"Brophy Ditch"	43.22	-81.73	105	"AWI"	105	4149	5107	4665	9	0	1	0	0	5	0	2	2	0	5	53	10	0	52	4	0	0	0	1	0	56	0	6	2	0	0	75	0	0	7	67	23	2
305	312	"Brophy Ditch"	43.22	-81.73	110	"AWI"	110	4414	5283	4885	9	1	2	0	3	0	0	5	8	2	17	54	8	0	33	3	0	0	0	1	0	45	0	4	2	0	0	71	2	0	5	62	30	0
305	312	"Brophy Ditch"	43.22	-81.73	115	"AWI"	115	4702	5450	5110	21	0	1	0	1	0	0	0	1	0	3	15	0	0	16	0	0	0	0	0	0	87	0	0	0	0	0	11	0	1	4	173	2	0
305	312	"Brophy Ditch"	43.22	-81.73	120	"AWI"	120	4997	5603	5336	19	0	2	0	1	0	0	1	0	1	2	6	3	0	35	0	0	1	0	0	2	40	0	3	1	0	0	19	1	0	3	210	11	0
305	312	"Brophy Ditch"	43.22	-81.73	125	"AWI"	125	5246	5974	5598	12	0	1	0	0	0	0	0	0	0	0	7	0	0	11	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	3	65	2	0
305	312	"Brophy Ditch"	43.22	-81.73	130	"AWI"	130	5493	6304	5879	8	2	0	0	0	0	0	0	1	1	0	2	0	0	10	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	11	64	5	0
305	312	"Brophy Ditch"	43.22	-81.73	135	"AWI"	135	5702	6764	6173	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	50	37	0	0	1	0	0	2	0	0	0	0	1	0
305	312	"Brophy Ditch"	43.22	-81.73	140	"AWI"	140	5928	7196	6477	0	0	0	0	0	0	0	1	1	0	4	0	0	0	2	0	0	0	0	0	55	41	0	0	1	0	0	1	0	0	0	0	0	0
