"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Juglans"	"Larix"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
755	774	"Dunnigan Lake"	47.706578	-91.632396	0.25	"AWI"	0.25	-61	-7.25	-33	1	0	10	0	5	15	49	0	0	1	0	4	0	0	2	0	21	0	0	0	2	12	121	0	4	1	6	0	1	0	0	0	0	1	1
755	774	"Dunnigan Lake"	47.706578	-91.632396	1.25	"AWI"	1.25	-53.75	-4.25	-28.75	2	2	9	3	1	0	38	0	0	0	3	2	0	2	2	1	18	0	1	0	1	16	107	0	3	2	6	0	0	0	1	0	1	2	3
755	774	"Dunnigan Lake"	47.706578	-91.632396	2.75	"AWI"	2.75	-46.25	1	-22	3	0	14	3	3	0	36	1	0	0	2	1	0	2	0	0	18	0	1	0	1	18	116	0	3	1	3	0	0	0	2	0	0	0	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	4.25	"AWI"	4.25	-38	6.25	-15	2	0	7	1	3	7	31	0	0	0	1	0	0	0	3	0	9	0	0	0	1	14	119	0	5	5	8	1	0	1	0	0	0	0	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	5.25	"AWI"	5.25	-33.25	11	-10.75	2	0	15	2	2	12	35	1	0	1	2	0	0	0	2	0	14	0	2	0	0	9	107	0	2	2	9	0	0	0	0	0	0	0	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	6.25	"AWI"	6.25	-27	15.25	-5.75	1	0	11	2	7	12	54	1	0	0	1	2	0	0	2	0	19	0	1	0	3	17	112	0	5	2	2	0	0	0	2	0	1	1	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	8.25	"AWI"	8.25	-16.75	25	4.25	2	0	10	2	5	16	64	0	0	1	0	0	0	0	2	0	17	0	2	0	2	21	157	1	2	0	9	0	0	0	1	1	0	1	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	9.25	"AWI"	9.25	-12.25	29.75	9.25	6	0	11	1	5	16	30	1	0	0	2	1	0	0	2	0	13	0	1	2	0	19	131	0	0	1	2	0	0	0	0	0	0	1	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	11.25	"AWI"	11.25	-3	40.25	19.25	1	0	12	2	0	0	23	0	1	1	1	1	1	0	0	0	21	0	1	0	1	17	128	0	3	0	4	1	0	0	0	0	1	0	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	12.75	"AWI"	12.75	4.5	48.5	26.75	2	0	10	1	3	6	32	0	1	0	2	2	0	0	1	0	23	0	1	0	2	8	135	0	3	1	4	1	0	0	2	0	1	0	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	14.75	"AWI"	14.75	13	60.25	36	5	0	7	0	4	0	39	0	0	0	0	0	0	0	5	0	18	0	0	0	0	15	131	0	1	0	5	0	0	0	0	0	0	0	1
755	774	"Dunnigan Lake"	47.706578	-91.632396	17.25	"AWI"	17.25	25.25	72.5	48.25	1	0	9	0	3	4	53	0	0	1	1	0	1	0	0	0	20	0	0	0	1	17	118	0	2	0	7	0	0	0	0	0	2	0	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	19.75	"AWI"	19.75	35.25	86.25	60.75	3	0	6	1	0	4	60	0	0	0	0	1	0	0	3	0	46	0	0	1	1	21	139	0	3	0	5	0	0	0	0	0	2	0	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	22.75	"AWI"	22.75	48	101.75	74	2	0	10	0	3	4	28	0	0	1	0	0	0	0	0	0	20	0	1	0	0	13	134	0	0	0	3	0	0	0	1	0	1	1	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	28.75	"AWI"	28.75	71	133.5	100.75	4	0	10	1	1	0	36	0	0	0	1	0	1	0	1	0	17	0	1	0	0	17	127	0	0	1	5	0	0	0	0	0	0	1	0
755	774	"Dunnigan Lake"	47.706578	-91.632396	49.5	"AWI"	49.5	141.5	262.5	195	2	0	6	1	0	0	42	0	0	0	1	0	0	0	1	0	10	0	4	0	0	23	140	1	0	2	5	0	0	0	0	0	2	1	0
