"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
7	7	"Three Pines Bog"	47	-80.11667	1	"AWI"	1	-94	86	-8	3	0	12	2	0	0	0	78	1	0	0	0	0	0	13	0	2	10	1	0	1	0	1	6	0	0	0	4	4	11	0	0	0	0	0	0	0	0	0	0
7	7	"Three Pines Bog"	47	-80.11667	10	"AWI"	10	-11	461	152	14	0	3	0	0	0	0	117	0	1	0	0	0	0	12	1	0	14	0	0	0	0	0	43	0	1	0	0	0	6	0	0	0	1	0	0	0	0	1	1
7	7	"Three Pines Bog"	47	-80.11667	20	"AWI"	20	89	792	345	10	0	9	0	0	0	0	62	0	0	0	0	1	0	3	1	0	3	2	0	3	0	0	34	0	0	0	2	1	3	0	0	1	1	0	0	0	0	2	2
7	7	"Three Pines Bog"	47	-80.11667	30	"AWI"	30	226	1048	559	10	3	8	0	0	1	0	74	0	0	0	0	3	0	4	1	0	17	2	0	1	0	2	40	0	0	0	0	0	5	0	3	0	21	0	0	0	0	2	2
7	7	"Three Pines Bog"	47	-80.11667	40	"AWI"	40	370	1297	767	13	0	12	1	0	0	0	79	0	1	0	0	5	1	33	3	0	2	6	0	5	0	4	43	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	4
7	7	"Three Pines Bog"	47	-80.11667	50	"AWI"	50	529	1518	972	6	0	11	0	0	0	0	85	0	0	0	0	12	0	1	3	0	3	2	0	7	0	6	27	0	0	0	0	0	8	0	0	0	1	8	0	0	0	1	5
7	7	"Three Pines Bog"	47	-80.11667	60	"AWI"	60	690	1742	1177	2	0	13	0	0	1	0	97	0	0	0	0	3	0	2	4	0	0	3	0	1	0	0	42	0	0	0	0	1	9	0	1	0	4	7	0	0	0	2	3
7	7	"Three Pines Bog"	47	-80.11667	70	"AWI"	70	872	1948	1386	2	0	6	0	0	1	0	74	0	0	0	0	1	0	1	2	0	0	4	0	1	0	2	8	0	0	1	0	0	10	0	0	0	2	0	0	0	1	1	0
7	7	"Three Pines Bog"	47	-80.11667	80	"AWI"	80	1045	2172	1596	5	0	9	1	0	0	0	130	0	1	0	0	2	0	2	2	0	1	2	0	2	0	2	19	0	0	0	2	0	11	0	0	0	2	0	0	0	0	7	3
7	7	"Three Pines Bog"	47	-80.11667	90	"AWI"	90	1236	2368	1801	5	0	10	0	0	1	0	71	0	0	1	0	4	0	1	1	0	1	1	0	2	0	1	21	0	0	0	0	1	10	0	0	0	0	0	0	0	0	2	1
7	7	"Three Pines Bog"	47	-80.11667	100	"AWI"	100	1441	2576	2012	5	0	1	0	0	0	0	82	0	1	0	0	3	0	6	4	2	0	4	0	2	0	2	11	324	0	0	0	0	14	0	0	0	0	0	1	0	0	2	3
