"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acanthaceae"	"Amaranthaceae"	"Apiaceae"	"Arecaceae"	"Asteraceae"	"Cephalanthus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Ilex"	"Myrica"	"Onagraceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Salix"
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	0.5	"AWI"	0.5	-145.5	18.5	-55	0	9	0	0	0	3	0	0	0	0	0	4	0	7	1	2	1	1
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	5.5	"AWI"	5.5	-83	178	32	0	27	0	0	0	1	0	0	0	1	0	5	0	6	0	0	1	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	9.5	"AWI"	9.5	-24.5	224.5	120	0	11	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	12.5	"AWI"	12.5	58.5	375	253.5	0	27	0	0	0	18	0	0	0	0	0	4	0	8	2	1	0	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	17.5	"AWI"	17.5	237.5	1103.5	603.5	1	78	0	1	0	11	0	3	0	0	0	3	1	30	3	7	2	1
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	21	"AWI"	21	435	1808	978	0	23	0	0	0	1	0	3	0	0	1	0	0	26	0	3	2	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	25	"AWI"	25	672	2283	1554	0	140	0	0	0	12	0	2	0	0	0	0	0	22	2	4	0	4
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	31	"AWI"	31	1966	2639	2357	0	93	0	0	0	4	0	3	1	0	0	1	0	20	1	7	0	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	35	"AWI"	35	2378	3245	2733	0	153	0	0	0	2	1	8	0	1	0	0	0	30	0	1	1	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	41	"AWI"	41	2742	3619	3178	0	88	1	0	0	0	0	1	0	0	0	0	0	31	0	2	1	1
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	45	"AWI"	45	2971	3827	3492	0	216	0	0	0	0	0	2	0	0	0	2	0	54	0	2	0	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	51	"AWI"	51	3620	4135	3871	0	216	0	0	0	2	0	0	0	0	0	1	0	58	0	2	1	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	55	"AWI"	55	3744	4534	4084	0	142	0	0	0	1	0	0	0	0	0	0	0	84	1	1	0	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	61	"AWI"	61	4023	4826	4402	0	249	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	65	"AWI"	65	4180	5052	4616	0	221	0	0	0	1	0	0	0	0	0	0	0	44	0	4	0	0
962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	25.77472	-80.50556	71	"AWI"	71	4638	5383	4974	0	177	0	0	0	0	0	3	0	0	0	0	0	21	0	0	2	0
