"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
821	847	"Frains Lake"	42.33	-83.63	42	"AWI"	42	-44	270	77	0	3	2	2	1	37	0	8	0	0	0	3	4	5	3	0	0	0	5	1	7	3	10	0	0	100	0	0	1	0	1	0	2
821	847	"Frains Lake"	42.33	-83.63	130	"AWI"	130	88	520	287	0	2	1	0	1	33	3	9	0	2	1	3	4	4	0	0	0	0	8	0	7	4	11	3	0	93	0	3	1	0	0	0	7
821	847	"Frains Lake"	42.33	-83.63	230	"AWI"	230	283	755	523	0	1	0	0	0	0	4	6	0	1	0	2	0	1	1	0	0	0	6	0	4	3	1	0	0	55	0	0	0	0	0	1	3
821	847	"Frains Lake"	42.33	-83.63	265	"AWI"	265	394	818	604	0	0	0	0	0	0	5	14	0	0	1	1	3	3	2	0	0	1	6	0	2	0	5	2	0	61	0	2	0	0	0	1	5
821	847	"Frains Lake"	42.33	-83.63	350	"AWI"	350	595	988	779	1	2	0	0	3	22	5	10	0	0	0	4	5	6	0	0	0	0	3	0	15	1	15	0	0	87	1	0	1	0	2	0	15
821	847	"Frains Lake"	42.33	-83.63	405	"AWI"	405	734	1111	914	0	11	0	0	3	7	4	6	1	0	0	1	8	13	2	1	1	0	7	0	10	5	1	0	0	105	0	0	3	0	0	2	10
821	847	"Frains Lake"	42.33	-83.63	410	"AWI"	410	743	1126	926	0	3	0	0	0	0	2	4	0	2	0	5	7	7	2	0	0	0	4	0	2	8	0	0	0	78	0	0	0	0	1	1	4
821	847	"Frains Lake"	42.33	-83.63	428	"AWI"	428	804	1181	981	0	3	1	0	2	4	3	12	0	0	0	1	15	13	0	0	0	0	10	0	6	3	0	0	0	134	0	0	2	0	3	2	12
821	847	"Frains Lake"	42.33	-83.63	445	"AWI"	445	881	1216	1047	0	8	1	0	0	0	6	14	0	0	0	1	19	5	3	1	0	0	3	1	4	4	6	0	0	112	0	0	0	0	0	0	11
821	847	"Frains Lake"	42.33	-83.63	485	"AWI"	485	1029	1429	1229	0	2	1	0	0	4	3	9	0	0	0	4	10	13	1	0	0	0	8	0	10	9	1	0	2	108	0	0	0	0	1	3	14
821	847	"Frains Lake"	42.33	-83.63	517	"AWI"	517	1113	1788	1378	0	11	4	0	1	0	4	7	0	0	0	5	12	6	0	0	0	0	8	0	5	12	0	0	1	103	0	0	1	0	3	0	14
821	847	"Frains Lake"	42.33	-83.63	557	"AWI"	557	1263	2074	1590	0	14	0	0	0	2	0	10	0	1	0	1	15	12	1	1	0	0	8	0	4	8	0	0	2	101	0	0	0	0	2	1	12
821	847	"Frains Lake"	42.33	-83.63	617	"AWI"	617	1710	2921	2188	0	11	0	0	1	0	1	9	0	0	1	1	28	21	4	0	0	0	8	0	5	12	0	0	1	69	0	0	0	0	2	0	21
821	847	"Frains Lake"	42.33	-83.63	657	"AWI"	657	2002	4249	2865	0	14	0	0	0	0	3	6	0	1	0	0	36	21	2	0	0	0	22	1	2	11	1	0	0	61	0	0	1	0	2	2	22
821	847	"Frains Lake"	42.33	-83.63	703	"AWI"	703	2560	4920	3725	0	14	0	0	0	0	0	2	0	0	0	2	22	18	1	0	0	0	3	0	3	11	4	0	0	86	0	0	0	0	0	0	26
821	847	"Frains Lake"	42.33	-83.63	771	"AWI"	771	4261	5624	4969	0	9	2	1	1	0	4	7	0	2	0	3	9	14	3	0	0	0	10	0	6	3	7	0	1	87	0	0	0	0	0	0	33
821	847	"Frains Lake"	42.33	-83.63	831	"AWI"	831	5117	7195	6013	0	2	1	1	0	0	2	7	0	2	0	1	20	18	4	0	0	0	4	0	3	12	1	0	1	75	1	0	0	2	1	0	41
