"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tsuga"	"Ulmus"
237	240	"Battaglia Bog"	41.14389	-81.32861	210	"AWI"	210	11116	12452	11673	6	0	3	1	0	2	0	1	0	1	0	1	7	52	0	0	0	0	0	0	0	10	4	74	236	0	0	4	19	0	0	0	0	2	0	0	3	4
237	240	"Battaglia Bog"	41.14389	-81.32861	230	"AWI"	230	11535	13249	12275	10	0	3	0	0	1	0	1	0	0	0	0	5	8	0	0	0	0	0	0	0	7	6	99	137	0	1	5	21	0	0	0	0	1	0	0	4	7
237	240	"Battaglia Bog"	41.14389	-81.32861	250	"AWI"	250	11999	13941	12898	14	0	1	0	0	1	0	1	0	5	0	1	0	36	0	0	1	34	6	0	0	3	40	123	0	1	15	7	52	0	0	0	0	3	0	1	0	8
237	240	"Battaglia Bog"	41.14389	-81.32861	265	"AWI"	265	12402	14396	13350	20	0	2	0	0	3	0	1	0	4	0	1	0	35	0	0	3	34	0	0	0	3	47	100	0	0	8	2	54	0	0	0	0	5	0	0	0	6
237	240	"Battaglia Bog"	41.14389	-81.32861	280	"AWI"	280	12785	14907	13815	20	0	0	0	0	0	0	3	0	1	0	5	2	31	0	0	1	53	0	0	0	1	40	111	0	1	7	4	42	0	0	0	0	3	0	0	0	7
237	240	"Battaglia Bog"	41.14389	-81.32861	290	"AWI"	290	13070	15184	14118	14	0	1	0	0	2	0	2	0	1	1	2	1	30	0	0	4	37	0	0	0	4	39	107	0	0	9	5	58	0	0	0	0	3	1	1	2	5
237	240	"Battaglia Bog"	41.14389	-81.32861	300	"AWI"	300	13358	15453	14433	18	3	2	0	0	0	0	3	0	3	0	1	1	42	0	0	2	35	0	0	0	1	53	117	0	0	9	3	51	0	0	0	0	4	0	0	0	3
237	240	"Battaglia Bog"	41.14389	-81.32861	313	"AWI"	313	13795	15782	14839	10	0	2	1	0	1	0	1	0	6	0	1	2	39	2	0	0	47	2	0	0	1	39	111	0	1	12	9	47	0	1	0	0	3	1	0	1	5
237	240	"Battaglia Bog"	41.14389	-81.32861	330	"AWI"	330	14305	16232	15361	7	0	0	0	0	3	0	5	0	0	1	0	0	46	1	1	1	36	0	2	1	1	33	140	0	0	12	10	40	1	0	0	1	8	0	1	0	5
237	240	"Battaglia Bog"	41.14389	-81.32861	350	"AWI"	350	15085	16701	15977	2	0	10	0	0	10	0	3	0	0	1	0	1	22	0	0	0	20	0	0	0	2	12	202	0	0	15	0	31	2	1	0	0	6	0	2	0	1
237	240	"Battaglia Bog"	41.14389	-81.32861	400	"AWI"	400	16363	18123	17212	0	0	5	1	0	8	0	9	0	2	0	0	0	16	0	0	0	0	0	0	0	4	10	194	0	0	17	2	25	1	0	0	0	4	0	0	0	4
237	240	"Battaglia Bog"	41.14389	-81.32861	450	"AWI"	450	17521	19352	18392	1	0	6	1	0	13	0	2	1	0	0	0	0	17	0	0	0	0	0	0	0	8	2	255	0	0	10	2	10	0	0	0	0	2	0	0	0	0
237	240	"Battaglia Bog"	41.14389	-81.32861	500	"AWI"	500	18701	20832	19633	2	0	8	1	0	12	0	2	0	0	0	0	0	13	0	0	0	0	0	0	0	17	7	221	0	0	8	0	20	2	0	0	0	2	0	0	0	0
237	240	"Battaglia Bog"	41.14389	-81.32861	520	"AWI"	520	19104	21571	20168	1	0	5	0	2	5	0	3	0	0	0	0	1	16	0	0	1	0	0	0	0	21	5	235	0	0	4	1	12	1	0	0	0	0	0	2	0	1
