"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
1399	1435	"Kamenicky"	49.726332	15.970602	0	"AWI"	0	-151	17	-70	39	0	141	2	0	5	0	174	1	10	0	0	0	0	46	33	0	0	0	0	29	0	0	8	0	0	0	0	0	0	99	58	8	0	0	1	0	6	0	33	2	3	7	0	0	0	0	0	2	4	5	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	2.5	"AWI"	2.5	-59	622	197.5	57	0	163	1	0	10	0	166	0	0	0	0	0	0	41	39	0	2	0	0	46	0	1	5	0	0	0	0	0	6	91	26	4	0	0	0	1	3	0	15	2	4	3	0	1	0	0	0	3	2	4	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	5	"AWI"	5	-24	1310	461	83	0	106	1	0	3	0	135	0	4	1	0	0	0	35	38	0	4	0	0	82	0	1	0	0	0	0	0	1	6	111	33	0	0	0	0	1	1	0	8	1	3	6	1	0	0	1	1	0	3	4	1	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	10	"AWI"	10	306	1799	1090	102	0	112	1	0	5	0	132	0	0	0	0	0	0	19	42	0	0	0	0	60	0	1	0	0	0	0	0	0	4	82	32	0	0	0	1	1	1	0	5	1	5	11	0	0	0	0	0	1	3	6	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	15	"AWI"	15	1161	2076	1655	90	2	167	1	0	7	0	132	0	6	0	0	0	0	77	33	0	2	0	0	86	0	1	0	0	0	0	2	0	14	86	32	0	0	0	0	2	3	0	12	1	3	7	0	0	0	0	0	1	8	5	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	20	"AWI"	20	1538	2386	1978	91	1	102	1	0	4	0	97	0	0	0	0	0	0	33	24	0	0	0	0	73	0	1	0	0	0	0	0	0	7	134	25	2	0	0	0	2	4	0	0	3	1	5	0	0	0	0	2	0	4	6	1	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	25	"AWI"	25	2098	4180	2894	65	3	150	1	0	4	0	61	0	0	0	0	0	0	34	12	0	0	0	0	79	0	2	0	0	0	0	0	0	8	174	14	0	0	0	0	1	5	0	3	1	0	6	0	0	0	0	1	1	3	10	1	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	30	"AWI"	30	3665	4962	4481	11	1	112	0	0	2	0	30	0	0	0	0	0	1	48	7	0	0	0	0	84	0	1	0	0	0	0	0	0	3	171	5	0	0	0	3	1	6	0	3	1	1	2	0	0	0	0	0	0	10	18	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	35	"AWI"	35	4563	6373	5331	1	0	255	0	0	9	0	38	0	0	0	0	0	0	77	11	0	0	0	0	55	0	6	1	0	0	0	0	1	1	130	28	0	0	0	3	3	11	0	0	1	1	6	0	0	0	0	0	0	15	19	1	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	40	"AWI"	40	5186	6964	6208	1	1	261	0	0	5	0	25	0	0	0	0	0	2	79	12	0	0	0	0	31	1	5	0	0	0	0	0	0	0	212	35	0	0	0	0	2	4	0	0	1	1	3	0	0	0	0	0	0	13	32	1	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	45	"AWI"	45	6350	7311	6883	2	2	179	2	0	7	0	44	0	0	0	0	0	2	154	20	0	0	0	0	8	0	3	0	0	0	0	0	0	0	207	60	0	0	0	0	0	10	0	0	2	0	4	0	0	0	0	1	0	23	49	0	1	0
1399	1435	"Kamenicky"	49.726332	15.970602	50	"AWI"	50	6915	8357	7507	1	0	31	2	0	9	0	57	0	0	0	0	0	0	130	37	0	0	0	0	4	0	1	0	0	1	1	0	0	0	279	62	0	0	0	0	2	14	0	0	1	2	17	0	1	0	0	0	2	21	40	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	55	"AWI"	55	7364	8930	8187	0	0	56	1	0	3	0	83	0	0	0	0	0	0	148	14	0	0	1	0	5	1	7	0	0	0	0	0	0	0	197	69	0	0	0	0	0	25	0	0	0	3	15	3	0	0	0	0	1	34	55	0	1	0
1399	1435	"Kamenicky"	49.726332	15.970602	60	"AWI"	60	8240	9345	8779	0	0	19	0	0	11	0	97	0	0	0	0	0	0	188	50	0	0	0	0	0	0	1	0	0	0	0	0	0	0	88	127	0	0	0	0	1	26	0	0	1	0	5	0	0	0	0	1	1	26	46	0	0	1
1399	1435	"Kamenicky"	49.726332	15.970602	65	"AWI"	65	8643	9752	9161	0	0	5	0	0	7	0	140	0	0	0	0	0	1	142	84	0	0	0	0	1	0	2	0	0	0	0	0	1	0	56	246	0	0	0	2	1	10	0	24	5	0	4	0	0	1	0	0	4	7	56	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	70	"AWI"	70	8901	10285	9531	0	0	6	0	0	11	0	158	0	0	1	0	0	0	41	72	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	470	0	0	0	0	0	1	0	60	4	0	3	0	0	0	0	0	5	1	20	1	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	75	"AWI"	75	9185	10742	9912	0	0	5	1	0	9	0	275	0	0	0	0	0	0	19	31	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	324	0	0	0	0	0	0	0	0	2	1	0	5	0	0	0	0	4	0	1	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	80	"AWI"	80	9483	11161	10307	0	0	2	1	0	12	0	267	0	0	0	0	0	0	18	65	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	540	0	0	0	0	0	0	0	37	5	3	5	0	0	0	0	0	4	0	8	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	85	"AWI"	85	9848	11514	10704	0	0	2	0	6	5	0	174	0	0	0	0	0	0	3	82	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	535	0	0	0	0	0	0	0	0	6	2	21	0	0	0	0	0	5	0	2	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	90	"AWI"	90	10240	11821	11099	0	0	3	0	0	5	0	217	0	0	1	0	0	0	4	95	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	425	0	0	0	0	0	0	0	0	2	4	10	0	0	0	0	0	3	0	0	2	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	95	"AWI"	95	10723	12135	11456	0	0	2	1	0	2	0	120	0	0	0	0	0	0	4	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	514	0	0	0	0	0	0	0	0	2	3	5	0	0	0	0	0	5	0	1	2	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	100	"AWI"	100	11013	12534	11784	0	0	4	2	0	5	0	192	0	0	0	0	0	0	3	132	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	425	0	0	0	0	0	0	0	0	7	1	9	0	0	0	0	0	5	0	3	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	105	"AWI"	105	11332	12904	12096	0	0	0	1	0	3	0	131	0	0	0	0	0	0	3	40	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	630	0	0	0	0	0	0	0	36	4	0	2	0	0	0	0	0	5	0	0	2	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	110	"AWI"	110	11640	13211	12397	0	0	1	0	0	4	0	65	0	0	0	0	0	0	2	92	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	540	0	0	0	2	0	0	0	0	12	51	20	0	0	0	0	1	17	1	1	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	115	"AWI"	115	11971	13547	12704	0	0	1	2	0	9	0	45	0	9	0	0	0	0	0	173	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	830	0	0	0	0	0	0	0	0	6	1	14	0	0	0	0	0	2	0	0	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	120	"AWI"	120	12358	13821	12985	0	0	2	1	0	3	0	24	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	0	7	0	19	0	0	0	0	0	1	0	1	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	122.5	"AWI"	122.5	12640	14026.5	13162	0	0	3	1	0	6	0	74	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	423	0	0	0	2	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	125	"AWI"	125	12762	14344	13348	0	0	1	0	0	4	0	58	0	0	0	0	0	0	1	56	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	437	0	0	0	1	0	0	0	0	2	0	19	0	0	0	0	0	3	0	0	0	0	0
1399	1435	"Kamenicky"	49.726332	15.970602	127.5	"AWI"	127.5	12965.5	14646.5	13589	0	0	1	0	0	9	0	52	0	7	0	0	0	0	0	85	0	0	0	0	0	0	0	16	0	0	0	0	1	0	4	431	0	0	0	0	0	0	0	0	2	1	38	0	0	0	0	0	1	0	0	0	0	0
