"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
1647	1703	"Lac Marcotte"	47.07778	-71.42278	0	"AWI"	0	-145	21	-67	41	0	28	0	0	0	0	0	362	0	0	0	0	0	0	7	10	0	0	0	12	4	0	1	31	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	14	6	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	10	"AWI"	10	-39	1251	335	23	0	52	0	0	2	0	0	486	0	0	2	0	1	0	2	23	0	0	0	9	5	0	0	26	3	3	0	0	1	0	0	0	0	0	0	14	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	18	8	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	20	"AWI"	20	173	1913	854	18	0	35	0	0	4	0	0	392	0	0	0	0	0	0	1	19	0	0	0	18	0	0	0	27	0	0	0	1	0	0	1	0	0	0	0	13	0	0	0	6	0	0	0	1	0	0	1	0	0	0	0	15	5	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	30	"AWI"	30	441	2501	1366	27	0	12	0	0	0	0	0	191	0	0	0	0	0	0	0	8	0	0	0	9	0	0	0	25	0	2	0	2	2	0	2	24	0	0	0	9	0	0	0	8	0	0	0	0	4	0	0	0	0	0	0	1	1	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	40	"AWI"	40	822	3019	1878	13	0	22	0	0	0	0	0	253	0	0	2	0	0	0	0	16	0	0	0	17	0	0	0	13	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	3	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	50	"AWI"	50	1268	3431	2385	17	0	35	0	0	0	0	0	422	0	0	0	0	0	0	3	13	0	0	0	13	6	0	0	17	0	0	0	3	1	0	3	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	12	4	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	60	"AWI"	60	1714	3817	2881	16	0	27	0	0	1	0	0	285	0	0	0	0	0	0	2	12	0	0	0	11	0	0	0	7	0	0	0	2	5	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	4	1	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	70	"AWI"	70	2234	4161	3353	22	0	19	0	0	1	0	0	312	0	0	1	0	0	0	0	3	0	0	0	16	3	0	0	13	1	0	1	1	1	0	1	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	7	4	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	80	"AWI"	80	2854	4461	3855	5	0	32	0	0	2	0	0	503	0	0	1	1	0	0	3	10	0	0	0	10	4	0	3	11	0	0	0	2	0	0	1	0	0	0	0	6	0	0	0	17	0	0	0	1	0	0	0	0	4	0	0	6	4	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	90	"AWI"	90	3738	4706	4314	8	0	25	0	0	1	0	0	237	0	0	1	0	0	0	0	5	0	0	0	7	5	0	0	6	2	0	0	0	1	0	1	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	4	6	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	100	"AWI"	100	4306	5228	4706	19	0	26	0	0	1	0	0	289	0	0	0	0	0	0	4	11	0	0	0	6	3	0	0	5	0	0	0	3	4	0	0	15	58	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	3	4	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	110	"AWI"	110	4502	5792	5027	8	0	28	0	0	1	0	0	223	0	0	1	0	2	0	1	11	0	0	0	1	3	1	0	10	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	27	0	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	126	"AWI"	126	4899	6382	5573	7	0	33	1	0	1	0	0	353	1	0	0	0	0	0	0	15	0	0	0	2	0	0	0	26	0	0	0	0	3	0	1	0	0	1	0	6	0	0	0	8	0	0	0	0	0	0	0	0	4	0	1	17	11	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	130	"AWI"	130	4976	6585	5719	8	0	0	0	0	1	0	0	192	0	0	0	0	0	0	0	5	0	0	0	2	4	0	0	3	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	22	1	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	140	"AWI"	140	5247	6904	6059	2	0	24	1	0	0	0	0	263	0	0	0	0	0	0	0	1	0	0	0	5	3	0	0	6	1	0	0	0	2	0	1	0	0	0	0	3	0	0	0	5	1	0	0	0	0	0	0	0	4	1	1	34	7	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	150	"AWI"	150	5567	7186	6418	8	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	16	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	13	6	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	160	"AWI"	160	5929	7414	6765	8	0	19	0	0	0	0	0	287	0	0	0	0	0	0	1	3	0	0	0	2	6	0	0	12	0	0	0	0	0	0	0	0	90	0	0	4	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	14	1	0
1647	1703	"Lac Marcotte"	47.07778	-71.42278	180	"AWI"	180	6735	7827	7450	8	0	25	0	0	1	0	0	175	0	0	0	1	0	0	2	5	0	0	0	4	4	0	1	11	0	0	0	1	2	0	0	0	159	0	0	3	0	0	0	12	0	0	0	0	1	0	0	0	10	0	0	3	2	0
