"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Castanea"	"Cornus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Tsuga"	"Ulmus"
1551	1592	"Lake EC2"	56.02333	-74.945	1	"AWI"	1	-57	223	51	0	0	158	0	0	3	3	101	0	0	0	11	9	5	0	0	0	0	0	0	2	0	0	210	17	0	9	0	4	2	0	0	0	3	0	0	0
1551	1592	"Lake EC2"	56.02333	-74.945	2	"AWI"	2	-36	431	129	0	0	152	2	0	3	7	110	0	0	0	19	11	9	0	0	1	0	0	0	1	1	0	194	9.5	0	1	0	0	0	0	0	0	0	0	0	0
1551	1592	"Lake EC2"	56.02333	-74.945	3.5	"AWI"	3.5	-14	754.5	247	0	0	189	0	0	4	5	143	0	0	0	24	4	12	0	1	1	0	0	0	1	0	0	187.5	20.5	0	2	0	3	2	1	0	0	1	0	0	0
1551	1592	"Lake EC2"	56.02333	-74.945	5	"AWI"	5	5	1092	364	0	1	0	0	0	7	6	106	0	0	0	5	8	6	0	0	1	0	0	0	1	0	0	211	12	0	4	0	1	0	0	0	0	1	0	0	0
1551	1592	"Lake EC2"	56.02333	-74.945	8.5	"AWI"	8.5	36	1875.5	636.5	0	0	147	1	0	1	0	73	0	0	0	11	10	8	0	1	1	0	0	0	0	1	0	269	0	1	5	0	1	2	1	0	0	3	0	0	0
1551	1592	"Lake EC2"	56.02333	-74.945	11	"AWI"	11	149	2271	865	0	0	147	0	0	5	2	84	0	0	0	3	11	2	0	0	0	0	0	0	0	0	0	239.5	11.5	0	7	0	1	2	0	0	0	2	0	0	0
1551	1592	"Lake EC2"	56.02333	-74.945	12.5	"AWI"	12.5	238	2368.5	1034	0	0	185	1	0	1	0	96	0	0	0	6	10	4	1	0	0	0	0	2	0	0	0	229.5	11.5	0	10	1	2	1	0	0	1	2	0	0	0
1551	1592	"Lake EC2"	56.02333	-74.945	15	"AWI"	15	348	2568	1330	0	0	173	0	0	7	3	64	0	0	0	4	12	2	0	0	0	0	0	0	1	0	1	226	18.5	0	2	0	0	0	0	0	0	0	0	0	1
1551	1592	"Lake EC2"	56.02333	-74.945	16	"AWI"	16	387	2654	1442	2	0	186	2	0	3	3	95	0	0	0	7	10	3	0	0	0	0	0	1	0	0	0	308	23.5	0	6	0	1	1	0	0	0	0	0	0	0
1551	1592	"Lake EC2"	56.02333	-74.945	20	"AWI"	20	499	3140	1846	0	1	0	0	0	3	0	93	0	0	0	4	7	9	0	1	1	0	0	0	0	0	0	226	16	0	5	0	1	2	0	0	0	1	0	0	0
