"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"	"Tsuga"	"Urticaceae"
771	790	"Eldora Fen"	39.93667	-105.58	1	"AWI"	1	-86	93	3	2	0	1	10	0	20	5	0	0	1	0	0	21	0	0	0	0	0	6	0	16	0	0	16	228	6	0	0	0	4	5	2	0	1	23	0	2	0	0	0
771	790	"Eldora Fen"	39.93667	-105.58	4	"AWI"	4	-48	309	75	3	0	2	10	0	15	4	0	0	0	0	0	9	0	0	0	0	0	5	0	1	0	0	21	0	2	0	0	0	1	3	0	0	0	27	0	2	0	0	0
771	790	"Eldora Fen"	39.93667	-105.58	10	"AWI"	10	31	605	242	2	0	0	11	0	19	4	1	0	0	0	0	22	0	0	0	0	0	10	0	9	0	0	20	0	14	0	0	0	0	2	0	0	0	0	1	0	0	0	0
771	790	"Eldora Fen"	39.93667	-105.58	14	"AWI"	14	103	729	362	3	1	2	4	1	22	5	1	0	0	0	0	26	0	0	0	0	5	4	0	9	0	0	15	242	4	0	0	0	0	1	0	2	0	4	0	0	0	0	0
771	790	"Eldora Fen"	39.93667	-105.58	19.5	"AWI"	19.5	207	925.5	515	1	0	1	6	1	16	0	0	0	0	0	0	13	0	0	0	0	4	9	0	5	0	0	23	281	6	0	1	0	0	2	1	1	0	4	1	3	0	0	0
771	790	"Eldora Fen"	39.93667	-105.58	24	"AWI"	24	313	1055	648	1	0	4	2	0	16	5	2	0	0	0	0	6	0	0	0	0	0	3	0	4	0	0	21	263	6	0	0	0	2	4	0	0	0	3	1	0	0	0	0
771	790	"Eldora Fen"	39.93667	-105.58	30	"AWI"	30	452	1249	819	8	0	1	12	0	30	11	0	0	0	0	0	56	0	0	0	0	1	11	0	11	0	0	30	633	12	0	0	0	0	7	0	0	0	3	0	6	2	0	0
771	790	"Eldora Fen"	39.93667	-105.58	34	"AWI"	34	571	1346	934	3	0	2	10	0	20	8	0	0	0	0	0	50	0	3	0	1	0	2	0	6	0	0	21	269	4	0	0	0	1	6	0	1	0	6	0	0	0	0	0
771	790	"Eldora Fen"	39.93667	-105.58	39.5	"AWI"	39.5	731	1507	1087.5	1	0	1	6	0	18	4	0	0	0	0	1	18	0	0	0	0	0	4	0	6	0	0	19	267	4	0	0	0	0	3	0	0	0	2	0	0	0	0	1
771	790	"Eldora Fen"	39.93667	-105.58	44	"AWI"	44	901	1629	1209	2	1	0	9	0	20	8	0	0	0	0	0	21	0	0	0	0	2	9	1	2	0	0	15	232	8	0	0	0	2	2	0	0	0	8	0	3	0	1	0
