"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Gentianaceae"	"Larix"	"Montiaceae"	"Onagraceae"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
781	801	"Enmynveem River"	68.25	166	0	"AWI"	0	1619	4137	2868	139	0	7	0	156	0	0	1	7	111	0	0	0	1	11	19	0	1	15	0	4	2	0
781	801	"Enmynveem River"	68.25	166	35	"AWI"	35	2292	4936	3655	49	0	2	0	145	0	0	0	14	92	0	1	0	1	23	21	0	0	5	0	5	0	0
781	801	"Enmynveem River"	68.25	166	50	"AWI"	50	2571	5143	4020	67	0	6	0	127	0	0	0	3	137	0	1	1	1	13	12	0	0	6	0	3	0	0
781	801	"Enmynveem River"	68.25	166	100	"AWI"	100	3700	5798	5096	45	0	0	0	54	0	0	1	21	9	0	1	0	1	18	32	0	0	0	0	1	0	0
781	801	"Enmynveem River"	68.25	166	145	"AWI"	145	5841	6276	6081	91	0	1	0	145	0	0	0	30	30	0	4	0	0	21	34	0	0	1	0	17	0	2
781	801	"Enmynveem River"	68.25	166	175	"AWI"	175	6275	7978	6883	83	0	4	0	134	0	0	1	4	24	0	1	0	2	14	27	0	2	1	0	9	0	0
781	801	"Enmynveem River"	68.25	166	210	"AWI"	210	7379	8476	7995	112	0	11	0	242	0	0	0	5	180	0	2	0	0	0	22	0	0	1	0	14	0	1
781	801	"Enmynveem River"	68.25	166	235	"AWI"	235	8220	8731	8504	55	0	6	0	207	0	2	1	1	103	0	1	0	0	3	22	0	0	1	0	23	0	0
781	801	"Enmynveem River"	68.25	166	260	"AWI"	260	8407	8962	8672	100	0	24	0	229	0	0	1	10	29	1	0	0	1	1	42	0	1	1	0	24	0	0
781	801	"Enmynveem River"	68.25	166	275	"AWI"	275	8494	9062	8757	42	0	2	0	192	0	0	1	2	24	0	0	0	1	4	15	0	0	1	0	5	0	0
781	801	"Enmynveem River"	68.25	166	300	"AWI"	300	8622	9270	8915	76	0	17	2	191	0	0	3	20	13	0	0	1	3	1	107	1	1	3	0	26	0	1
781	801	"Enmynveem River"	68.25	166	325	"AWI"	325	8778	9532	9129	107	0	1	0	249	0	0	0	1	17	0	0	0	0	1	56	0	0	1	0	58	0	0
781	801	"Enmynveem River"	68.25	166	340	"AWI"	340	8846	9890	9271	87	1	28	0	293	1	0	2	17	14	0	0	0	4	0	109	1	1	5	0	21	0	0
781	801	"Enmynveem River"	68.25	166	365	"AWI"	365	9054	10919	9688	105	0	1	0	145	0	0	0	15	15	0	0	0	1	1	78	0	1	0	0	121	1	0
781	801	"Enmynveem River"	68.25	166	380	"AWI"	380	9199	11377	9962	91	1	10	0	127	0	0	1	1	11	1	0	0	1	0	20	0	0	1	0	8	0	0
781	801	"Enmynveem River"	68.25	166	425	"AWI"	425	9622	12640	10787	78	0	0	0	157	0	0	0	170	20	0	0	0	0	0	48	0	0	1	0	11	1	1
