"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Liquidambar"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rumex"	"Salix"	"Tilia"	"Tsuga"	"Ulmus"
753	772	"Duck Pond"	41.93248	-70.00076	0	"AWI"	0	-138	32	-54	0	9	0	0	1	2	45	49	4	2	0	0	7	4	2	5	1	41	114	1	0	0	47	0	4	2	317	9	4	32	1	115	26	1	0	5	6
753	772	"Duck Pond"	41.93248	-70.00076	25	"AWI"	25	208	880	527	0	9	0	1	0	0	51	83	7	5	0	0	5	1	4	13	4	34	109	1	0	1	42	2	5	3	197	3	0	31	0	137	39	2	0	5	3
753	772	"Duck Pond"	41.93248	-70.00076	28	"AWI"	28	249	961	600	0	3	0	1	0	1	29	38	2	2	0	0	0	1	3	10	1	26	48	1	0	0	39	1	3	3	118	0	1	17	0	55	0	0	0	4	1
753	772	"Duck Pond"	41.93248	-70.00076	31	"AWI"	31	335	1007	674	0	7	0	1	1	1	23	31	1	3	0	0	4	0	3	15	0	36	31	2	0	1	28	0	4	3	130	3	2	6	0	63	34	0	0	6	0
753	772	"Duck Pond"	41.93248	-70.00076	35	"AWI"	35	409	1098	783	0	1	0	1	0	3	6	33	4	1	0	0	1	0	1	12	4	18	20	2	0	0	18	1	2	1	96	0	0	7	0	69	17	0	0	9	3
753	772	"Duck Pond"	41.93248	-70.00076	45	"AWI"	45	728	1254	1022	1	3	3	0	0	0	0	37	8	3	0	0	1	1	1	13	4	26	17	0	0	1	19	0	4	1	137	0	0	6	0	116	3	0	0	12	7
753	772	"Duck Pond"	41.93248	-70.00076	55	"AWI"	55	1100	1598	1308	1	1	0	0	0	0	0	27	9	1	0	0	2	0	2	36	4	19	7	1	0	0	14	0	2	1	162	0	0	2	0	73	0	0	0	11	4
753	772	"Duck Pond"	41.93248	-70.00076	65	"AWI"	65	1313	2455	1722	0	4	0	0	0	0	5	32	6	1	0	1	0	0	0	20	4	57	2	0	0	0	15	0	3	0	206	0	0	4	0	52	1	1	1	10	4
753	772	"Duck Pond"	41.93248	-70.00076	75	"AWI"	75	1613	3089	2241	0	9	4	1	0	0	0	20	7	1	0	0	1	1	0	17	4	50	10	0	3	0	13	0	3	0	170	0	1	4	0	105	0	1	0	2	4
753	772	"Duck Pond"	41.93248	-70.00076	82	"AWI"	82	1868	3507	2587	0	1	3	1	0	0	0	15	0	0	0	0	1	0	0	8	1	21	0	0	0	0	14	5	2	0	128	0	2	3	0	124	0	0	0	9	6
753	772	"Duck Pond"	41.93248	-70.00076	101	"AWI"	101	2627	4436	3592	0	5	0	1	0	0	0	23	5	1	0	0	2	3	0	14	3	11	3	0	0	0	17	0	4	0	192	0	2	1	0	67	0	0	0	4	4
753	772	"Duck Pond"	41.93248	-70.00076	105	"AWI"	105	2825	4585	3791	0	7	0	0	0	0	0	36	6	0	0	0	0	0	0	27	6	9	2	0	0	0	27	2	4	0	149	0	0	5	1	133	0	0	0	7	7
753	772	"Duck Pond"	41.93248	-70.00076	115	"AWI"	115	3322	4971	4274	0	6	0	0	0	1	0	20	10	0	0	0	1	1	0	33	2	32	2	3	0	0	31	0	4	1	214	0	3	0	2	96	1	1	0	1	2
753	772	"Duck Pond"	41.93248	-70.00076	125	"AWI"	125	4021	5246	4775	0	11	7	0	0	0	3	43	4	2	0	0	2	0	0	32	7	37	8	0	0	0	28	1	10	0	147	0	8	5	0	122	0	2	0	0	1
753	772	"Duck Pond"	41.93248	-70.00076	135	"AWI"	135	4843	5496	5247	0	6	5	0	0	1	0	35	5	3	0	0	2	1	0	29	3	43	8	0	0	1	29	1	4	1	129	0	3	5	0	97	0	0	0	8	5
753	772	"Duck Pond"	41.93248	-70.00076	145	"AWI"	145	5126	6024	5564	0	8	0	1	0	1	5	50	2	1	0	2	3	2	0	37	8	56	20	3	0	0	45	2	4	0	210	0	5	8	0	248	0	0	1	27	13
753	772	"Duck Pond"	41.93248	-70.00076	155	"AWI"	155	5338	6514	5871	0	1	0	0	0	0	0	21	1	1	0	0	1	1	0	27	5	25	4	3	0	0	24	3	2	1	175	0	4	3	0	135	1	0	0	16	6
753	772	"Duck Pond"	41.93248	-70.00076	165	"AWI"	165	5585	6953	6193	0	3	2	1	1	1	2	14	1	1	0	0	4	1	0	24	3	25	3	0	0	0	25	1	1	2	212	0	0	1	0	116	0	2	1	15	2
753	772	"Duck Pond"	41.93248	-70.00076	175	"AWI"	175	5865	7294	6540	0	2	0	0	0	2	5	22	3	0	0	0	4	5	1	39	6	36	2	1	0	0	8	1	8	0	167	0	2	1	0	164	0	0	1	29	8
753	772	"Duck Pond"	41.93248	-70.00076	185	"AWI"	185	6133	7663	6879	0	5	0	0	1	0	6	20	1	0	0	0	0	2	0	30	3	36	1	0	0	0	24	2	5	0	128	0	4	3	0	151	0	0	0	22	7
753	772	"Duck Pond"	41.93248	-70.00076	191	"AWI"	191	6330	7865	7095	0	2	5	0	1	0	0	27	1	1	0	0	4	2	1	11	3	41	4	0	0	0	13	1	4	0	139	0	4	0	1	176	2	0	0	22	8
753	772	"Duck Pond"	41.93248	-70.00076	205	"AWI"	205	6787	8293	7561	0	4	2	1	0	0	0	22	0	0	0	0	4	3	0	12	7	14	0	0	0	1	17	2	7	0	120	0	3	2	0	126	0	1	1	11	3
753	772	"Duck Pond"	41.93248	-70.00076	215	"AWI"	215	7121	8564	7891	0	5	0	0	0	1	5	22	2	1	0	0	0	3	0	18	4	27	1	0	0	0	27	5	3	1	139	0	2	2	0	87	1	0	0	10	7
753	772	"Duck Pond"	41.93248	-70.00076	225	"AWI"	225	7478	8792	8217	0	2	7	0	0	0	4	22	1	1	0	0	1	6	0	18	2	18	2	2	0	0	28	0	4	0	127	0	5	4	0	168	1	0	1	9	8
753	772	"Duck Pond"	41.93248	-70.00076	235	"AWI"	235	7845	9044	8552	0	1	0	1	0	0	0	14	2	0	0	0	1	6	0	2	1	13	3	0	0	1	34	1	4	0	129	0	0	5	0	100	0	0	0	7	3
753	772	"Duck Pond"	41.93248	-70.00076	245	"AWI"	245	8354	9228	8892	0	3	3	0	0	0	0	11	2	1	0	0	0	0	0	28	1	28	0	1	0	0	28	2	3	0	270	0	0	3	0	129	0	1	0	11	3
753	772	"Duck Pond"	41.93248	-70.00076	255	"AWI"	255	8691	9449	9151	0	5	7	1	0	2	5	21	3	0	0	0	0	2	0	12	3	40	2	0	0	1	24	3	5	1	150	0	0	9	0	131	0	0	0	5	2
753	772	"Duck Pond"	41.93248	-70.00076	265	"AWI"	265	8853	9694	9323	0	1	6	0	0	0	4	16	1	0	0	0	1	2	0	15	0	46	9	1	0	0	41	0	7	1	212	0	0	6	0	112	5	0	0	5	4
753	772	"Duck Pond"	41.93248	-70.00076	275	"AWI"	275	9031	9894	9507	0	2	5	1	0	1	6	19	2	0	0	0	0	1	2	23	3	47	9	0	0	1	56	10	5	0	162	0	1	9	0	148	0	1	0	6	2
753	772	"Duck Pond"	41.93248	-70.00076	285	"AWI"	285	9248	10079	9694	1	4	6	0	0	0	6	18	0	0	0	0	2	3	1	16	4	31	26	0	1	0	59	1	5	1	147	0	2	7	0	160	4	0	0	4	2
753	772	"Duck Pond"	41.93248	-70.00076	293	"AWI"	293	9408	10228	9845	0	3	7	0	0	0	3	8	0	0	0	0	2	2	0	6	2	17	30	1	0	0	29	3	1	2	160	0	0	4	0	121	0	1	0	6	3
753	772	"Duck Pond"	41.93248	-70.00076	305	"AWI"	305	9693	10400	10066	0	4	3	0	0	1	0	22	0	0	0	2	3	0	4	8	2	13	64	0	0	0	59	8	9	1	200	0	1	6	2	192	3	0	0	5	2
753	772	"Duck Pond"	41.93248	-70.00076	315	"AWI"	315	9931	10557	10246	0	4	10	1	0	0	0	33	2	0	0	3	0	2	13	5	4	7	10	0	0	0	36	0	10	2	233	0	1	6	2	145	3	0	0	7	5
753	772	"Duck Pond"	41.93248	-70.00076	325	"AWI"	325	10177	10827	10440	0	2	0	0	0	1	0	23	0	0	1	0	6	8	59	4	0	10	18	0	0	0	37	0	6	0	274	0	1	5	2	61	1	0	0	16	4
753	772	"Duck Pond"	41.93248	-70.00076	335	"AWI"	335	10397	11480	10828	1	0	8	0	0	1	0	20	0	1	3	0	2	7	67	4	0	18	28	0	1	0	21	0	9	2	245	0	1	2	0	52	1	2	1	3	3
753	772	"Duck Pond"	41.93248	-70.00076	345	"AWI"	345	10814	11930	11334	3	5	4	0	0	0	4	36	0	0	7	0	0	3	49	2	3	2	18	0	0	0	21	0	6	1	331	0	1	1	0	41	0	0	0	0	2
753	772	"Duck Pond"	41.93248	-70.00076	355	"AWI"	355	11333	12325	11833	7	0	29	0	0	0	4	44	1	0	25	0	0	8	27	2	5	18	8	0	1	0	15	0	5	28	282	0	1	5	0	29	2	0	0	3	7
753	772	"Duck Pond"	41.93248	-70.00076	365	"AWI"	365	11791	12882	12336	8	1	147	0	0	1	0	34	0	0	1	0	1	2	12	0	2	10	0	0	4	0	0	0	6	104	252	1	0	11	1	4	3	0	0	1	1
753	772	"Duck Pond"	41.93248	-70.00076	375	"AWI"	375	12231	13314	12819	5	0	64	0	0	1	0	8	1	0	2	0	0	3	15	1	1	11	5	0	2	1	2	0	4	108	216	0	1	10	1	8	7	0	0	0	2
753	772	"Duck Pond"	41.93248	-70.00076	380	"AWI"	380	12522	13505	13051	3	0	15	1	0	0	0	10	0	0	22	0	1	1	22	1	5	14	4	0	1	0	1	0	8	40	195	0	0	2	0	10	6	1	0	0	0
753	772	"Duck Pond"	41.93248	-70.00076	385	"AWI"	385	12776	13666	13292	2	0	3	0	0	0	0	11	0	0	16	0	2	4	4	0	6	11	0	0	0	0	4	0	15	94	327	0	1	4	0	27	2	1	0	0	0
753	772	"Duck Pond"	41.93248	-70.00076	390	"AWI"	390	13151	13801	13487	6	0	0	1	0	1	0	17	0	0	23	0	6	10	2	0	5	19	0	0	0	0	1	0	10	150	97	0	0	6	2	12	5	2	0	0	1
753	772	"Duck Pond"	41.93248	-70.00076	393	"AWI"	393	13249	13967	13598	3	0	0	0	1	0	5	8	0	0	90	0	0	5	4	0	8	12	0	0	2	2	0	0	10	125	0	0	0	9	0	13	7	4	0	0	1
753	772	"Duck Pond"	41.93248	-70.00076	428	"AWI"	428	13956	15553	14676	3	0	0	0	0	2	0	1	0	0	23	0	0	2	10	0	0	59	0	0	0	0	15	0	7	111	38	0	0	28	0	9	9	2	0	1	1
