"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Buddleja"	"Caryophyllaceae"	"Cyperaceae"	"Drimys"	"Embothrium"	"Ephedraceae"	"Ericales"	"Fuchsia"	"Grossulariaceae"	"Gunneraceae"	"Indeterminable"	"Liliaceae"	"Lomatia"	"Maytenus"	"Misodendraceae"	"Myrtaceae"	"Nothofagus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Podocarpus"	"Polygonaceae"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Schinus"	"Verbenaceae"	"Vivianiaceae"
1565	1610	"La Mision"	-53.5	-67.83333	0	"AWI"	0	-144	18	-66	7	0	0	0	0	0	0	0	2	54	0	0	0	0	0	0	0	4	0	0	0	0	0	12	0	0	120	0	0	5	0	1	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	20	"AWI"	20	12	455	168	1	0	1	0	0	0	0	0	8	3	0	0	0	9	0	0	2	4	0	0	0	0	0	53	1	0	700	0	0	2	0	8	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	42	"AWI"	42	126	919	427	6	0	0	0	0	0	1	0	3	13	0	0	0	4	0	0	0	0	0	0	0	0	0	34	2	0	116	0	0	2	0	1	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	49	"AWI"	49	173	1053	508	8	0	0	0	12	0	0	0	5	3	0	0	0	3	0	0	1	0	0	0	0	0	0	44	1	0	690	0	0	3	0	4	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	60	"AWI"	60	247	1236	639	31	0	0	0	1	0	0	0	1	4	0	0	0	2	0	0	0	4	0	0	0	0	0	100	3	0	32	3	0	0	0	0	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	80	"AWI"	80	401	1561	875	151	0	0	0	0	0	0	1	6	5	0	0	0	7	0	3	1	4	0	1	0	1	0	113	4	0	49	15	0	0	0	6	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	122	"AWI"	122	747	2221	1375	2	0	0	0	0	0	0	1	7	1	0	0	0	5	0	0	0	7	0	0	0	0	0	186	0	0	30	2	0	0	0	3	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	130	"AWI"	130	826	2317	1466	48	0	1	0	0	0	0	0	0	5	1	0	0	2	0	0	0	1	0	0	0	0	1	96	1	0	20	4	0	0	0	0	1	0	1	0
1565	1610	"La Mision"	-53.5	-67.83333	162	"AWI"	162	1119	2753	1846	194	0	0	0	2	0	0	0	5	5	0	0	0	7	0	0	2	1	0	4	0	0	0	80	4	1	28	15	0	0	1	7	0	0	0	0
1565	1610	"La Mision"	-53.5	-67.83333	180	"AWI"	180	1273	3019	2061	25	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	45	1	0	11	3	0	0	0	0	0	0	0	0
