"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Thalictrum"	"Tsuga"
1614	1666	"Lost Lake"	47.634738	-110.487016	0	"AWI"	0	-105	66	-28	0	1	13	1	40	0	1	0	0	0	15	0	0	0	0	22	2	0	0	0	0	0	2	21	1	53	0	0	1	0	0	0	0	1	1	2	0	5	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	40	"AWI"	40	2	1497	413	0	7	10	0	35	0	8	1	0	0	22	0	0	0	0	23	2	0	0	0	1	1	1	114	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	60	"AWI"	60	87	2115	652	5	2	17	0	35	41	2	0	0	1	25	0	0	0	0	71	2	0	0	0	0	0	4	133	0	80	0	2	1	0	0	0	0	0	1	1	0	4	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	100	"AWI"	100	283	2803	1221	1	0	16	1	31	0	5	0	0	0	16	0	0	0	0	64	6	0	0	0	0	0	3	42	0	0	0	0	1	2	1	0	0	0	0	1	0	2	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	140	"AWI"	140	616	3341	1759	1	6	11	1	41	0	2	0	0	0	19	0	0	0	1	10	0	0	0	0	0	0	8	66	0	0	0	0	3	0	0	0	0	0	0	1	1	4	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	180	"AWI"	180	975	3884	2289	0	3	12	1	28	0	1	0	0	0	3	0	0	2	0	6	0	0	0	0	0	0	1	44	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	220	"AWI"	220	1337	4433	2858	1	3	16	3	27	0	0	0	0	0	14	0	0	0	0	8	3	0	1	0	0	0	0	71	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	260	"AWI"	260	1755	4776	3388	2	2	18	2	26	0	0	1	0	0	3	0	0	0	0	64	3	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	300	"AWI"	300	2338	5176	3934	2	2	6	2	46	0	1	1	0	0	5	1	0	5	0	13	5	1	0	0	0	0	2	54	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	340	"AWI"	340	2885	5585	4468	0	3	33	0	50	0	0	0	0	0	11	0	0	3	0	61	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	380	"AWI"	380	3401	5913	5038	5	8	32	2	45	0	1	0	0	1	17	0	0	2	0	25	7	0	0	0	0	0	6	83	0	0	0	0	3	2	1	0	0	0	0	5	0	3	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	420	"AWI"	420	4504	6099	5510	0	4	47	2	66	42	3	2	0	0	16	1	0	3	0	24	3	0	1	0	0	1	4	102	0	0	0	0	2	3	0	0	0	0	0	1	0	3	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	460	"AWI"	460	5273	6316	5925	0	9	55	4	61	0	3	0	0	0	24	0	0	3	1	40	1	0	0	0	0	0	2	99	0	0	0	0	3	0	0	0	0	2	0	0	0	3	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	480	"AWI"	480	5587	6421	6097	0	4	25	1	13	0	0	1	0	1	10	0	0	0	0	13	12	0	0	0	0	0	0	25	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	520	"AWI"	520	5786	6730	6337	3	7	36	3	36	0	0	0	0	0	16	0	0	0	0	37	1	0	0	0	0	1	5	40	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	568	"AWI"	568	5973	7065	6534	1	5	50	3	56	0	1	0	0	1	4	1	0	7	0	41	5	0	0	0	0	0	6	82	0	0	0	0	0	2	2	1	0	0	0	1	0	5	1	0
1614	1666	"Lost Lake"	47.634738	-110.487016	600	"AWI"	600	6085	7265	6671	1	1	37	0	27	0	0	1	0	0	10	0	0	0	0	25	5	0	0	0	0	0	4	47	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	640	"AWI"	640	6255	7438	6858	0	0	47	3	16	0	0	0	0	0	0	0	0	0	0	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	680	"AWI"	680	6415	7616	7032	1	8	86	3	46	0	0	4	0	0	24	0	0	16	0	29	5	0	0	0	0	1	3	0	0	0	0	0	1	0	0	2	0	0	0	3	0	5	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	700	"AWI"	700	6490	7697	7124	1	1	42	2	12	0	0	0	1	0	2	0	0	2	0	65	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	740	"AWI"	740	6688	7860	7308	1	5	51	3	27	14	1	1	0	0	5	0	0	9	0	16	3	0	0	0	0	1	1	65	0	0	0	0	0	4	0	0	0	1	0	3	0	2	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	790	"AWI"	790	6935	8059	7535	3	2	70	0	21	0	0	0	0	0	6	1	0	0	0	58	2	0	0	1	0	0	2	98	0	0	0	0	1	1	0	1	0	0	0	1	0	2	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	820	"AWI"	820	7044	8174	7673	0	0	31	1	22	0	2	0	0	0	1	0	0	0	0	94	9	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	860	"AWI"	860	7296	8283	7852	0	6	88	0	38	0	1	0	0	0	5	0	0	3	0	57	2	0	1	0	0	0	0	52	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	920	"AWI"	920	7676	8466	8121	3	1	76	0	29	0	0	0	0	0	4	0	0	0	0	61	5	0	0	0	0	1	2	94	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	2
1614	1666	"Lost Lake"	47.634738	-110.487016	960	"AWI"	960	7953	8591	8285	1	0	61	0	35	0	0	0	0	0	9	0	0	0	0	41	1	0	0	0	0	0	2	59	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0
1614	1666	"Lost Lake"	47.634738	-110.487016	1000	"AWI"	1000	8092	8759	8435	0	1	122	0	45	0	3	0	0	0	15	0	0	0	0	41	2	0	0	2	0	1	3	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
