"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
829	856	"Furnival Lake"	48.21	-84.93	1	"AWI"	1	-80	110	0	9	0	19	4	0	9	0	109	0	0	0	2	0	0	0	0	3	0	0	1	0	1	37	63	0	1	0	9	0	0	2	0	0	0	0	2	0	0
829	856	"Furnival Lake"	48.21	-84.93	10	"AWI"	10	-31	589	140	6	0	16	3	0	5	0	115	0	0	0	0	0	0	2	0	3	0	2	0	0	1	46	62	0	2	2	11	0	0	1	1	0	0	0	2	3	0
829	856	"Furnival Lake"	48.21	-84.93	20	"AWI"	20	50	878	325	5	0	23	2	0	6	0	120	0	3	3	0	0	0	2	0	3	0	3	0	0	1	37	55	1	2	0	14	0	0	0	0	0	1	0	4	3	0
829	856	"Furnival Lake"	48.21	-84.93	30	"AWI"	30	145	1159	521	6	0	14	2	0	3	0	132	0	1	1	0	1	0	3	0	0	0	1	1	0	2	50	57	0	0	0	6	0	0	0	0	0	0	0	1	8	0
829	856	"Furnival Lake"	48.21	-84.93	40	"AWI"	40	260	1397	714	6	0	14	1	0	5	0	110	2	1	2	1	0	0	0	0	2	0	5	0	0	0	47	84	0	1	1	7	0	0	0	0	0	0	0	3	1	0
829	856	"Furnival Lake"	48.21	-84.93	50	"AWI"	50	390	1645	902	14	4	17	0	0	5	0	111	0	0	2	0	0	0	1	2	0	0	4	0	0	5	46	66	0	1	2	9	0	0	0	0	0	0	0	1	3	0
829	856	"Furnival Lake"	48.21	-84.93	60	"AWI"	60	528	1877	1091	8	0	18	1	1	5	0	131	0	0	0	1	0	0	0	0	1	0	2	0	0	0	44	73	0	0	0	7	0	1	0	0	0	0	0	3	3	0
829	856	"Furnival Lake"	48.21	-84.93	80	"AWI"	80	813	2337	1488	5	0	24	0	0	0	0	145	0	0	1	3	0	0	1	0	2	0	1	2	0	0	34	63	0	1	0	7	0	0	0	0	0	0	2	5	3	0
829	856	"Furnival Lake"	48.21	-84.93	100	"AWI"	100	1128	2758	1872	10	0	25	0	0	3	0	121	0	0	0	2	0	0	0	0	5	0	1	0	0	2	41	71	0	1	0	8	0	0	0	2	0	0	0	2	3	0
829	856	"Furnival Lake"	48.21	-84.93	120	"AWI"	120	1452	3190	2257	11	0	20	1	0	3	0	124	1	0	3	0	0	0	0	0	0	0	2	4	0	1	37	67	0	0	0	6	0	0	0	0	2	0	0	2	11	0
