"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Larix"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
1411	1448	"Kellners Lake"	44.23806	-87.84806	0.5	"AWI"	0.5	-115	54.5	-28	0	11	15	0	0	0	33	0	0	3	2	1	3	10	0	0	15	6	3	1	4	0	10	3	41	0	12	2	54	0	0	2	0	0	1	9	14	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	20	"AWI"	20	-59	332	73	0	7	17	1	1	15	37	1	0	6	0	0	2	10	0	0	23	15	1	0	2	0	7	1	53	2	3	0	67	0	0	0	0	1	3	12	12	2
1411	1448	"Kellners Lake"	44.23806	-87.84806	40	"AWI"	40	-27	656	173	0	12	14	1	2	0	47	2	0	3	1	0	2	7	0	2	16	15	0	0	1	0	12	3	44	2	4	0	74	0	0	0	0	0	3	8	14	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	50	"AWI"	50	16	716	241	0	11	12	5	3	0	44	0	0	2	1	0	1	3	0	0	25	8	3	0	0	0	18	2	53	1	3	0	89	0	0	1	0	0	1	4	14	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	60	"AWI"	60	43	802	305	1	4	4	1	3	0	52	3	0	2	0	0	0	4	0	0	20	13	0	1	6	0	13	1	73	0	6	0	74	0	0	0	1	0	1	3	18	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	80	"AWI"	80	100	1011	432	0	7	17	0	1	5	37	2	0	6	0	0	2	9	0	0	23	15	1	0	2	0	7	1	53	1	3	0	67	1	0	0	0	0	3	14	12	1
1411	1448	"Kellners Lake"	44.23806	-87.84806	100	"AWI"	100	188	1129	562	0	7	16	0	2	0	41	0	0	3	0	1	2	6	0	0	19	11	0	0	6	1	11	5	77	2	2	0	97	0	1	1	0	1	2	6	19	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	120	"AWI"	120	279	1289	688	2	4	14	0	1	0	38	1	0	1	0	0	1	5	1	1	25	11	1	0	3	1	15	0	73	1	2	0	85	0	0	0	0	1	1	5	10	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	130	"AWI"	130	329	1342	751	0	5	13	0	1	0	31	3	0	3	0	1	0	10	0	0	22	7	3	0	2	1	13	0	65	2	5	0	83	1	0	3	0	0	2	6	22	0
1411	1448	"Kellners Lake"	44.23806	-87.84806	160	"AWI"	160	460	1556	939	0	7	4	0	1	0	29	5	0	1	0	0	1	6	0	0	36	11	1	1	6	0	16	2	64	0	3	0	96	0	0	0	0	0	1	6	9	0
