"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Lamiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	5	"AWI"	5	41	843	299	8	0	0	2	2	113	0	0	0	1	20	0	8	0	0	16	159	10	0	0	0	0	0	2	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	10	"AWI"	10	197	1385	656	11	1	0	0	1	161	0	0	0	0	23	0	14	0	0	8	162	10	0	0	5	0	0	0	0	0	1	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	15	"AWI"	15	461	1784	1027	7	0	0	1	2	173	0	0	0	0	29	0	10	0	0	9	208	10	0	0	0	0	1	2	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	20	"AWI"	20	696	2219	1393	7	0	1	0	0	209	0	0	0	0	33	0	6	0	0	7	173	11	0	0	0	0	0	1	1	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	25	"AWI"	25	1017	2549	1752	3	0	1	1	2	189	0	0	0	0	19	0	5	0	0	12	149	5	0	0	0	0	1	1	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	30	"AWI"	30	1301	2933	2105	3	0	0	2	2	120	0	0	0	1	18	0	6	0	0	5	107	11	0	0	0	0	0	2	0	0	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	35	"AWI"	35	1660	3249	2468	16	0	0	1	0	163	0	0	0	0	14	0	5	0	0	3	152	8	1	0	0	0	0	1	0	0	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	40	"AWI"	40	1994	3584	2830	13	0	0	0	1	134	0	0	0	0	20	0	6	0	0	5	157	4	0	0	0	1	1	1	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	45	"AWI"	45	2427	3853	3186	12	1	1	0	0	140	0	1	0	0	15	0	8	0	0	4	153	3	0	0	0	0	0	0	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	50	"AWI"	50	2816	4160	3556	11	0	0	2	1	144	0	0	0	1	22	0	9	0	0	1	177	9	0	0	0	0	2	1	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	55	"AWI"	55	3287	4418	3894	22	1	0	1	0	155	0	0	0	0	8	0	10	0	0	4	138	13	1	0	0	0	0	2	0	0	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	60	"AWI"	60	3658	4715	4226	21	0	0	0	0	129	0	0	0	1	9	0	9	0	0	2	194	10	0	0	0	0	0	1	0	0	0	1
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	65	"AWI"	65	3923	5014	4487	15	2	0	0	0	127	0	0	0	2	10	0	12	0	1	3	177	8	0	0	0	0	0	3	0	0	0	0
310	317	"Bruvatnet [Rovvejávri]"	70.18035	28.403788	70	"AWI"	70	4175	5317	4752	8	2	0	1	1	141	0	0	0	0	8	0	15	0	0	4	219	9	1	0	0	0	1	4	0	0	0	1
