"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
1104	1137	"Humber Pond 7"	43.65	-79.5	1	"AWI"	1	-92	74	-17	0	0	4	2	0	2	0	0	25	0	1	0	0	0	0	3	0	3	0	7	4	0	0	3	2	31	0	0	0	21	70	0	0	0	9	0	0	0	1	8	3
1104	1137	"Humber Pond 7"	43.65	-79.5	10	"AWI"	10	-50	166	40	0	0	1	4	1	0	0	1	21	0	1	0	0	0	0	4	0	1	0	9	5	0	0	3	0	27	1	1	22	13	90	0	0	0	9	0	0	2	4	7	0
1104	1137	"Humber Pond 7"	43.65	-79.5	20	"AWI"	20	-5	254	105	0	0	3	8	1	0	91	1	25	1	0	1	0	0	1	2	1	1	0	18	5	0	0	8	5	14	2	3	0	7	83	0	0	1	5	0	0	1	4	13	0
1104	1137	"Humber Pond 7"	43.65	-79.5	30	"AWI"	30	48	335	172	0	0	6	3	1	0	102	1	28	1	2	0	0	0	6	3	0	1	0	4	0	0	0	3	5	27	0	0	0	7	65	0	0	2	2	0	0	0	11	28	1
1104	1137	"Humber Pond 7"	43.65	-79.5	40	"AWI"	40	102	419	239	0	0	1	11	0	0	0	1	42	0	4	0	0	0	0	1	0	3	0	15	0	0	0	2	1	22	1	1	0	4	72	0	0	3	1	0	0	1	3	28	1
1104	1137	"Humber Pond 7"	43.65	-79.5	50	"AWI"	50	154	492	305	1	0	3	4	0	0	0	0	35	1	0	0	0	2	0	3	0	6	0	7	0	0	0	3	3	30	2	1	1574	5	69	0	0	2	2	0	0	2	8	20	0
1104	1137	"Humber Pond 7"	43.65	-79.5	60	"AWI"	60	207	567	371	1	0	13	11	0	0	0	0	29	0	1	0	0	0	0	2	0	6	0	3	0	0	0	8	0	26	2	1	0	1	62	0	2	5	3	1	0	3	11	18	1
1104	1137	"Humber Pond 7"	43.65	-79.5	70	"AWI"	70	263	643	438	1	0	8	12	0	0	0	0	19	4	0	0	0	0	3	7	0	5	9	5	0	0	0	7	3	57	1	1	1670	2	26	0	0	5	7	0	0	2	23	23	2
1104	1137	"Humber Pond 7"	43.65	-79.5	80	"AWI"	80	322	718	505	1	0	5	4	0	3	0	0	20	0	2	0	0	0	0	30	0	9	0	6	0	0	0	3	1	78	0	0	0	1	38	0	0	5	2	0	0	5	17	8	0
1104	1137	"Humber Pond 7"	43.65	-79.5	85	"AWI"	85	349	753	537	1	0	3	7	0	0	0	0	16	0	2	0	0	0	0	24	0	9	0	10	0	0	0	6	1	77	0	0	0	2	33	0	0	3	0	0	0	3	20	19	1
