"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Campanulaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Liquidambar"	"Morus"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
1615	1667	"Lost P."	44.24694	-71.25139	1	"AWI"	1	-124	53	-35	1	0	0	0	0	0	155	1	0	1	1	0	1	0	0	0	0	0	7	1	0	2	1	0	0	0	0	0	1	0	0	1	10	0	7.5	0	0	1	0	7	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	25	"AWI"	25	97	935	432	6	16	0	0	1	0	243	0	0	0	0	0	0	0	0	0	0	0	28	5	1	1	8	0	0	0	0	1	0	0	0	4	42	4.5	19.5	0	3	2	0	13	0	0	1	0	2	0	0	0	0	0	0	11	5	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	30	"AWI"	30	139	1090	532	8.5	0	0	0	1	0	213	2	0	0	0	0	1	0	0	3	0	0	25	2	1	6	27	1	0	0	0	0	1	0	0	1	28	4	29.5	0	2	3	2	9	0	0	5	0	0	1	0	0	0	0	0	12	0	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	50	"AWI"	50	431	1535	958	3.5	0	0	0	1	0	187	2	0	0	1	0	0	0	0	2	0	0	34	6	0	3	61	0	0	0	0	0	0	1	0	3	45	2.5	33	0	0	4	0	20	0	0	2	1	1	1	0	0	0	0	0	22	4	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	75	"AWI"	75	945	1986	1481	5.5	0	0	0	0	0	190	3	0	0	0	0	0	0	1	1	0	0	29	2	0	9	33	1	0	0	0	0	1	0	0	6	55.5	5.5	28	0	3	1	0	26	0	0	2	0	0	0	0	0	0	0	0	19	6	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	100	"AWI"	100	1541	2437	2004	5	0	0	0	1	0	192	3	0	0	0	0	0	0	0	0	0	0	27	5	0	6	45	0	0	0	0	0	0	0	0	6	28.5	2.5	33.5	0	1	0	1	17	0	0	2	0	0	0	0	0	0	0	0	17	1	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	125	"AWI"	125	2199	3174	2571	10	0	0	0	0	0	294	5	0	0	2	0	1	0	0	2	0	0	67	6	1	6	78	1	0	2	0	0	1	0	0	6	8	1	85.5	0	0	2	0	37	0	0	2	0	0	2	0	0	0	0	0	30	4	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	150	"AWI"	150	2606	4213	3263	6	0	0	0	0	0	201	4	0	1	0	0	1	0	0	0	0	0	46	13	2	8	14	0	0	0	0	0	0	0	0	4	1.5	1.5	34.5	0	0	1	0	24	0	0	1	0	0	0	0	0	0	0	0	9	1	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	175	"AWI"	175	3151	5012	3950	4.5	0	0	0	0	0	204	2	0	0	1	0	0	0	0	1	0	0	46	8	1	7	35	1	0	0	0	0	0	0	0	6	1	1.5	66.5	0	0	1	1	27	0	0	2	0	0	1	0	0	0	0	2	13	3	0	1	0
1615	1667	"Lost P."	44.24694	-71.25139	200	"AWI"	200	3695	5826	4670	3	0	0	0	1	0	244	8	0	0	2	0	0	0	1	2	0	0	44	9	0	16	14	1	0	0	0	0	3	0	0	3	0	1.5	72.5	1	1	5	1	38	1	0	1	0	0	0	0	0	2	0	0	15	7	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	210	"AWI"	210	3960	6112	4950	2	0	0	0	1	0	160	2	0	0	1	0	0	0	0	1	0	0	40	7	1	5	0	0	0	0	0	0	1	0	0	3	0	1	37	0	0	0	1	20	0	0	1	0	0	0	0	0	1	0	1	43	3	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	215	"AWI"	215	4079	6255	5103	1.5	12	0	0	0	0	196	1	0	0	0	0	0	0	0	0	0	0	32	9	0	11	2	0	0	0	0	0	2	0	0	7	0.5	0.5	46.5	0	2	0	0	38	0	0	0	0	0	0	0	0	0	0	0	55	8	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	220	"AWI"	220	4173	6424	5247	1.5	0	0	1	0	0	179	1	0	0	0	0	0	0	0	0	0	0	35	7	3	4	2	1	0	0	0	0	0	0	0	5	1	1.5	43.5	0	1	0	2	12	0	0	0	0	0	0	0	0	0	1	0	40	5	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	225	"AWI"	225	4322	6532	5393	1	0	0	0	0	0	198	5	0	0	0	0	1	0	0	0	0	0	27	6	1	7	15	1	0	1	1	0	1	0	0	4	1.5	0.5	57	0	1	1	0	26	0	0	0	0	0	0	0	0	0	0	0	50	3	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	250	"AWI"	250	4957	7222	6085	2.5	0	0	0	0	0	124	0	0	0	0	0	0	0	1	1	0	0	6	9	4	6	7	0	0	0	0	0	4	0	0	5	1	0.5	87.5	0	2	0	0	57	0	0	2	0	0	0	1	0	1	1	0	44	3	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	275	"AWI"	275	5655	7843	6800	5	0	0	0	0	0	124	5	0	1	0	0	0	0	0	2	0	0	2	2	0	3	7	0	0	0	0	0	14	0	0	10	1.5	0.5	122.5	0	1	0	2	59	0	0	1	0	0	0	0	0	4	1	0	15	4	0	0	0
1615	1667	"Lost P."	44.24694	-71.25139	300	"AWI"	300	6417	8418	7510	2	0	0	1	1	0	126	3	0	0	0	0	0	0	2	3	0	0	1	8	2	6	1	0	0	0	0	0	11	0	0	9	2.5	2	136.5	0	0	2	5	86	0	0	2	0	0	1	0	0	1	1	0	10	3	0	2	0
1615	1667	"Lost P."	44.24694	-71.25139	340	"AWI"	340	7850	9226	8672	6.5	0	0	1	1	0	80	0	0	0	1	0	0	0	2	0	0	0	0	2	1	6	1	0	0	0	0	0	12	0	0	8	2.5	0.5	113.5	0	0	2	4	73	0	0	2	0	0	1	0	0	3	0	0	7	0	0	1	0
1615	1667	"Lost P."	44.24694	-71.25139	360	"AWI"	360	8726	9514	9205	4	0	0	0	0	0	116	3	0	0	0	0	0	0	1	1	0	0	0	5	0	6	0	0	0	0	0	0	7	0	0	3	1	2	95	0	1	2	0	67	0	0	0	0	0	0	0	0	0	0	0	4	7	0	1	0
