"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Larix"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
821	847	"Frains Lake"	42.33	-83.63	42	"AWI"	42	-44	270	77	0	1.51515151515152	1.01010101010101	1.01010101010101	0.505050505050505	18.6868686868687	0	4.04040404040404	0	0	0	1.51515151515152	2.02020202020202	2.52525252525253	1.51515151515152	0	0	0	2.52525252525253	0.505050505050505	3.53535353535354	1.51515151515152	5.05050505050505	0	0	50.5050505050505	0	0	0.505050505050505	0	0.505050505050505	0	1.01010101010101
821	847	"Frains Lake"	42.33	-83.63	130	"AWI"	130	88	520	287	0	1	0.5	0	0.5	16.5	1.5	4.5	0	1	0.5	1.5	2	2	0	0	0	0	4	0	3.5	2	5.5	1.5	0	46.5	0	1.5	0.5	0	0	0	3.5
821	847	"Frains Lake"	42.33	-83.63	230	"AWI"	230	283	755	523	0	1.12359550561798	0	0	0	0	4.49438202247191	6.74157303370786	0	1.12359550561798	0	2.24719101123596	0	1.12359550561798	1.12359550561798	0	0	0	6.74157303370786	0	4.49438202247191	3.37078651685393	1.12359550561798	0	0	61.7977528089888	0	0	0	0	0	1.12359550561798	3.37078651685393
821	847	"Frains Lake"	42.33	-83.63	265	"AWI"	265	394	818	604	0	0	0	0	0	0	4.3859649122807	12.280701754386	0	0	0.87719298245614	0.87719298245614	2.63157894736842	2.63157894736842	1.75438596491228	0	0	0.87719298245614	5.26315789473684	0	1.75438596491228	0	4.3859649122807	1.75438596491228	0	53.5087719298246	0	1.75438596491228	0	0	0	0.87719298245614	4.3859649122807
821	847	"Frains Lake"	42.33	-83.63	350	"AWI"	350	595	988	779	0.505050505050505	1.01010101010101	0	0	1.51515151515152	11.1111111111111	2.52525252525253	5.05050505050505	0	0	0	2.02020202020202	2.52525252525253	3.03030303030303	0	0	0	0	1.51515151515152	0	7.57575757575758	0.505050505050505	7.57575757575758	0	0	43.9393939393939	0.505050505050505	0	0.505050505050505	0	1.01010101010101	0	7.57575757575758
821	847	"Frains Lake"	42.33	-83.63	405	"AWI"	405	734	1111	914	0	5.4726368159204	0	0	1.49253731343284	3.48258706467662	1.99004975124378	2.98507462686567	0.497512437810945	0	0	0.497512437810945	3.98009950248756	6.46766169154229	0.995024875621891	0.497512437810945	0.497512437810945	0	3.48258706467662	0	4.97512437810945	2.48756218905473	0.497512437810945	0	0	52.2388059701493	0	0	1.49253731343284	0	0	0.995024875621891	4.97512437810945
821	847	"Frains Lake"	42.33	-83.63	410	"AWI"	410	743	1126	926	0	2.30769230769231	0	0	0	0	1.53846153846154	3.07692307692308	0	1.53846153846154	0	3.84615384615385	5.38461538461539	5.38461538461539	1.53846153846154	0	0	0	3.07692307692308	0	1.53846153846154	6.15384615384615	0	0	0	60	0	0	0	0	0.769230769230769	0.769230769230769	3.07692307692308
821	847	"Frains Lake"	42.33	-83.63	428	"AWI"	428	804	1181	981	0	1.32743362831858	0.442477876106195	0	0.884955752212389	1.76991150442478	1.32743362831858	5.30973451327434	0	0	0	0.442477876106195	6.63716814159292	5.75221238938053	0	0	0	0	4.42477876106195	0	2.65486725663717	1.32743362831858	0	0	0	59.2920353982301	0	0	0.884955752212389	0	1.32743362831858	0.884955752212389	5.30973451327434
821	847	"Frains Lake"	42.33	-83.63	445	"AWI"	445	881	1216	1047	0	4.02010050251256	0.50251256281407	0	0	0	3.01507537688442	7.03517587939699	0	0	0	0.50251256281407	9.54773869346734	2.51256281407035	1.50753768844221	0.50251256281407	0	0	1.50753768844221	0.50251256281407	2.01005025125628	2.01005025125628	3.01507537688442	0	0	56.2814070351759	0	0	0	0	0	0	5.52763819095477
821	847	"Frains Lake"	42.33	-83.63	485	"AWI"	485	1029	1429	1229	0	0.985221674876847	0.492610837438424	0	0	1.97044334975369	1.47783251231527	4.43349753694581	0	0	0	1.97044334975369	4.92610837438424	6.40394088669951	0.492610837438424	0	0	0	3.94088669950739	0	4.92610837438424	4.43349753694581	0.492610837438424	0	0.985221674876847	53.2019704433498	0	0	0	0	0.492610837438424	1.47783251231527	6.89655172413793
821	847	"Frains Lake"	42.33	-83.63	517	"AWI"	517	1113	1788	1378	0	5.58375634517767	2.03045685279188	0	0.50761421319797	0	2.03045685279188	3.55329949238579	0	0	0	2.53807106598985	6.09137055837564	3.04568527918782	0	0	0	0	4.06091370558376	0	2.53807106598985	6.09137055837564	0	0	0.50761421319797	52.2842639593909	0	0	0.50761421319797	0	1.52284263959391	0	7.10659898477157
821	847	"Frains Lake"	42.33	-83.63	557	"AWI"	557	1263	2074	1590	0	7.17948717948718	0	0	0	1.02564102564103	0	5.12820512820513	0	0.512820512820513	0	0.512820512820513	7.69230769230769	6.15384615384615	0.512820512820513	0.512820512820513	0	0	4.1025641025641	0	2.05128205128205	4.1025641025641	0	0	1.02564102564103	51.7948717948718	0	0	0	0	1.02564102564103	0.512820512820513	6.15384615384615
