"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Morus"	"Myrica"	"Nyssa"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Vitaceae"
1123	1157	"Jack Lake"	47.31667	-81.76667	170	"AWI"	170	3617	4219	3861	4	0	0	1	0	1	0	106	0	0	1	0	0	0	1	27	2	0	0	0	2	0	0	0	0	0	5	0	2	0	0	19	195	0	1	2	1	6	0	0	0	0	0	0	0	0	0	7	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	180	"AWI"	180	3795	4652	4137	8	0	0	4	0	1	0	127	0	0	0	0	0	0	0	21	3	0	0	0	1	0	0	3	0	0	4	0	4	0	1	12	298	0	2	4	0	20	0	0	0	0	1	0	1	0	1	2	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	190	"AWI"	190	4014	4989	4427	2	0	0	0	0	4	0	109	0	0	0	0	0	0	2	42	3	0	0	0	0	0	0	1	0	0	4	0	3	0	3	10	209	0	1	1	3	8	1	0	0	0	0	0	0	0	0	2	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	200	"AWI"	200	4243	5345	4722	4	3	0	0	0	4	0	171	0	1	0	0	0	0	0	46	5	0	4	0	3	3	0	1	0	0	5	0	2	0	3	7	305	0	1	5	8	16	0	0	0	0	0	0	0	0	1	1	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	210	"AWI"	210	4469	5696	5013	0	1	0	0	0	2	0	126	0	0	0	0	0	0	6	23	2	1	0	0	6	2	0	2	0	0	2	0	1	0	0	6	225	0	2	1	3	8	2	0	0	0	0	0	1	0	0	8	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	220	"AWI"	220	4713	5976	5311	2	1	0	1	0	2	0	92	0	0	0	0	0	0	0	42	7	0	0	0	0	3	0	2	0	0	5	0	1	0	1	13	262	0	1	2	4	9	0	0	0	0	1	0	0	0	0	1	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	230	"AWI"	230	4963	6281	5602	1	4	0	0	0	1	0	104	0	0	1	0	0	0	1	82	10	0	0	0	0	2	0	1	0	0	3	0	7	0	4	7	351	0	2	4	8	18	0	0	0	0	0	0	0	0	0	2	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	240	"AWI"	240	5249	6570	5894	1	4	0	1	0	4	0	118	0	0	0	0	0	0	4	76	5	0	0	0	2	12	0	1	0	0	10	0	0	0	3	5	404	0	5	5	9	13	0	0	0	0	0	0	0	0	0	4	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	250	"AWI"	250	5518	6847	6179	3	2	0	0	0	9	0	40	0	0	0	0	0	2	2	32	6	0	0	0	3	7	0	7	0	0	0	0	1	1	2	3	311	0	3	2	1	9	0	0	0	0	2	0	0	0	2	8	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	260	"AWI"	260	5810	7111	6472	1	4	0	0	0	3	0	48	0	0	0	0	0	0	0	32	2	0	0	0	5	0	0	0	0	0	1	0	1	0	0	13	247	0	0	1	4	9	0	0	0	0	1	1	0	1	2	4	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	270	"AWI"	270	6110	7384	6766	1	0	0	2	0	1	0	59	0	0	0	0	0	0	2	39	3	0	0	0	2	9	0	4	0	0	6	0	0	0	3	15	331	0	3	5	1	15	0	0	0	0	1	0	0	0	4	10	1	0
1123	1157	"Jack Lake"	47.31667	-81.76667	280	"AWI"	280	6413	7632	7052	0	2	0	2	0	1	0	42	0	0	0	0	0	0	1	25	6	0	0	0	3	4	0	0	0	0	1	0	1	0	3	7	269	0	2	4	4	11	0	0	0	0	0	0	0	0	0	7	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	290	"AWI"	290	6723	7897	7346	0	1	0	2	0	1	0	52	0	0	1	0	0	1	1	17	1	0	0	0	2	7	0	6	0	0	1	0	3	0	4	2	324	0	5	1	0	15	0	0	0	0	1	0	0	0	1	11	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	300	"AWI"	300	7055	8117	7631	3	2	0	1	0	2	0	66	0	0	0	0	0	0	5	11	4	0	0	0	0	0	0	3	0	0	5	0	3	0	3	11	308	0	4	4	8	13	0	0	0	0	1	0	0	0	1	8	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	310	"AWI"	310	7427	8336	7918	1	1	0	2	0	2	0	82	0	0	0	0	2	0	5	19	5	0	0	0	0	0	0	6	0	0	8	1	3	0	10	5	274	0	3	9	10	25	0	0	0	0	2	0	0	0	0	15	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	320	"AWI"	320	7830	8557	8190	1	0	0	7	0	1	0	106	0	0	0	0	0	0	3	10	3	0	0	0	1	8	0	0	0	0	7	0	0	0	5	5	245	0	2	2	21	14	0	0	0	0	1	0	0	0	0	9	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	330	"AWI"	330	8213	9011	8506	2	3	0	3	0	3	0	148	0	0	0	0	0	0	11	11	7	0	0	0	0	0	0	6	0	0	5	0	1	0	5	20	292	0	4	6	3	21	0	0	0	0	3	0	0	0	1	11	0	0
1123	1157	"Jack Lake"	47.31667	-81.76667	340	"AWI"	340	8475	9480	8913	0	3	0	4	0	4	0	45	0	0	1	0	0	0	1	7	10	0	0	0	1	0	0	1	0	0	12	1	8	0	6	15	296	0	2	7	12	6	0	0	0	0	4	0	0	0	0	6	0	0
