"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Cactaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Moraceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Solanaceae"	"Urticaceae"
343	351	"Cayambe"	-0.03333	-78.03333	10	"AWI"	10	-26	655	277	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	24	0	2	1	0
343	351	"Cayambe"	-0.03333	-78.03333	17	"AWI"	17	16	1153	515	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	53	0	5	0	0
343	351	"Cayambe"	-0.03333	-78.03333	31	"AWI"	31	418	1714	990	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	41	0	0	0	2
343	351	"Cayambe"	-0.03333	-78.03333	55	"AWI"	55	1130	2081	1707	0	0	0	0	15	6	0	1	0	0	12	2	0	0	0	0	0	62	0	3	8	0
343	351	"Cayambe"	-0.03333	-78.03333	100	"AWI"	100	1716	2484	2098	1	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	51	1	3	5	0
343	351	"Cayambe"	-0.03333	-78.03333	115	"AWI"	115	1872	2574	2193	0	0	5	0	10	4	0	1	0	0	0	0	0	0	0	1	0	40	0	3	10	0
343	351	"Cayambe"	-0.03333	-78.03333	135	"AWI"	135	2121	2726	2352	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	3	40	0	0	3	1
343	351	"Cayambe"	-0.03333	-78.03333	155	"AWI"	155	2309	2952	2553	4	0	0	0	1	1	0	3	0	0	4	1	0	0	0	1	0	29	0	6	0	0
343	351	"Cayambe"	-0.03333	-78.03333	165	"AWI"	165	2367	3113	2661	1	0	0	0	0	0	0	4	0	0	6	1	0	0	0	1	1	45	0	2	0	2
343	351	"Cayambe"	-0.03333	-78.03333	185	"AWI"	185	2602	3695	3088	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	70	0	7	0	3
343	351	"Cayambe"	-0.03333	-78.03333	205	"AWI"	205	2963	4202	3602	0	0	2	0	0	1	0	1	0	0	0	0	0	0	2	0	1	43	0	0	0	0
343	351	"Cayambe"	-0.03333	-78.03333	215	"AWI"	215	3094	4458	3868	0	0	0	0	0	1	0	4	0	17	5	4	0	0	1	0	2	35	0	2	0	3
343	351	"Cayambe"	-0.03333	-78.03333	225	"AWI"	225	3563	4560	4102	1	2	0	0	0	0	0	1	0	47	1	2	0	0	0	2	2	40	0	2	1	0
343	351	"Cayambe"	-0.03333	-78.03333	245	"AWI"	245	4273	4801	4581	3	2	0	0	0	0	0	2	0	1	4	1	0	0	0	2	7	49	0	2	0	3
343	351	"Cayambe"	-0.03333	-78.03333	265	"AWI"	265	4608	5467	4940	13	0	0	0	0	0	0	4	0	0	2	0	0	1	0	0	13	42	0	0	0	2
343	351	"Cayambe"	-0.03333	-78.03333	280	"AWI"	280	4765	5618	5222	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	13	0	1	1	0
343	351	"Cayambe"	-0.03333	-78.03333	295	"AWI"	295	4889	5814	5381	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	29	0	0	0	0
343	351	"Cayambe"	-0.03333	-78.03333	310	"AWI"	310	5019	5997	5494	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	2	41	2	1	1	0
343	351	"Cayambe"	-0.03333	-78.03333	325	"AWI"	325	5132	6118	5556	1	0	0	0	4	4	0	2	0	1	4	0	0	0	0	1	0	62	2	2	0	0
343	351	"Cayambe"	-0.03333	-78.03333	345	"AWI"	345	5290	6337	5707	4	0	0	0	3	1	0	1	0	0	2	1	0	0	0	0	2	49	1	2	3	0
343	351	"Cayambe"	-0.03333	-78.03333	355	"AWI"	355	5344	6539	5826	5	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	49	3	1	0	0
343	351	"Cayambe"	-0.03333	-78.03333	360	"AWI"	360	5367	6653	5884	2	0	0	0	2	2	0	2	0	0	0	0	0	1	0	1	1	38	1	2	0	0
