"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Salix"	"Sarcobataceae"	"Tsuga"	"Ulmus"
242	245	"Bear Bog"	47.18	-80.16	200	"AWI"	200	3307	4942	4137	0	1	3	0	0	0	0	17	0	0	0	7	0	0	3	1	0	2	0	1	0	0	3	175	0	0	0	1	1	0	0	0
242	245	"Bear Bog"	47.18	-80.16	210	"AWI"	210	3527	5131	4352	3	0	1	0	0	1	0	15	0	0	0	8	0	0	0	1	0	2	1	0	1	0	17	158	0	1	0	2	0	0	1	2
242	245	"Bear Bog"	47.18	-80.16	220	"AWI"	220	3747	5323	4558	2	1	0	1	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	189	0	0	0	0	0	0	0	2
242	245	"Bear Bog"	47.18	-80.16	230	"AWI"	230	3940	5508	4771	2	0	1	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	6	0	0	4	174	1	0	0	3	0	0	0	1
242	245	"Bear Bog"	47.18	-80.16	240	"AWI"	240	4183	5686	4985	6	0	4	1	0	0	0	3	0	0	1	4	0	0	0	1	0	0	0	0	0	0	5	178	0	0	0	4	0	0	0	1
242	245	"Bear Bog"	47.18	-80.16	250	"AWI"	250	4436	5867	5191	4	0	4	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	3	0	0	2	175	0	1	0	4	1	0	1	1
242	245	"Bear Bog"	47.18	-80.16	260	"AWI"	260	4658	6054	5397	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	193	0	0	0	0	0	0	1	0
242	245	"Bear Bog"	47.18	-80.16	270	"AWI"	270	4931	6234	5609	1	0	2	1	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	1	0	1	6	181	0	0	1	1	0	0	1	1
242	245	"Bear Bog"	47.18	-80.16	280	"AWI"	280	5182	6403	5813	4	1	5	2	0	0	0	7	0	0	2	8	0	0	0	0	0	1	0	0	0	0	4	180	0	0	0	2	0	0	0	0
242	245	"Bear Bog"	47.18	-80.16	290	"AWI"	290	5474	6578	6021	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	190	0	0	0	1	0	0	0	2
