"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caryophyllaceae"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Indeterminable"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Populus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Tsuga"	"Viburnum"
329	336	"Candelabra Lake"	61.68333	-130.65	1	"AWI"	1	-117	63	-30	2	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	9	"AWI"	9	-57	602	144	0	0	0	0	0	1	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	13	"AWI"	13	4	752	255	5	0	0	0	0	4	0	138	0	1	0	1	24	0	0	2	0	0	0	0	0	57	0	0	4	0	0	0	0	0	0	2	10	0	0	1	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	17	"AWI"	17	42	853	370	6	0	0	0	0	0	0	23	0	0	0	0	2	0	0	1	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	21	"AWI"	21	100	1011	473	2	0	0	0	0	0	0	69	0	0	0	1	7	0	0	1	0	0	0	0	1	98	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	25	"AWI"	25	181	1100	582	6	0	0	0	0	0	0	195	0	0	0	1	10	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	8	0	0	0	1	0
329	336	"Candelabra Lake"	61.68333	-130.65	29	"AWI"	29	225	1224	691	8	0	0	0	0	1	0	71	0	0	0	0	6	0	0	0	0	0	0	0	0	138	0	0	3	0	0	0	0	0	0	0	11	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	33	"AWI"	33	357	1301	797	11	0	0	0	0	6	0	75	0	0	0	2	4	0	0	0	0	0	0	0	0	174	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	37	"AWI"	37	459	1391	908	8	0	0	0	0	5	0	63	0	0	0	2	3	0	0	0	0	0	0	0	0	140	0	0	2	0	0	0	0	0	0	0	15	0	0	0	1	0
329	336	"Candelabra Lake"	61.68333	-130.65	41	"AWI"	41	557	1511	1010	11	0	0	0	0	1	0	56	0	0	0	0	3	0	0	1	0	0	0	0	0	158	0	0	1	0	0	0	3	0	0	0	6	0	0	0	1	0
329	336	"Candelabra Lake"	61.68333	-130.65	45	"AWI"	45	704	1565	1103	16	0	0	0	0	3	0	43	0	0	0	0	4	0	0	0	0	1	0	0	0	153	0	0	2	0	0	0	1	0	0	1	5	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	49	"AWI"	49	791	1672	1211	8	0	0	0	0	5	0	53	0	0	0	3	6	0	0	3	0	0	0	0	0	109	0	0	10	0	0	0	0	0	0	0	8	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	51	"AWI"	51	894	1733	1276	8	0	0	0	0	5	0	97	0	0	0	1	5	0	0	0	0	0	0	0	0	145	0	0	8	0	0	0	0	0	0	0	11	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	53	"AWI"	53	1028	1797	1362	10	0	0	0	0	5	0	85	0	0	0	0	5	0	0	1	0	0	0	0	1	108	0	0	4	0	0	0	0	0	0	1	11	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	55	"AWI"	55	1094	1876	1447	11	0	0	0	0	2	0	118	0	0	0	0	7	0	0	3	0	0	0	0	0	109	0	0	7	0	0	0	1	0	0	0	13	0	1	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	60	"AWI"	60	1190	2287	1649	7	0	0	0	0	6	0	90	0	0	0	1	1	2	0	1	0	0	0	0	0	155	0	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	65	"AWI"	65	1402	2401	1914	10	0	0	0	0	0	0	59	0	0	0	3	8	0	0	3	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0
329	336	"Candelabra Lake"	61.68333	-130.65	70	"AWI"	70	1517	2649	2167	8	0	0	0	0	1	0	78	0	0	0	2	4	0	0	1	0	0	0	0	0	130	0	0	2	0	0	0	3	0	0	0	3	0	0	0	0	0
