"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
1663	1719	"McCarston's Lake"	45.05	-80.09	1	"AWI"	1	-122	42	-34	2	21	2	2	0	0	0	93	4	1	0	6	3	0	13	3	2	2	2	8	2	26	1	0	30	3	25	1	0	1	0	0	0	0	1	5	6	1
1663	1719	"McCarston's Lake"	45.05	-80.09	20	"AWI"	20	-73	238	44	2	19	2	4	2	0	0	152	0	0	0	10	4	0	27	9	3	0	0	7	1	20	5	0	38	3	18	0	3	3	5	2	0	0	4	5	16	0
1663	1719	"McCarston's Lake"	45.05	-80.09	40	"AWI"	40	-25	403	132	1	11	2	3	2	0	0	121	1	1	0	8	1	0	7	0	4	0	0	5	1	8	1	0	32	0	10	0	0	1	1	0	0	0	4	10	6	0
1663	1719	"McCarston's Lake"	45.05	-80.09	60	"AWI"	60	16	553	225	2	10	2	3	0	0	0	77	0	0	0	4	1	0	13	5	1	0	0	10	3	17	1	0	24	1	11	0	0	8	4	0	0	0	2	36	19	0
1663	1719	"McCarston's Lake"	45.05	-80.09	80	"AWI"	80	84	644	323	6	19	1	0	0	0	0	91	1	0	0	4	0	0	33	0	2	0	2	5	3	35	0	1	6	0	10	0	0	5	0	0	0	0	2	45	23	0
1663	1719	"McCarston's Lake"	45.05	-80.09	90	"AWI"	90	107	714	369	3	16	2	0	1	0	0	88	2	0	0	17	0	0	40	3	2	0	0	11	0	15	0	2	2	0	20	0	0	0	1	0	0	0	1	54	19	0
1663	1719	"McCarston's Lake"	45.05	-80.09	100	"AWI"	100	155	744	417	2	20	1	1	1	0	0	90	1	0	0	6	0	0	38	0	1	0	0	15	2	27	0	0	0	1	17	0	1	0	0	0	0	0	5	37	33	0
1663	1719	"McCarston's Lake"	45.05	-80.09	120	"AWI"	120	211	836	512	2	19	2	0	1	0	0	112	3	0	0	6	2	0	30	7	1	0	0	15	1	27	0	2	0	0	24	0	0	0	0	0	0	0	6	20	22	0
1663	1719	"McCarston's Lake"	45.05	-80.09	140	"AWI"	140	297	906	607	1	26	2	0	2	0	0	62	4	0	0	0	0	0	37	3	7	0	1	27	3	27	0	0	0	1	22	0	1	0	0	0	0	0	7	36	31	0
1663	1719	"McCarston's Lake"	45.05	-80.09	160	"AWI"	160	399	991	701	1	16	2	0	0	0	0	96	2	0	0	1	0	0	28	5	4	0	1	27	1	10	0	1	1	0	21	0	0	0	2	0	0	0	4	52	30	0
