"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Ceanothus"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Thuja"	"Tilia"	"Tsuga"	"Ulmus"	"Verbenaceae"
1078	1111	"Hostage Lake"	46.55	-94.13333	0	"AWI"	0	-106	56	-26	0	0	7	8	9.5	0	66.5	0	0	0	0	2	2	0	7	6.5	0	0	0	0	5	1	112.5	1	6	0	10	37.5	0	0	0	1	0	1	1	1	0	3	0
1078	1111	"Hostage Lake"	46.55	-94.13333	25	"AWI"	25	52	335	193	0	0	12	4	4	0	18	1	0	0	0	2	8.5	0	4	4	0	0	1	0	5	4	228.5	0	8	0	3	19	0	0	1	4	0	2	2	1	0	4	0
1078	1111	"Hostage Lake"	46.55	-94.13333	40	"AWI"	40	124	514	305	0	0	0	3	3	0	25	0	0	0	0	1	7.5	0	0	7.5	0	0	3.5	0	7	1.5	213	0	11	0	3	21	0	0	0	1	0	1	3	0	0	3	0
1078	1111	"Hostage Lake"	46.55	-94.13333	100	"AWI"	100	429	1073	719	1.5	0	0	2	4.5	0	41	0	0	0	0	2	6	0	2	5	1	0	0	0	6	8.5	249.5	0	8	1	3	20.5	1	0	0	3	0	0	0	2	0	1	0
1078	1111	"Hostage Lake"	46.55	-94.13333	180	"AWI"	180	965	1640	1280	0.5	0	20	0	11.5	0	20.5	0	0	0	0	2	9.5	0	3	9.5	1	0	1	0	7	3.5	233	0	7	0	2	46	0	0	0	0	0	1	2	0	1	1	0
1078	1111	"Hostage Lake"	46.55	-94.13333	200	"AWI"	200	1157	1780	1413	1	0	0	1	8.5	0	42.5	0	1	0	0	1	5	0	5	6	1	0	0	0	1	5.5	172	0	11	0	1	68	0	0	0	2	0	1	1	0	1	6	0
1078	1111	"Hostage Lake"	46.55	-94.13333	225	"AWI"	225	1398	1974	1605	1	0	8	3	7	0	20	0	0	0	1	2	12.5	0	0	3	1	0	1	0	6	2	325.5	1	20	1	6	58	0	0	0	0	0	0	1	0	0	9	0
1078	1111	"Hostage Lake"	46.55	-94.13333	250	"AWI"	250	1587	2413	1924	1	0	0	2	10	0	38.5	0	0	0	0	2	9	0	3	4	2	0	0	0	5.5	5	116.5	0	23	0	0	59	0	0	0	1	2	0	0	0	0	2	0
1078	1111	"Hostage Lake"	46.55	-94.13333	300	"AWI"	300	2076	3126	2586	0	0	0	0	13	0	44.5	0	0	1	0	2	8.5	0	10	8	1	0	2	0	6.5	3.5	89.5	0	16	0	1	71	1	1	0	0	0	1	1	1	0	2	0
1078	1111	"Hostage Lake"	46.55	-94.13333	350	"AWI"	350	2758	3653	3265	0	0	21	6.5	14	0	38	0	0	0	0	3	3	0	2	16	0	1	1	1	17.5	4.5	39	2	19	0	0	86	0	0	0	1	0	0	3	1	0	6	1
1078	1111	"Hostage Lake"	46.55	-94.13333	375	"AWI"	375	3215	3874	3582	1	0	0	2	19	0	24	0	0	0	0	2	8	0	0	15	0	0	2	0	2	2.5	38	0	23	0	0	68	0	0	0	0	0	0	2	1	0	3	0
1078	1111	"Hostage Lake"	46.55	-94.13333	400	"AWI"	400	3526	4219	3843	1	0	11	5.5	31	0	23.5	0	0	0	0	0	10	0	0	5.5	0	0	1	0	3	8	21	1	27	0	1	57.5	0	0	0	2	0	0	3	0	0	6	0
1078	1111	"Hostage Lake"	46.55	-94.13333	485	"AWI"	485	4069	5443	4650	0	0	9	8	53	0	6	0	0	0	0	2	15.5	0	6	7	0	0	0	0	6	3	39.5	1	52	0	2	91	0	0	0	2	0	0	7	1	0	8	0
