"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hippophaë"	"Indeterminable"	"Isoëtes lacustris"	"Isoëtes setacea"	"Juglans"	"Juniperus"	"Lamiaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Portulacaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
1401	1438	"Kansjön"	57.64055	14.53458	5	"AWI"	5	-83	204	30	0	66	1	1	9	0	0	0	0	0	7	15	0	3	0	0	2	2	0	32	80	0	0	52	0	0	0	1	0	161	393	0	0	0	2	0	17	0	0	0	9	6	1	8	3	3	0
1401	1438	"Kansjön"	57.64055	14.53458	20	"AWI"	20	32	608	306	0	71	1	0	7	0	0	0	0	0	16	21	0	11	0	0	4	2	0	25	63	0	0	182	0	0	0	2	0	61	304	3	0	0	2	0	12	0	0	0	27	5	0	2	2	0	0
1401	1438	"Kansjön"	57.64055	14.53458	35	"AWI"	35	433	800	581	0	64	0	2	6	0	0	2	0	0	18	18	0	12	0	0	5	1	0	30	94	0	0	300	0	1	0	1	0	82	313	0	0	0	2	0	23	0	0	1	11	3	0	1	1	0	0
1401	1438	"Kansjön"	57.64055	14.53458	50	"AWI"	50	647	1455	939	0	54	2	0	9	0	0	5	0	0	20	18	0	8	0	0	5	1	0	43	122	0	0	90	0	0	0	3	0	130	277	0	0	0	5	0	19	0	0	0	4	7	0	1	1	1	0
1401	1438	"Kansjön"	57.64055	14.53458	65	"AWI"	65	986	1914	1415	0	104	3	1	9	0	0	10	0	0	72	20	0	6	0	0	5	2	0	67	136	0	0	42	0	0	0	8	0	161	215	0	0	0	8	0	80	0	0	0	5	6	0	5	4	0	0
1401	1438	"Kansjön"	57.64055	14.53458	80	"AWI"	80	1405	2253	1918	2	161	0	0	1	0	0	1	0	0	90	6	0	3	0	0	0	2	0	89	32	0	0	9	0	5	0	2	0	17	141	0	0	0	17	0	118	0	0	0	5	8	0	5	8	0	1
1401	1438	"Kansjön"	57.64055	14.53458	95	"AWI"	95	2066	2488	2290	1	172	0	2	8	0	0	0	0	0	173	11	0	8	0	0	1	3	0	70	44	0	0	4	0	0	0	0	0	7	142	0	0	0	6	0	77	0	0	0	12	6	0	15	8	0	0
1401	1438	"Kansjön"	57.64055	14.53458	110	"AWI"	110	2291	2880	2594	0	89	0	1	4	0	0	0	0	0	81	4	0	2	0	0	0	8	0	83	32	0	2	4	1	1	0	1	0	3	186	0	0	0	4	0	151	0	0	0	3	4	0	11	24	0	0
1401	1438	"Kansjön"	57.64055	14.53458	125	"AWI"	125	2647	3227	2912	2	137	1	0	5	0	0	0	0	0	104	9	0	7	0	0	2	5	0	64	50	0	0	2	0	0	0	2	0	0	150	0	0	0	12	1	128	0	0	0	1	8	0	6	15	0	0
1401	1438	"Kansjön"	57.64055	14.53458	135	"AWI"	135	2843	3694	3194	0	94	0	0	4	0	0	0	0	0	231	6	0	6	0	0	0	6	0	94	31	0	0	2	0	0	0	0	0	1	232	0	0	0	7	0	190	0	0	0	0	1	0	14	18	0	0
1401	1438	"Kansjön"	57.64055	14.53458	150	"AWI"	150	3121	4158	3627	0	132	0	1	4	0	0	0	0	0	115	5	0	3	0	0	1	11	0	63	54	0	0	0	0	0	0	3	0	0	174	0	0	0	10	0	166	0	0	0	2	1	0	11	6	0	0
1401	1438	"Kansjön"	57.64055	14.53458	165	"AWI"	165	3662	4474	4080	3	141	0	0	3	0	0	0	0	0	146	11	0	2	0	0	0	9	0	92	67	0	0	1	0	0	0	1	0	1	172	0	0	0	12	0	149	0	0	0	3	10	2	15	24	0	1
1401	1438	"Kansjön"	57.64055	14.53458	180	"AWI"	180	4213	4917	4534	0	136	0	0	2	0	0	0	0	0	106	7	0	2	0	0	0	6	0	101	56	0	0	0	0	0	0	3	0	1	148	0	0	0	15	0	222	0	0	1	0	9	0	17	8	0	0
1401	1438	"Kansjön"	57.64055	14.53458	195	"AWI"	195	4525	5509	4973	0	156	1	0	4	0	0	0	0	0	162	7	0	3	0	0	1	18	0	63	47	0	0	1	0	0	0	0	0	6	131	0	0	0	6	0	230	0	0	0	2	3	0	25	24	0	0
1401	1438	"Kansjön"	57.64055	14.53458	205	"AWI"	205	4788	5775	5281	0	150	2	0	3	0	0	0	0	0	137	9	0	0	0	0	1	14	0	52	106	0	0	0	0	0	0	0	0	1	123	0	0	0	15	0	290	0	0	0	0	4	0	35	46	0	0
1401	1438	"Kansjön"	57.64055	14.53458	220	"AWI"	220	5298	6065	5731	1	180	0	0	3	0	0	0	0	0	134	7	0	2	0	0	0	12	0	58	65	0	0	0	0	0	0	0	0	0	150	0	0	0	9	0	171	0	0	0	0	4	0	53	37	0	0
1401	1438	"Kansjön"	57.64055	14.53458	235	"AWI"	235	5836	6493	6149	0	141	0	0	2	0	0	0	0	0	120	7	0	4	0	0	0	10	0	29	62	0	0	0	0	0	0	0	0	0	167	0	0	0	8	0	177	0	0	0	1	2	0	63	33	1	0
1401	1438	"Kansjön"	57.64055	14.53458	250	"AWI"	250	6079	7055	6559	0	176	0	0	2	0	0	0	0	0	137	8	0	3	0	0	0	10	0	37	64	0	0	0	0	0	0	0	0	0	154	0	0	0	14	0	171	0	0	0	2	10	0	71	45	0	0
1401	1438	"Kansjön"	57.64055	14.53458	265	"AWI"	265	6597	7311	6995	1	147	1	0	1	0	0	0	0	0	160	9	0	1	1	0	0	12	0	29	45	0	0	2	0	0	0	0	0	0	180	0	0	0	0	0	113	0	0	0	0	2	0	50	44	0	0
1401	1438	"Kansjön"	57.64055	14.53458	280	"AWI"	280	7126	7699	7423	0	134	0	0	2	0	0	0	0	0	168	6	0	1	0	0	0	10	0	14	33	0	0	1	0	0	0	0	0	2	136	0	0	0	23	0	77	0	0	0	0	5	0	78	49	0	0
1401	1438	"Kansjön"	57.64055	14.53458	295	"AWI"	295	7415	8230	7791	0	132	0	0	0	0	0	0	0	0	170	5	0	2	0	0	0	15	0	55	57	0	0	0	0	0	0	1	0	0	155	0	0	0	13	0	76	0	0	0	1	14	0	43	49	1	0
1401	1438	"Kansjön"	57.64055	14.53458	310	"AWI"	310	7679	8610	8184	0	186	0	2	1	0	0	0	0	0	176	4	0	1	0	0	0	4	0	34	79	0	0	0	0	0	0	0	0	0	262	0	0	0	11	0	67	0	0	0	1	7	0	17	52	1	0
1401	1438	"Kansjön"	57.64055	14.53458	325	"AWI"	325	8243	8860	8554	0	148	0	0	0	0	0	0	0	0	221	6	0	1	0	0	0	3	0	30	107	0	0	0	0	0	0	0	0	0	266	0	0	0	13	0	32	0	0	0	1	8	0	4	32	0	0
1401	1438	"Kansjön"	57.64055	14.53458	340	"AWI"	340	8564	9227	8862	0	224	0	0	1	0	0	0	0	0	147	4	0	1	0	0	0	1	0	16	51	0	0	1	0	0	0	0	0	0	242	0	0	0	0	0	20	0	0	0	0	10	0	1	29	1	0
1401	1438	"Kansjön"	57.64055	14.53458	355	"AWI"	355	8805	9554	9156	0	232	0	0	0	0	0	0	0	0	126	4	0	2	0	0	0	0	0	15	6	0	0	0	0	0	0	0	0	0	339	0	0	0	21	0	16	0	0	0	4	8	0	0	31	0	1
1401	1438	"Kansjön"	57.64055	14.53458	372	"AWI"	372	9160	9892	9465	0	203	0	1	2	0	0	0	0	0	157	6	0	5	0	0	0	1	0	7	1	0	0	0	0	0	0	0	0	0	324	0	0	0	40	0	3	0	0	0	1	8	0	0	21	0	0
1401	1438	"Kansjön"	57.64055	14.53458	385	"AWI"	385	9493	10158	9729	1	92	0	0	2	0	0	0	0	0	74	1	0	3	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	416	0	0	0	22	0	6	0	0	0	3	13	0	0	18	1	0
