"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
206	206	"Andy Lake"	64.65	-128.08333	0	"AWI"	0	-146	21	-66	31.6926770708283	0	0.960384153661465	0	28.0912364945978	0.240096038415366	0	0	0	9.84393757503001	0	0.240096038415366	0	0	21.8487394957983	5.16206482593037	0.960384153661465	0	0	0	0	0	0.960384153661465	0	0
206	206	"Andy Lake"	64.65	-128.08333	2.5	"AWI"	2.5	-54.5	461.5	170	27.5274056029233	0	1.94884287454324	0	25.3349573690621	0	0	0	0	13.6419001218027	0	0.243605359317905	0.243605359317905	0.243605359317905	21.4372716199756	3.77588306942753	0.730816077953715	0	0.48721071863581	0	0	0	3.16686967113276	0	1.21802679658952
206	206	"Andy Lake"	64.65	-128.08333	5	"AWI"	5	-14	971	400	27.1144278606965	0	1.99004975124378	0	26.6169154228856	0	0	0	0	8.70646766169154	0.248756218905473	0.248756218905473	0	0	25.8706467661692	3.98009950248756	2.23880597014925	0	0.248756218905473	0	0	0	2.48756218905473	0	0.248756218905473
206	206	"Andy Lake"	64.65	-128.08333	7.5	"AWI"	7.5	18	1491.5	636	24.406779661017	0	1.69491525423729	0	26.1016949152542	0	0	0	0	17.9661016949153	0	0.338983050847458	0	0	17.4576271186441	4.23728813559322	1.69491525423729	0	0.338983050847458	0.677966101694915	0	0	4.06779661016949	0	1.01694915254237
206	206	"Andy Lake"	64.65	-128.08333	10	"AWI"	10	49	2016	868	29.9760191846523	0	3.35731414868106	0	22.7817745803357	0	0	0.239808153477218	0	10.5515587529976	0	0.959232613908873	0	0	23.1414868105516	4.43645083932854	1.43884892086331	0	1.43884892086331	0	0	0	1.43884892086331	0	0.239808153477218
206	206	"Andy Lake"	64.65	-128.08333	12.5	"AWI"	12.5	402	2093	1115.5	34.9384098544233	0	0.895856662933931	0	24.6360582306831	0.223964165733483	0	0	0.223964165733483	12.7659574468085	0	0.223964165733483	0	0	16.1254199328108	3.2474804031355	1.3437849944009	0	0.895856662933931	0	0	0	2.68756998880179	0	1.79171332586786
206	206	"Andy Lake"	64.65	-128.08333	15	"AWI"	15	644	2189	1366	35.1515151515151	0	2.18181818181818	0	24.2424242424242	0.242424242424242	0	0	0	7.27272727272727	0.242424242424242	0	0.242424242424242	0	20.969696969697	1.93939393939394	3.15151515151515	0	0.727272727272727	0	0	0	2.18181818181818	0	1.45454545454545
206	206	"Andy Lake"	64.65	-128.08333	20	"AWI"	20	997	2570	1880	36.7647058823529	0	0.980392156862745	0	26.4705882352941	0	0	0	0	5.88235294117647	0	0.980392156862745	0.245098039215686	0	19.6078431372549	4.90196078431373	1.47058823529412	0	0.980392156862745	0	0	0	0.980392156862745	0	0.735294117647059
206	206	"Andy Lake"	64.65	-128.08333	25	"AWI"	25	1487	2746	2199	34.3057176196033	0	2.33372228704784	0	21.4702450408401	0	0	0	0	5.60093348891482	0.233372228704784	0.233372228704784	0	0	26.7211201866978	4.20070011668611	2.10035005834306	0	0.466744457409568	0	0	0	1.4002333722287	0	0.933488914819136
206	206	"Andy Lake"	64.65	-128.08333	30	"AWI"	30	1739	3327	2514	35.2078239608802	0	0.97799511002445	0	23.4718826405868	0	0	0.244498777506112	0	8.31295843520782	0	0.97799511002445	0	0	22.2493887530562	3.66748166259169	1.46699266503667	0	0.733496332518337	0	0	0	1.71149144254279	0	0.97799511002445
206	206	"Andy Lake"	64.65	-128.08333	35	"AWI"	35	1977	3523	2779	33.8611449451888	0	1.21802679658952	0	28.0146163215591	0.243605359317905	0	0.48721071863581	0	6.09013398294763	0	1.21802679658952	0	0	22.4116930572473	4.01948842874543	0.97442143727162	0	0	0	0	0	0.48721071863581	0	0.97442143727162
206	206	"Andy Lake"	64.65	-128.08333	40	"AWI"	40	2116	4000	3006	33.1786542923434	0	2.55220417633411	0	19.4895591647332	0	0	0	0	5.80046403712297	0	1.16009280742459	0	0	30.2784222737819	3.59628770301624	1.16009280742459	0	1.39211136890951	0.232018561484919	0	0	0.928074245939675	0	0.232018561484919
206	206	"Andy Lake"	64.65	-128.08333	42.5	"AWI"	42.5	2238	4062	3134.5	37.4255065554231	0	1.43027413587604	0	27.4135876042908	0	0	0	0	5.95947556615018	0	0.476758045292014	0	0	21.6924910607867	2.74135876042908	1.19189511323004	0	0	0.238379022646007	0	0	0.953516090584029	0	0.476758045292014
206	206	"Andy Lake"	64.65	-128.08333	45	"AWI"	45	2344	4142	3262	34.718826405868	0	2.20048899755501	0	26.6503667481663	0	0	0.244498777506112	0	3.42298288508557	0	0.488997555012225	0	0	26.039119804401	2.32273838630807	1.22249388753056	0	0	0.244498777506112	0	0.244498777506112	1.9559902200489	0	0.244498777506112
206	206	"Andy Lake"	64.65	-128.08333	47.5	"AWI"	47.5	2413.5	4281.5	3379	31.2428734321551	0	1.5963511972634	0	26.6818700114025	0	0	0	0	5.70125427594071	0	0.456100342075257	0.228050171037628	0	28.84834663626	2.05245153933865	0.684150513112885	0	0	0	0	0	1.5963511972634	0	0.912200684150513
