"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Asteraceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Drimys"	"Embothrium"	"Ericales"	"Gunneraceae"	"Misodendraceae"	"Nothofagus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Schinus"
477	488	"Isla Clarence"	-54.2	-71.23333	15	"AWI"	15	48	713	296	0	0	0	0	0	0	71	36	0	0	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	35	"AWI"	35	380	1324	780	0	0	0	0	0	0	16	0	22	0	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	45	"AWI"	45	570	1597	1035	20	0	0	20	57	0	51	23	0	0	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	55	"AWI"	55	782	1863	1279	0	0	0	54	0	0	79	0	0	1300	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	65	"AWI"	65	989	2119	1520	0	0	0	0	0	0	158	0	0	1700	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	75	"AWI"	75	1212	2376	1762	0	0	0	61	0	0	130	0	0	3218	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	85	"AWI"	85	1430	2621	2007	159	0	0	0	74	0	247	0	0	4456	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	95	"AWI"	95	1683	2874	2251	0	0	0	57	26	0	968	26	0	2717	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	105	"AWI"	105	1934	3111	2503	150	0	0	0	64	0	166	0	83	0	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	115	"AWI"	115	2192	3333	2740	0	0	0	0	31	0	117	0	31	3709	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	135	"AWI"	135	2718	3807	3227	140	0	0	23	0	0	61	109	118	1145	26	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	155	"AWI"	155	3160	4364	3735	32	0	0	32	0	0	93	334	32	1715	32	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	165	"AWI"	165	3392	4650	3989	0	0	0	0	0	0	100	28	28	1559	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	175	"AWI"	175	3633	4912	4249	0	0	20	0	20	0	61	84	0	998	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	185	"AWI"	185	3871	5161	4503	0	0	0	83	0	0	56	28	0	2367	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	195	"AWI"	195	4108	5419	4762	0	0	0	32	0	0	32	0	0	3920	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	205	"AWI"	205	4383	5681	5027	0	0	0	0	0	0	262	57	67	4220	0	0	162	0
477	488	"Isla Clarence"	-54.2	-71.23333	215	"AWI"	215	4642	5935	5280	0	0	0	0	0	0	307	0	0	4420	0	0	0	0
477	488	"Isla Clarence"	-54.2	-71.23333	225	"AWI"	225	4911	6196	5538	0	0	0	475	0	0	0	0	0	2025	0	0	0	0
