"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
219	221	"Axe Lake"	45.38	-79.51	1	"AWI"	1	-104	71	-16	2	0	13	2	0	0	0	65	0	0	0	2	2	0	0	2	0	3	10	0	0	7	0	4	5	60	1	1	3	2	13	1	1	0	0	0	20	7
219	221	"Axe Lake"	45.38	-79.51	20	"AWI"	20	11	676	238	4	0	4	0	0	0	0	64	0	0	0	1	1	0	0	3	0	1	3	0	0	2	0	5	6	69	1	0	10	0	10	3	0	0	0	0	16	6
219	221	"Axe Lake"	45.38	-79.51	40	"AWI"	40	175	1116	537	1	0	8	0	0	0	0	66	0	0	0	6	0	0	0	13	4	1	6	0	0	3	0	8	3	0	0	0	0	1	3	0	0	0	0	0	33	8
219	221	"Axe Lake"	45.38	-79.51	60	"AWI"	60	351	1519	834	0	11	3	0	0	1	0	67	1	0	0	4	1	0	0	14	5	1	3	0	0	0	0	2	1	57	0	0	0	0	4	0	0	0	0	0	22	11
219	221	"Axe Lake"	45.38	-79.51	80	"AWI"	80	572	1872	1145	0	0	4	0	0	1	0	47	0	0	0	0	2	0	0	11	0	0	1	0	0	1	0	4	3	73	0	1	1	0	6	0	1	0	0	0	39	3
219	221	"Axe Lake"	45.38	-79.51	100	"AWI"	100	814	2197	1444	0	0	5	0	0	0	0	58	0	0	0	1	1	0	0	9	3	1	8	0	0	1	0	2	3	70	0	0	1	0	12	0	1	0	0	0	30	5
219	221	"Axe Lake"	45.38	-79.51	120	"AWI"	120	1053	2537	1755	1	0	1	0	0	0	0	56	0	0	0	4	1	0	0	8	4	0	6	0	0	3	0	5	1	0	0	0	0	0	9	0	0	0	0	0	21	9
219	221	"Axe Lake"	45.38	-79.51	140	"AWI"	140	1313	2852	2055	0	0	1	0	0	1	0	31	2	0	0	1	0	0	0	10	3	1	6	0	0	0	0	6	2	89	0	0	2	2	11	0	0	0	0	0	23	14
219	221	"Axe Lake"	45.38	-79.51	160	"AWI"	160	1597	3165	2359	0	0	1	0	0	0	0	43	1	0	0	2	0	0	0	13	0	0	1	0	0	0	0	1	1	75	0	0	1	0	12	0	0	0	0	0	38	5
219	221	"Axe Lake"	45.38	-79.51	180	"AWI"	180	1866	3461	2660	1	0	1	0	0	0	0	43	1	0	0	1	1	0	0	11	0	1	5	0	0	1	0	1	5	96	0	0	0	0	4	0	0	0	0	0	16	10
