"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Nyctaginaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"
816	841	"Forest Pond 1"	43.47167	-109.93889	0	"AWI"	0	-138	-27	-60	7.5	0	8	0	91	0	2	0	0	0	53	0	0	0	0	3	41	0	0	0	18.5	880.5	21	0	0	3	2	0	0	0	14	1	3	0
816	841	"Forest Pond 1"	43.47167	-109.93889	10	"AWI"	10	-39	-11	-25	6.5	0	7	0	68	0	0	0	1	0	29	0	2	0	0	10	41	0	0	0	9	666.5	27	0	0	2	0	2	0	1	2	0	1	1
816	841	"Forest Pond 1"	43.47167	-109.93889	16	"AWI"	16	-28	52	-4	7	2	11	0	119	12	0	0	0	0	51	0	0	0	0	4	64	0	0	0	13	920	37	0	0	2	0	0	1	0	14	2	6	0
816	841	"Forest Pond 1"	43.47167	-109.93889	20	"AWI"	20	-25	103	9	9	0	17	0	76	12	1	0	0	0	62	0	0	1	1	8	37	0	0	0	19	822.5	29	0	0	2	1	0	0	2	14	1	1	1
816	841	"Forest Pond 1"	43.47167	-109.93889	27	"AWI"	27	-1	171	52	10.5	0	11	0	111	17	1	0	0	0	62	0	1	0	0	4	34	0	0	0	15	828.5	38	0	0	1	2	0	0	1	9	4	2	0
816	841	"Forest Pond 1"	43.47167	-109.93889	30	"AWI"	30	4	220	68	9.5	1	17	0	110	0	0	0	0	0	64	0	0	0	0	3	21	0	0	0	25.5	884	35	0	0	2	0	0	0	0	22	4	2	1
816	841	"Forest Pond 1"	43.47167	-109.93889	32	"AWI"	32	328	522	395	7	0	25	1	143	0	2	0	0	0	106	0	2	0	0	8	52	0	0	0	40	1541.5	53	0	0	2	0	0	0	0	15	1	9	0
816	841	"Forest Pond 1"	43.47167	-109.93889	34	"AWI"	34	632	839	722	12.5	0	21	0	167	0	0	0	0	1	72	0	0	0	0	3	22	1	0	0	40	1165	36	0	0	1	0	0	3	0	19	2	5	0
816	841	"Forest Pond 1"	43.47167	-109.93889	36	"AWI"	36	928	1181	1045	9.5	0	20	0	130	0	1	0	0	0	108	0	1	0	0	5	48	0	0	0	30.5	1074	29	0	0	3	0	1	0	0	23	1	4	1
816	841	"Forest Pond 1"	43.47167	-109.93889	38	"AWI"	38	1219	1533	1368	16	1	16	0	95	0	0	0	1	0	14	0	0	0	0	6	8	0	0	0	14	692.5	19	0	0	0	0	0	0	0	5	0	3	0
816	841	"Forest Pond 1"	43.47167	-109.93889	40	"AWI"	40	1509	1894	1691	9.5	1	23	0	140	0	1	0	0	0	65	1	2	0	0	6	31	2	0	0	25	1071	35	0	0	1	1	3	1	2	12	3	8	1
816	841	"Forest Pond 1"	43.47167	-109.93889	42	"AWI"	42	1709	2335	2046	7	1	9	0	74	0	0	0	0	0	37	0	0	0	0	2	5	0	1	0	12.5	0	17	0	0	1	1	0	0	1	8	0	8	0
816	841	"Forest Pond 1"	43.47167	-109.93889	44	"AWI"	44	1805	2859	2400	11	2	25	0	157	0	0	0	0	0	81	0	0	0	0	5	58	0	0	0	30.5	1090.5	35	0	0	2	2	1	1	1	15	1	6	0
816	841	"Forest Pond 1"	43.47167	-109.93889	47	"AWI"	47	1899	3685	2928	9	1	14	0	93	0	0	0	0	1	28	0	0	0	0	4	5	0	0	0	17.5	612	21	1	0	0	0	0	0	0	6	3	4	1
816	841	"Forest Pond 1"	43.47167	-109.93889	50	"AWI"	50	1988	4522	3465	7.5	1	10	0	83	7	2	0	0	1	30	0	0	0	0	5	16	0	0	1	18	542.5	25	0	0	0	2	1	0	0	6	1	3	0
816	841	"Forest Pond 1"	43.47167	-109.93889	52	"AWI"	52	2892	4607	3876	17	0	38	0	196	0	3	0	0	0	56	0	2	1	0	5	1	0	0	0	33.5	1294	48	0	0	1	4	0	0	0	13	6	8	0
816	841	"Forest Pond 1"	43.47167	-109.93889	54	"AWI"	54	3767	4705	4285	9.5	1	13	0	126	0	0	0	0	0	15	0	1	0	0	8	1	0	0	0	11	0	22	0	0	0	3	0	0	0	2	0	9	1
816	841	"Forest Pond 1"	43.47167	-109.93889	55	"AWI"	55	4167	4763	4491	7	0	22	0	89	0	0	0	0	0	44	0	0	0	0	14	0	0	0	0	20	0	42	1	0	1	3	0	1	0	19	3	6	0
816	841	"Forest Pond 1"	43.47167	-109.93889	56	"AWI"	56	4461	4895	4700	3	1	17	0	105	0	0	0	0	0	26	0	0	0	0	3	0	0	0	0	11.5	0	25	0	0	1	4	0	0	0	15	4	4	1
816	841	"Forest Pond 1"	43.47167	-109.93889	58	"AWI"	58	4654	5656	5106	10.5	1	25	0	198	0	0	0	0	0	30	1	0	0	0	8	0	0	0	0	22.5	0	57	0	0	1	8	1	0	0	22	5	10	2
816	841	"Forest Pond 1"	43.47167	-109.93889	59	"AWI"	59	4715	6079	5311	5.5	1	8	0	77	0	0	0	1	0	10	0	1	0	0	5	0	0	0	0	11.5	0	24	0	0	0	3	1	0	0	7	3	4	0
816	841	"Forest Pond 1"	43.47167	-109.93889	62	"AWI"	62	5180	6913	6016	3.5	0	15	0	101	11	1	1	0	0	28	0	0	0	0	10	0	0	0	0	7	0	47	0	0	0	2	1	0	0	4	0	3	0
816	841	"Forest Pond 1"	43.47167	-109.93889	64	"AWI"	64	5418	7435	6538	7.5	0	39	0	199	0	1	0	0	0	40	0	0	1	0	6	0	0	0	0	19	0	116	0	0	2	10	0	0	0	25	0	11	2
816	841	"Forest Pond 1"	43.47167	-109.93889	67	"AWI"	67	5683	8380	7339	2.5	0	16	0	76	0	1	0	0	0	17	1	1	0	0	5	0	0	0	0	6	384.5	47	1	0	0	7	0	0	0	10	2	3	0
816	841	"Forest Pond 1"	43.47167	-109.93889	71	"AWI"	71	6385	9492	8321	3.5	0	8	0	63	0	1	0	1	0	13	1	0	0	0	9	0	0	0	0	5.5	0	37	0	0	0	2	0	0	0	11	2	2	0
816	841	"Forest Pond 1"	43.47167	-109.93889	74	"AWI"	74	7860	9604	8899	7	0	26	0	141	0	3	0	0	0	66	1	1	0	0	13	7	0	0	0	24.5	648	145	0	0	1	4	1	1	0	6	31	16	0
816	841	"Forest Pond 1"	43.47167	-109.93889	78	"AWI"	78	9337	10148	9707	11	0	11	0	129	0	1	0	0	0	29	0	0	0	0	8	0	0	0	0	36.5	0	131	0	0	0	8	0	1	0	14	3	5	0
