"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Betula"	"Cyperaceae"	"Ericales"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Salix"	"Tilia"	"Ulmus"
1505	1543	"Komaritsa Peat Exposure"	57.5	69	10	"AWI"	10	-85	392	83	84	0	100	10	202	14	4	42	210	7	2	0	2	4
1505	1543	"Komaritsa Peat Exposure"	57.5	69	20	"AWI"	20	7	588	273	84	0	9	20	0	5	0	56	403	10	3	0	6	6
1505	1543	"Komaritsa Peat Exposure"	57.5	69	55	"AWI"	55	801	1364	1033	97	0	20	15	0	35	0	27	333	20	7	2	6	5
1505	1543	"Komaritsa Peat Exposure"	57.5	69	100	"AWI"	100	2315	3099	2690	94	0	8	10	0	12	0	31	0	10	12	2	13	12
1505	1543	"Komaritsa Peat Exposure"	57.5	69	125	"AWI"	125	2652	3509	3070	126	0	15	10	0	10	0	82	384	9	0	0	9	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	150	"AWI"	150	3014	3932	3479	100	0	7	8	0	6	0	92	325	5	0	0	5	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	170	"AWI"	170	3339	4203	3804	105	0	20	8	0	15	5	90	325	10	0	0	0	3
1505	1543	"Komaritsa Peat Exposure"	57.5	69	200	"AWI"	200	3970	4561	4273	60	0	15	3	0	10	1	62	172	0	0	0	12	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	225	"AWI"	225	4384	5018	4713	30	0	7	8	0	6	2	60	119	0	1	6	5	3
1505	1543	"Komaritsa Peat Exposure"	57.5	69	250	"AWI"	250	4952	5294	5168	29	0	25	10	0	20	20	30	201	10	0	0	5	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	260	"AWI"	260	5072	5641	5343	63	0	0	0	0	20	0	63	312	12	0	0	15	2
1505	1543	"Komaritsa Peat Exposure"	57.5	69	270	"AWI"	270	5251	5811	5559	60	0	0	0	0	0	0	50	275	0	1	1	3	1
1505	1543	"Komaritsa Peat Exposure"	57.5	69	280	"AWI"	280	5571	5917	5749	50	0	0	0	0	0	0	40	235	0	0	0	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	300	"AWI"	300	5770	6355	6034	45	0	3	0	0	2	0	90	341	1	0	10	0	23
1505	1543	"Komaritsa Peat Exposure"	57.5	69	310	"AWI"	310	5879	6506	6183	23	0	0	0	0	0	0	20	220	0	1	0	3	2
1505	1543	"Komaritsa Peat Exposure"	57.5	69	320	"AWI"	320	6008	6634	6342	15	0	0	0	0	0	0	20	160	0	2	9	4	3
1505	1543	"Komaritsa Peat Exposure"	57.5	69	330	"AWI"	330	6158	6738	6492	30	0	0	0	0	0	0	10	165	0	0	0	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	350	"AWI"	350	6654	6907	6771	56	0	0	0	0	0	0	56	246	0	2	0	1	1
1505	1543	"Komaritsa Peat Exposure"	57.5	69	400	"AWI"	400	7268	7557	7393	45	0	0	0	0	0	0	90	341	0	0	1	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	410	"AWI"	410	7363	7907	7562	17	0	0	0	0	0	0	17	228	0	0	2	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	430	"AWI"	430	7595	8266	7924	15	0	0	0	0	0	0	13	210	0	0	0	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	440	"AWI"	440	7787	8411	8124	0	0	14	50	0	13	0	15	160	10	0	0	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	450	"AWI"	450	8051	8551	8297	2	0	17	102	0	16	0	2	40	32	0	9	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	470	"AWI"	470	8402	9371	8851	1	11	20	175	90	10	25	2	78	15	0	1	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	510	"AWI"	510	9647	10185	9895	1	0	0	0	70	0	0	3	81	0	0	1	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	520	"AWI"	520	9769	10346	10031	1	50	0	0	0	0	0	1	65	0	0	0	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	530	"AWI"	530	9907	10491	10178	3	0	0	0	100	0	0	5	81	0	0	0	0	0
1505	1543	"Komaritsa Peat Exposure"	57.5	69	550	"AWI"	550	10123	11152	10524	45	55	20	30	105	5	10	20	0	10	0	3	0	2
