"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Liliaceae"	"Myrica"	"Ostrya.Carpinus"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Tilia"	"Ulmus"
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	10	"AWI"	10	-43	1075	319	2.12765957446809	0	15.2482269503546	0.709219858156028	0.709219858156028	1.06382978723404	0	0	0.354609929078014	0	0	6.38297872340426	7.4468085106383	0	0	0	1.77304964539007	1.06382978723404	19.8581560283688	0	0	3.54609929078014	2.4822695035461	12.0567375886525	0	0.354609929078014	18.4397163120567	1.41843971631206	2.4822695035461	0.354609929078014	2.12765957446809
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	20	"AWI"	20	177	1510	816	1.18694362017804	0	17.8041543026706	0	0.29673590504451	5.34124629080119	0.593471810089021	0	0	0	0	1.18694362017804	5.6379821958457	0	0	0	1.48367952522255	1.18694362017804	9.19881305637982	0	0	1.48367952522255	0.890207715133531	26.7062314540059	0	0	22.8486646884273	0	0	0	4.15430267062314
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	30	"AWI"	30	566	1878	1352	0	0	15.9090909090909	0	0.568181818181818	3.40909090909091	1.70454545454545	0	0	0	0	0	0	0.568181818181818	0	0	0	10.2272727272727	40.3409090909091	0	0	0	0.568181818181818	6.25	0	0	17.0454545454545	0	0	0	3.40909090909091
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	40	"AWI"	40	1266	2084	1772	3.59550561797753	0	0	0.224719101123596	0	1.12359550561798	0.224719101123596	0	0.224719101123596	0	0	1.79775280898876	67.4157303370787	0	0	0	1.34831460674157	0	4.9438202247191	0	0.224719101123596	2.47191011235955	0.674157303370786	0.449438202247191	0	0	12.3595505617978	0	0	0	2.92134831460674
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	50	"AWI"	50	2003	2735	2289	2.7027027027027	1.54440154440154	0	0	0	4.63320463320463	5.01930501930502	0	0	0	0.386100386100386	0	25.4826254826255	1.15830115830116	1.15830115830116	0	0.386100386100386	0	0	0	0	0	1.54440154440154	6.17760617760618	0.772200772200772	0	46.3320463320463	0	0	0	2.7027027027027
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	58	"AWI"	58	2518	3192	2868	1.22699386503067	1.22699386503067	0	0	0	8.58895705521472	10.4294478527607	0	0	0	0	0	3.06748466257669	1.22699386503067	0	0	3.06748466257669	0	0	0	0	3.06748466257669	2.45398773006135	9.20245398773006	0	0	53.3742331288344	0	0	0	3.06748466257669
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	65	"AWI"	65	2961	3666	3356	5.78512396694215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65289256198347	0	0	0	0	9.09090909090909	6.61157024793388	1.65289256198347	0	0	74.3801652892562	0	0	0	0.826446280991736
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	75	"AWI"	75	3509	4236	3913	0.617283950617284	0	4.93827160493827	0	0	0	0	0	0	0	0	0	0	0.617283950617284	0	0	4.32098765432099	0	0	0	0	0	4.93827160493827	6.79012345679012	0	0	72.8395061728395	0	0	0	4.93827160493827
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	90	"AWI"	90	3852	4674	4295	0.769230769230769	0.384615384615385	0	0.769230769230769	0	3.07692307692308	0.769230769230769	0	0	0.384615384615385	0	0	0	0.769230769230769	0.384615384615385	0	1.53846153846154	0	0	0	0	0	1.15384615384615	2.30769230769231	0	0	84.6153846153846	0	0	0.384615384615385	2.69230769230769
1476	1513	"Khlebnikov Stream Exposure 5858"	43.73386	145.4882	95	"AWI"	95	3951	4741	4378	1.3840830449827	0.346020761245675	0	0.69204152249135	2.07612456747405	1.73010380622837	0	0	0.346020761245675	0	0	2.07612456747405	4.49826989619377	0	1.03806228373702	0.346020761245675	1.03806228373702	0	0.69204152249135	2.42214532871972	0	0	0.346020761245675	2.42214532871972	0	0	75.7785467128028	0	0	0	2.7681660899654
